nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G669__00020.1,9.041081116190803,39.51468117,G669,_,00020,1
G669__00130.1,9.079839810176672,39.482066259999996,G669,_,00130,1
G669__00120.1,9.07635049121927,39.48842444,G669,_,00120,1
G669__00110.1,9.073998967272043,39.496859855,G669,_,00110,1
G669__00100.1,9.067030301454828,39.494598675,G669,_,00100,1
G669__00080.1,9.045805863344562,39.49643154,G669,_,00080,1
G669__00070.1,9.07634687383515,39.50769995500001,G669,_,00070,1
G669__00060.1,9.064470392602988,39.50756562,G669,_,00060,1
G669__00050.1,9.055319178924051,39.503855685000005,G669,_,00050,1
G669__00040.1,9.064884303668169,39.51629461,G669,_,00040,1
G669__00030.1,9.055002440860456,39.52011247,G669,_,00030,1
G669__00010.10,9.05264740685227,39.523238625,G669,_,00010,10
G669__00130.10,9.082114803302828,39.481697355,G669,_,00130,10
G669__00120.10,9.080017102562454,39.491135869999994,G669,_,00120,10
G669__00110.10,9.076565653770555,39.497212135,G669,_,00110,10
G669__00100.10,9.069671490626744,39.494461285,G669,_,00100,10
G669__00080.10,9.05027026111852,39.496212979999996,G669,_,00080,10
G669__00070.10,9.07655458507632,39.506267155,G669,_,00070,10
G669__00060.10,9.067705986554053,39.507763964999995,G669,_,00060,10
G669__00050.10,9.062306979212387,39.50462274,G669,_,00050,10
G669__00040.10,9.064491103980249,39.51139225,G669,_,00040,10
G669__00020.10,9.045812954915053,39.513865755,G669,_,00020,10
G669__00010.100,9.049890898552299,39.52148771,G669,_,00010,100
G669__00130.100,9.079781672012901,39.476574979999995,G669,_,00130,100
G669__00120.100,9.082238035936076,39.483775475,G669,_,00120,100
G669__00110.100,9.080473239768626,39.495033649999996,G669,_,00110,100
G669__00100.100,9.069686873531246,39.492021855000004,G669,_,00100,100
G669__0009.100,9.065391813675703,39.487750465,G669,_,0009,100
G669__00080.100,9.062483258754481,39.492859965,G669,_,00080,100
G669__00070.100,9.0769312774435,39.49863225,G669,_,00070,100
G669__00060.100,9.072221954146787,39.4967549,G669,_,00060,100
G669__00050.100,9.04737725427676,39.498010375,G669,_,00050,100
G669__00030.100,9.05615490783082,39.505926415,G669,_,00030,100
G669__00020.100,9.048508315689963,39.503018785,G669,_,00020,100
G669__0009.1000,9.063659504941148,39.48783108000001,G669,_,0009,1000
G669__00090.1006,9.062424942116733,39.483101155,G669,_,00090,1006
G669__00090.1008,9.062530109393638,39.48379732,G669,_,00090,1008
G669__00010.101,9.049932838341238,39.52108255,G669,_,00010,101
G669__00130.101,9.079821603333805,39.47624147,G669,_,00130,101
G669__00120.101,9.082584674630937,39.483696805,G669,_,00120,101
G669__00110.101,9.08097951992375,39.49507656,G669,_,00110,101
G669__00100.101,9.07178446994115,39.49271492,G669,_,00100,101
G669__0009.101,9.065396264436213,39.487953555000004,G669,_,0009,101
G669__00080.101,9.06250147180901,39.49334901,G669,_,00080,101
G669__00070.101,9.077120127991753,39.49800883,G669,_,00070,101
G669__00050.101,9.048039786708735,39.498207635,G669,_,00050,101
G669__00030.101,9.056464501313535,39.50592207,G669,_,00030,101
G669__00020.101,9.0483523590905,39.502808540000004,G669,_,00020,101
G669__00010.102,9.050314912812834,39.521936155,G669,_,00010,102
G669__00130.102,9.079940554753327,39.476035405000005,G669,_,00130,102
G669__00120.102,9.08371943187123,39.4837285,G669,_,00120,102
G669__00110.102,9.081731521696733,39.4946318,G669,_,00110,102
G669__00100.102,9.072671904526999,39.493187445000004,G669,_,00100,102
G669__00070.102,9.077572714971664,39.498100449999995,G669,_,00070,102
G669__00060.102,9.07314304421347,39.4977712,G669,_,00060,102
G669__00050.102,9.048784564908724,39.498364615,G669,_,00050,102
G669__00040.102,9.069820904245674,39.50899126,G669,_,00040,102
G669__00030.102,9.056697976410588,39.50576001,G669,_,00030,102
G669__00020.102,9.048473066474592,39.502280575,G669,_,00020,102
G669__00010.103,9.050386722603665,39.521915355000004,G669,_,00010,103
G669__00130.103,9.080148088500716,39.475772109999994,G669,_,00130,103
G669__00100.103,9.072424289566406,39.49257648,G669,_,00100,103
G669__00080.103,9.063073587889534,39.493228540000004,G669,_,00080,103
G669__00070.103,9.078027612510743,39.498324925,G669,_,00070,103
G669__00060.103,9.073388399745365,39.49767387,G669,_,00060,103
G669__00050.103,9.049617303526961,39.49856389999999,G669,_,00050,103
