nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G684__00010.1,7.59749334666536,44.946484139999995,G684,_,00010,1
G684__00330.1,7.60433841986128,44.908430435,G684,_,00330,1
G684__00310.1,7.586601965465421,44.89878736,G684,_,00310,1
G684__00300.1,7.583501042348854,44.90553022500001,G684,_,00300,1
G684__00290.1,7.590742113276306,44.915662705,G684,_,00290,1
G684__00270.1,7.567333377249809,44.91804241,G684,_,00270,1
G684__00260.1,7.569830334695304,44.92303257499999,G684,_,00260,1
G684__00250.1,7.583704258548373,44.92189039,G684,_,00250,1
G684__00240.1,7.602520661836117,44.919739785000004,G684,_,00240,1
G684__00220.1,7.614993009015251,44.920749805,G684,_,00220,1
G684__00210.1,7.6255374019943005,44.91916457,G684,_,00210,1
G684__00200.1,7.630980225863178,44.920684695,G684,_,00200,1
G684__00190.1,7.631934985817255,44.929686655,G684,_,00190,1
G684__00180.1,7.626169739546625,44.935340395,G684,_,00180,1
G684__00170.1,7.621193845234767,44.928066035,G684,_,00170,1
G684__00160.1,7.609342869489415,44.92880974,G684,_,00160,1
G684__00150.1,7.601152315081812,44.92172052,G684,_,00150,1
G684__00140.1,7.592756885221803,44.928953315,G684,_,00140,1
G684__00130.1,7.584246021325539,44.926855364999994,G684,_,00130,1
G684__00090.1,7.59596138670415,44.939669615,G684,_,00090,1
G684__00080.1,7.584364702558647,44.928276145,G684,_,00080,1
G684__00070.1,7.601363906553177,44.931495285,G684,_,00070,1
G684__00060.1,7.610802699820621,44.935639205,G684,_,00060,1
G684__00050.1,7.615875224370084,44.936699335,G684,_,00050,1
G684__00040.1,7.603930509461112,44.936377725,G684,_,00040,1
G684__00030.1,7.601864097343409,44.94321902,G684,_,00030,1
G684__00020.1,7.592342593722127,44.941924895,G684,_,00020,1
G684__00010.10,7.600321964528339,44.94496117,G684,_,00010,10
G684__00350.10,7.6207723145246575,44.910906995000005,G684,_,00350,10
G684__00340.10,7.617682322990136,44.91138971,G684,_,00340,10
G684__00330.10,7.604889866198274,44.90754406,G684,_,00330,10
G684__00320.10,7.599932107488296,44.90836909,G684,_,00320,10
G684__00310.10,7.582322838834176,44.901817460000004,G684,_,00310,10
G684__00300.10,7.5857095150737734,44.905558150000005,G684,_,00300,10
G684__00290.10,7.592568048548751,44.91401399,G684,_,00290,10
G684__00280.10,7.584557897075751,44.916368250000005,G684,_,00280,10
G684__00270.10,7.568689604609603,44.917529425,G684,_,00270,10
G684__00260.10,7.573576514253107,44.922844525,G684,_,00260,10
G684__00250.10,7.584932084136147,44.92111073,G684,_,00250,10
G684__00240.10,7.606307754389503,44.920369550000004,G684,_,00240,10
G684__00230.10,7.6096956993050195,44.91923541,G684,_,00230,10
G684__00220.10,7.615588000992092,44.918312035,G684,_,00220,10
G684__00210.10,7.624715765387576,44.91754632,G684,_,00210,10
G684__00190.10,7.6350415598593315,44.92910304,G684,_,00190,10
G684__00180.10,7.625647471542918,44.93304466,G684,_,00180,10
G684__00170.10,7.621031743516463,44.92690226,G684,_,00170,10
G684__00160.10,7.609291364098404,44.928618529999994,G684,_,00160,10
G684__00150.10,7.601146180998139,44.920524334999996,G684,_,00150,10
G684__00140.10,7.596204754214676,44.928232205,G684,_,00140,10
G684__00130.10,7.588178085045486,44.924919939999995,G684,_,00130,10
G684__00120.10,7.58158053467009,44.925894174999996,G684,_,00120,10
G684__00110.10,7.58583920244787,44.933359715,G684,_,00110,10
G684__00100.10,7.586425273606567,44.936317880000004,G684,_,00100,10
G684__00090.10,7.598946966542464,44.937865355,G684,_,00090,10
G684__00080.10,7.585781904456916,44.928371855,G684,_,00080,10
G684__00070.10,7.604242458246727,44.93219306,G684,_,00070,10
G684__00060.10,7.612904865136883,44.93460218,G684,_,00060,10
G684__00040.10,7.60757846777865,44.935959755,G684,_,00040,10
G684__00030.10,7.604272398365058,44.943566145,G684,_,00030,10
G684__00020.10,7.59479665320655,44.942350565,G684,_,00020,10
G684__00020.100,7.606197353125703,44.93928037,G684,_,00020,100
G684__00320.100,7.599713186383686,44.906176935000005,G684,_,00320,100
G684__00300.100,7.587099716361507,44.901133485,G684,_,00300,100
G684__00290.100,7.59943913207756,44.910918245000005,G684,_,00290,100
G684__00280.100,7.583811729436746,44.911588339999994,G684,_,00280,100
G684__00270.100,7.5813567905681,44.915569485000006,G684,_,00270,100
G684__00260.100,7.5688514473058675,44.919421445,G684,_,00260,100
G684__00250.100,7.59458091460568,44.918060595,G684,_,00250,100
G684__00240.100,7.6020194783373025,44.91397378,G684,_,00240,100
G684__00230.100,7.610172831408075,44.913035910000005,G684,_,00230,100
G684__00220.100,7.6148082508291175,44.915169805,G684,_,00220,100
G684__00210.100,7.6243322047936,44.91653397,G684,_,00210,100
G684__00180.100,7.62571508513658,44.93200277,G684,_,00180,100
G684__00170.100,7.627078964386726,44.922334715000005,G684,_,00170,100
G684__00160.100,7.610149285326154,44.924094804999996,G684,_,00160,100
G684__00150.100,7.606950562715587,44.9222247,G684,_,00150,100
G684__00140.100,7.598833188535854,44.92266102,G684,_,00140,100
G684__00130.100,7.585264861823845,44.923713324999994,G684,_,00130,100
G684__00120.100,7.578696009468478,44.921769604999994,G684,_,00120,100
G684__00110.100,7.586006449301477,44.932359125000005,G684,_,00110,100
G684__00090.100,7.5956675843589645,44.93471806,G684,_,00090,100
G684__00080.100,7.594253298161283,44.93169880000001,G684,_,00080,100
G684__00070.100,7.601685816649928,44.9251467,G684,_,00070,100
G684__00060.100,7.610047884901416,44.933411465,G684,_,00060,100
G684__00050.100,7.614161163832028,44.929679625,G684,_,00050,100
G684__00040.100,7.6058236100486205,44.93346519,G684,_,00040,100
G684__00030.100,7.607397713099159,44.94284721,G684,_,00030,100
G684__00060.1002,7.608018526842483,44.932339925,G684,_,00060,1002
G684__00060.1005,7.611266408877866,44.930790435,G684,_,00060,1005
G684__00060.1006,7.612231256367277,44.92987689500001,G684,_,00060,1006
G684__00060.1007,7.608778051685764,44.934589015,G684,_,00060,1007
G684__00060.1008,7.6079442702792015,44.932715165000005,G684,_,00060,1008
G684__00020.101,7.606149391626598,44.939147535000004,G684,_,00020,101
G684__00330.101,7.612764949929579,44.899360875,G684,_,00330,101
G684__00300.101,7.5856143911271054,44.90739174,G684,_,00300,101
G684__00290.101,7.599508525023372,44.911030775,G684,_,00290,101
G684__00280.101,7.585441769194536,44.90844581,G684,_,00280,101
G684__00270.101,7.5809703854276,44.915337765000004,G684,_,00270,101
G684__00260.101,7.568389016773658,44.919330939999995,G684,_,00260,101
G684__00250.101,7.594828614578309,44.91841634,G684,_,00250,101
G684__00240.101,7.60223684894275,44.913883335,G684,_,00240,101
G684__00220.101,7.616014720738381,44.91553845,G684,_,00220,101
G684__00210.101,7.622932705250722,44.91506452,G684,_,00210,101
G684__00190.101,7.635644764823157,44.922709534999996,G684,_,00190,101
G684__00170.101,7.626111416718456,44.922820945,G684,_,00170,101
G684__00160.101,7.609303615538482,44.92316955,G684,_,00160,101
G684__00150.101,7.607357805995695,44.922267575,G684,_,00150,101
G684__00140.101,7.59895647189394,44.92263606,G684,_,00140,101
G684__00130.101,7.5838591471258745,44.924107140000004,G684,_,00130,101
G684__00120.101,7.579425579173233,44.922111665,G684,_,00120,101
G684__00110.101,7.586102936170104,44.932485975,G684,_,00110,101
G684__00090.101,7.595773813355629,44.93498686,G684,_,00090,101
G684__00080.101,7.594595839900372,44.931308490000006,G684,_,00080,101
G684__00070.101,7.602003306776,44.925207875,G684,_,00070,101
G684__00060.101,7.609906219885948,44.93337559,G684,_,00060,101
G684__00050.101,7.613821872374264,44.929152994999995,G684,_,00050,101
G684__00030.101,7.608935164020206,44.942576145000004,G684,_,00030,101
G684__00060.1017,7.608731649690929,44.93308581,G684,_,00060,1017
G684__00020.102,7.605531236056689,44.939263595,G684,_,00020,102
G684__00300.102,7.585992999016747,44.90681388,G684,_,00300,102
G684__00290.102,7.59958712521304,44.911106675,G684,_,00290,102
G684__00280.102,7.582986260344674,44.908977425,G684,_,00280,102
G684__00270.102,7.580696907514063,44.91515427,G684,_,00270,102
G684__00260.102,7.568053782338506,44.919279075000006,G684,_,00260,102
G684__00250.102,7.596149433283241,44.91903301,G684,_,00250,102
G684__00240.102,7.602423262244258,44.91386328,G684,_,00240,102
G684__00220.102,7.615205420173272,44.914976955,G684,_,00220,102
G684__00190.102,7.635702063284565,44.923125604999996,G684,_,00190,102
G684__00170.102,7.626188733464479,44.922996,G684,_,00170,102
G684__00140.102,7.599094867457477,44.922610655,G684,_,00140,102
G684__00120.102,7.579312234898014,44.921823114999995,G684,_,00120,102
G684__00080.102,7.594136610070196,44.93152666,G684,_,00080,102
G684__00070.102,7.602528543403743,44.925053255,G684,_,00070,102
G684__00060.102,7.609832139743068,44.933568969999996,G684,_,00060,102
G684__00050.102,7.614041174259926,44.92912853,G684,_,00050,102
G684__00040.102,7.614328274472696,44.9367132,G684,_,00040,102
G684__00030.102,7.609224901672083,44.942570485000005,G684,_,00030,102
G684__00060.1026,7.608814640990364,44.93263793,G684,_,00060,1026
G684__00030.103,7.611715473991206,44.94151785,G684,_,00030,103
G684__00320.103,7.600679689829535,44.90047595,G684,_,00320,103
G684__00300.103,7.585127521995373,44.90232314,G684,_,00300,103
G684__00290.103,7.599766874913357,44.91108181,G684,_,00290,103
G684__00280.103,7.581729959220334,44.90938322,G684,_,00280,103
G684__00270.103,7.580508973075444,44.915055515000006,G684,_,00270,103
G684__00260.103,7.56838906982385,44.91948977,G684,_,00260,103
G684__00240.103,7.60320467002831,44.91768254,G684,_,00240,103
G684__00220.103,7.615696889009621,44.91485849,G684,_,00220,103
G684__00210.103,7.629261883183521,44.91459364,G684,_,00210,103
G684__00190.103,7.63567556466896,44.923463595,G684,_,00190,103
G684__00170.103,7.626894581568163,44.923997315,G684,_,00170,103
G684__00160.103,7.610570801529188,44.924049955,G684,_,00160,103
G684__00140.103,7.599240462488338,44.922581855000004,G684,_,00140,103
G684__00130.103,7.592157971671738,44.925181975,G684,_,00130,103
G684__00120.103,7.579214961417907,44.921233535,G684,_,00120,103
G684__00080.103,7.593558358666729,44.931667795,G684,_,00080,103
G684__00070.103,7.60326616519597,44.925374395,G684,_,00070,103
G684__00060.103,7.609760151862908,44.933424795,G684,_,00060,103
G684__00040.103,7.616484789948074,44.93813351,G684,_,00040,103
G684__00060.1032,7.608994315845594,44.93275093,G684,_,00060,1032
G684__00030.104,7.611255066813772,44.942566,G684,_,00030,104
G684__00320.104,7.600500021572346,44.899951595000005,G684,_,00320,104
G684__00300.104,7.585139268696135,44.90212836,G684,_,00300,104
G684__00290.104,7.600002956521949,44.91119192,G684,_,00290,104
G684__00280.104,7.58283259672139,44.908022515,G684,_,00280,104
G684__00270.104,7.58031586960862,44.91499195,G684,_,00270,104
G684__00260.104,7.568371392638188,44.919845765,G684,_,00260,104
G684__00250.104,7.598247319930321,44.91967033,G684,_,00250,104
G684__00240.104,7.602713450988945,44.913839755,G684,_,00240,104
G684__00220.104,7.614541322103969,44.91469128,G684,_,00220,104
G684__00210.104,7.624338538674669,44.91360712,G684,_,00210,104
G684__00190.104,7.635766027818935,44.923833565,G684,_,00190,104
G684__00170.104,7.626352011474541,44.923097025000004,G684,_,00170,104
G684__00160.104,7.60993130353895,44.922975505,G684,_,00160,104
G684__00140.104,7.599380809939459,44.92255456,G684,_,00140,104
G684__00130.104,7.584224095807511,44.92633802,G684,_,00130,104
G684__00120.104,7.57954926515152,44.9217444,G684,_,00120,104
G684__00110.104,7.584452391953479,44.935555789999995,G684,_,00110,104
G684__00100.104,7.591704116990031,44.934221835,G684,_,00100,104
G684__00090.104,7.601233720275566,44.93695482,G684,_,00090,104
G684__00080.104,7.593191098497797,44.931220780000004,G684,_,00080,104
G684__00070.104,7.603778881687323,44.925691825,G684,_,00070,104
G684__00040.104,7.617025914043667,44.93777049,G684,_,00040,104
G684__00060.1044,7.6109061218770595,44.93186943,G684,_,00060,1044
G684__00060.1045,7.610872691133263,44.93188101,G684,_,00060,1045
G684__00060.1046,7.610908783955006,44.931940499999996,G684,_,00060,1046
G684__00060.1048,7.609447500477527,44.934260365,G684,_,00060,1048
G684__00060.1049,7.6095195825608855,44.934560915000006,G684,_,00060,1049
G684__00030.105,7.611891934836813,44.941506090000004,G684,_,00030,105
G684__00330.105,7.611697685205969,44.89948527,G684,_,00330,105
G684__00320.105,7.599221222679915,44.89963114,G684,_,00320,105
G684__00290.105,7.5995553381224195,44.912290920000004,G684,_,00290,105
G684__00280.105,7.58413650289622,44.908712605000005,G684,_,00280,105
G684__00270.105,7.5801259035917194,44.9149703,G684,_,00270,105
