nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G786__00040.1,16.715405106694668,40.220316545,G786,_,00040,1
G786__00210.1,16.684489822220453,40.21112014,G786,_,00210,1
G786__00200.1,16.67505474419235,40.213942474999996,G786,_,00200,1
G786__00160.1,16.637157148264908,40.182175959999995,G786,_,00160,1
G786__00140.1,16.61924236782901,40.197917610000005,G786,_,00140,1
G786__00090.1,16.634947089901125,40.208784925,G786,_,00090,1
G786__00080.1,16.62076558149829,40.210929684999996,G786,_,00080,1
G786__00010.10,16.661968607304033,40.226956665,G786,_,00010,10
G786__00210.10,16.684318667956276,40.210582265,G786,_,00210,10
G786__00200.10,16.67583688715658,40.21309861500001,G786,_,00200,10
G786__00190.10,16.680840121891045,40.21652971,G786,_,00190,10
G786__00180.10,16.692712761587828,40.157518615,G786,_,00180,10
G786__00170.10,16.665987255941634,40.153791854999994,G786,_,00170,10
G786__00160.10,16.650749355455517,40.167975315,G786,_,00160,10
G786__00150.10,16.638166915376488,40.182812965,G786,_,00150,10
G786__00140.10,16.619229969051556,40.19747883,G786,_,00140,10
G786__00130.10,16.68761714809068,40.190428095,G786,_,00130,10
G786__00090.10,16.628614495795482,40.199116669999995,G786,_,00090,10
G786__00040.10,16.71609467544169,40.216585195,G786,_,00040,10
G786__00030.10,16.690440597596734,40.223274345,G786,_,00030,10
G786__00020.10,16.667470323624315,40.23114977,G786,_,00020,10
G786__00010.100,16.63782549256709,40.225038725000005,G786,_,00010,100
G786__00210.100,16.687558687956525,40.206830555,G786,_,00210,100
G786__00190.100,16.677458280030578,40.21380502,G786,_,00190,100
G786__00180.100,16.681654640619406,40.174766655,G786,_,00180,100
G786__00170.100,16.67195850758616,40.167614439999994,G786,_,00170,100
G786__00130.100,16.6946338278226,40.185815250000005,G786,_,00130,100
G786__00120.100,16.696548988936215,40.198934915,G786,_,00120,100
G786__00100.100,16.668982925852568,40.195554779999995,G786,_,00100,100
G786__00060.100,16.649849688135298,40.21415975,G786,_,00060,100
