nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G864__09120.1,9.503757447195959,45.731161595,G864,_,09120,1
G864__09120.10,9.504348315587679,45.73135576,G864,_,09120,10
G864__09120.100,9.502091277053179,45.728427745,G864,_,09120,100
G864__09060.1000,9.507181788425903,45.740164025,G864,_,09060,1000
G864__09060.1002,9.5074157897957,45.73985284,G864,_,09060,1002
G864__09110.1003,9.48724975812003,45.730059600000004,G864,_,09110,1003
G864__09060.1004,9.507557757148518,45.739582244999994,G864,_,09060,1004
G864__09060.1005,9.507920414912654,45.73957018,G864,_,09060,1005
G864__09130.1006,9.512767401298811,45.724612305,G864,_,09130,1006
G864__09060.1008,9.506983054209364,45.739216085,G864,_,09060,1008
G864__09060.1011,9.506991107778111,45.739637275,G864,_,09060,1011
G864__09060.1012,9.507188132462243,45.739647765,G864,_,09060,1012
G864__09060.1013,9.507144545291496,45.739783970000005,G864,_,09060,1013
G864__09060.1015,9.507472590623568,45.739562235,G864,_,09060,1015
G864__09060.1016,9.50749932524988,45.73968097,G864,_,09060,1016
G864__09120.1018,9.507468782423798,45.72825879,G864,_,09120,1018
G864__09060.1021,9.506487811692004,45.740269760000004,G864,_,09060,1021
G864__09130.1022,9.520353065160926,45.728502155,G864,_,09130,1022
G864__09060.1027,9.50443777065719,45.739853305,G864,_,09060,1027
G864__09130.1028,9.514045046490384,45.726382674999996,G864,_,09130,1028
G864__09060.1029,9.50505959808289,45.74051215,G864,_,09060,1029
G864__09060.103,9.508992701322327,45.731877275,G864,_,09060,103
G864__09010.1030,9.505518323247854,45.74114119,G864,_,09010,1030
G864__09010.1033,9.505224592355216,45.74159065,G864,_,09010,1033
G864__09010.1034,9.504872720700476,45.74125479,G864,_,09010,1034
G864__09120.1035,9.497969262756271,45.72723589,G864,_,09120,1035
G864__09010.1039,9.503433290700382,45.740451835,G864,_,09010,1039
G864__09010.1041,9.503156176873606,45.740642285,G864,_,09010,1041
G864__09130.1042,9.50999754138223,45.721857224999994,G864,_,09130,1042
G864__09120.1043,9.508294997783569,45.727150894999994,G864,_,09120,1043
G864__09120.1044,9.504577303518442,45.73106723,G864,_,09120,1044
G864__0901.1045,9.50374270300945,45.741171890000004,G864,_,0901,1045
G864__09040.1046,9.462130867955956,45.73313935,G864,_,09040,1046
G864__09050.1047,9.491346902102622,45.73232185,G864,_,09050,1047
G864__09050.1048,9.492090690900579,45.732569825,G864,_,09050,1048
G864__09070.105,9.511434662302648,45.734183290000004,G864,_,09070,105
G864__09060.1050,9.503760461959939,45.738563514999996,G864,_,09060,1050
G864__09060.1051,9.504814100495791,45.738754145,G864,_,09060,1051
G864__09060.1053,9.495032012918895,45.733519709999996,G864,_,09060,1053
G864__09120.1054,9.505444812891355,45.73076073,G864,_,09120,1054
G864__09060.1057,9.50488390153022,45.737600979999996,G864,_,09060,1057
G864__09050.1058,9.491495380336872,45.733927324999996,G864,_,09050,1058
G864__09070.106,9.514632467880624,45.732695500000005,G864,_,09070,106
G864__09060.1060,9.50169121155785,45.732266714999994,G864,_,09060,1060
G864__0906.1061,9.501328524182394,45.732194635,G864,_,0906,1061
G864__09050.1062,9.48760003421443,45.73342706,G864,_,09050,1062
G864__09130.1066,9.519394991954734,45.724946795,G864,_,09130,1066
G864__09060.1068,9.503382534924452,45.737333805000006,G864,_,09060,1068
G864__09060.1069,9.503429332045208,45.737394699999996,G864,_,09060,1069
G864__09070.107,9.512153329124247,45.733711705000005,G864,_,09070,107
G864__09060.1070,9.507761135213492,45.739790845,G864,_,09060,1070
G864__09060.1071,9.494533272509521,45.73205835,G864,_,09060,1071
G864__09120.1074,9.502954645148641,45.728894964999995,G864,_,09120,1074
G864__09060.1077,9.503902993111602,45.731885235,G864,_,09060,1077
G864__09120.1078,9.504112376786438,45.730095809999995,G864,_,09120,1078
G864__09060.1079,9.494491447811992,45.73336595,G864,_,09060,1079
G864__09060.1080,9.508753419009405,45.740021549999994,G864,_,09060,1080
G864__09020.1083,9.509993793357388,45.740842015,G864,_,09020,1083
G864__09060.1084,9.494900065909686,45.733815195,G864,_,09060,1084
G864__0906.1087,9.498117629959204,45.733110499999995,G864,_,0906,1087
G864__09060.1088,9.498841111901417,45.732973015,G864,_,09060,1088
G864__09120.109,9.499868107339353,45.730807365000004,G864,_,09120,109
G864__09020.1090,9.510940549872087,45.74165499,G864,_,09020,1090
G864__09020.1091,9.511181618096092,45.741594765,G864,_,09020,1091
G864__09020.1093,9.511162615420744,45.742017155,G864,_,09020,1093
G864__09020.1094,9.512385480584754,45.74132045,G864,_,09020,1094
G864__09130.1095,9.523012282092171,45.730205445,G864,_,09130,1095
G864__09020.1096,9.51248129791006,45.741721795000004,G864,_,09020,1096
G864__09020.1097,9.512428582209598,45.742218065,G864,_,09020,1097
G864__0901.1098,9.50295736732551,45.74078134,G864,_,0901,1098
G864__09020.1100,9.51152627726528,45.742666064999995,G864,_,09020,1100
G864__09130.1102,9.51370269507456,45.726305589999996,G864,_,09130,1102
G864__09130.1103,9.51955924724286,45.728728425,G864,_,09130,1103
G864__09120.1106,9.507464814316023,45.727155095,G864,_,09120,1106
G864__09020.1108,9.510605898781455,45.74414059,G864,_,09020,1108
G864__09010.1109,9.509216162467753,45.746523595,G864,_,09010,1109
G864__09070.111,9.514216926273114,45.73399193,G864,_,09070,111
G864__09010.1110,9.509043473056735,45.74669184,G864,_,09010,1110
G864__09010.1111,9.508716813151432,45.746055674999994,G864,_,09010,1111
G864__09010.1112,9.508368391786286,45.745107265,G864,_,09010,1112
G864__09010.1113,9.508340485445357,45.74443995,G864,_,09010,1113
G864__09010.1114,9.508774032947889,45.743937575000004,G864,_,09010,1114
G864__09120.1118,9.50435908855789,45.729466235000004,G864,_,09120,1118
G864__09110.1119,9.486624256239406,45.72623184,G864,_,09110,1119
G864__09070.112,9.513692475806653,45.734144115,G864,_,09070,112
G864__09110.1120,9.486962294441659,45.727532825,G864,_,09110,1120
G864__09100.1122,9.464753958818562,45.727989295,G864,_,09100,1122
G864__09010.1123,9.507391251440843,45.743604579999996,G864,_,09010,1123
G864__09100.1124,9.473000899758695,45.730564355,G864,_,09100,1124
