nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G904__00010.1,11.765339546725201,44.051705865,G904,_,00010,1
G904__00620.1,11.693927399030194,43.966379384999996,G904,_,00620,1
G904__00610.1,11.675691281379606,43.96683473,G904,_,00610,1
G904__00600.1,11.67638495944229,43.971819145,G904,_,00600,1
G904__00590.1,11.712600208618102,43.973414535,G904,_,00590,1
G904__00580.1,11.693034918334886,43.972261615,G904,_,00580,1
G904__00570.1,11.685330037599805,43.9810889,G904,_,00570,1
G904__00560.1,11.678095956800044,43.981610365,G904,_,00560,1
G904__00550.1,11.664159556023257,43.97630764,G904,_,00550,1
G904__00540.1,11.657227440223032,43.98222897,G904,_,00540,1
G904__00530.1,11.713003050840124,43.98071187,G904,_,00530,1
G904__00520.1,11.703681824337092,43.98068019,G904,_,00520,1
G904__00510.1,11.692240118699567,43.986161859999996,G904,_,00510,1
G904__00500.1,11.68571112685157,43.985846325,G904,_,00500,1
G904__00490.1,11.676135802773668,43.991105860000005,G904,_,00490,1
G904__00480.1,11.648011514886527,43.988178665,G904,_,00480,1
G904__00470.1,11.74648234330327,43.99073979,G904,_,00470,1
G904__00460.1,11.73627362934414,43.991132164999996,G904,_,00460,1
G904__00450.1,11.72918694726934,43.986940755,G904,_,00450,1
G904__00440.1,11.712031412764208,43.98847931,G904,_,00440,1
G904__00430.1,11.711371060369222,43.9955707,G904,_,00430,1
G904__00420.1,11.71147241310251,43.99558123,G904,_,00420,1
G904__00410.1,11.702989782152766,43.99702019,G904,_,00410,1
G904__00400.1,11.685937704665257,43.998848645,G904,_,00400,1
G904__00390.1,11.674347928622701,43.99693343,G904,_,00390,1
G904__00370.1,11.763861592257435,44.006913714999996,G904,_,00370,1
G904__00360.1,11.759926199896942,44.000051604999996,G904,_,00360,1
G904__00350.1,11.747763653681545,44.004158455,G904,_,00350,1
G904__00340.1,11.740291039466904,44.001305599999995,G904,_,00340,1
G904__00330.1,11.73193924141494,44.002839480000006,G904,_,00330,1
G904__00320.1,11.73073850055416,44.003723414999996,G904,_,00320,1
G904__00310.1,11.705018540132105,44.003418499999995,G904,_,00310,1
G904__00300.1,11.696028573488368,44.005057109999996,G904,_,00300,1
G904__00290.1,11.679710412204207,44.00536263,G904,_,00290,1
G904__00280.1,11.650679340291722,44.005025335,G904,_,00280,1
G904__00270.1,11.792966079909462,44.019614015,G904,_,00270,1
G904__00260.1,11.778274380787135,44.024523079999994,G904,_,00260,1
G904__00250.1,11.767271051536394,44.01681145,G904,_,00250,1
G904__00240.1,11.759513759213416,44.01773917,G904,_,00240,1
G904__00230.1,11.750704243903838,44.012520575,G904,_,00230,1
G904__00220.1,11.755164290074541,44.02089493,G904,_,00220,1
G904__00210.1,11.738141588544803,44.019256229999996,G904,_,00210,1
G904__00200.1,11.73102860066097,44.016267095,G904,_,00200,1
G904__00190.1,11.727310211285667,44.014957554999995,G904,_,00190,1
G904__00180.1,11.70747013606384,44.013306555,G904,_,00180,1
G904__00170.1,11.701624759518303,44.014532259999996,G904,_,00170,1
G904__00160.1,11.690067566680222,44.01263867,G904,_,00160,1
G904__00150.1,11.67759096280297,44.017773215000005,G904,_,00150,1
G904__00140.1,11.668821732240968,44.013099,G904,_,00140,1
G904__00130.1,11.670523341645456,44.02141885,G904,_,00130,1
G904__00120.1,11.787254099418792,44.02660115,G904,_,00120,1
G904__00100.1,11.777253600031035,44.031034215,G904,_,00100,1
G904__00090.1,11.756992873247906,44.028681405,G904,_,00090,1
G904__00080.1,11.73654419607076,44.028022875000005,G904,_,00080,1
G904__00070.1,11.73320177705567,44.026362184999996,G904,_,00070,1
G904__00050.1,11.776488456413265,44.041665045,G904,_,00050,1
G904__00030.1,11.764505885299936,44.036458894999996,G904,_,00030,1
G904__00020.1,11.779755786108208,44.049181770000004,G904,_,00020,1
G904__00010.10,11.764139435244962,44.051386285,G904,_,00010,10
G904__00620.10,11.699510673364184,43.963445575,G904,_,00620,10
G904__00610.10,11.684082669023077,43.96472645,G904,_,00610,10
G904__00600.10,11.678172881510816,43.96960703,G904,_,00600,10
G904__00590.10,11.718521566799911,43.973047054999995,G904,_,00590,10
G904__00580.10,11.708976353124964,43.970842235,G904,_,00580,10
G904__00570.10,11.6894195342321,43.979574555,G904,_,00570,10
G904__00560.10,11.681281481599282,43.97847777,G904,_,00560,10
G904__00550.10,11.669193287383074,43.974063470000004,G904,_,00550,10
G904__00540.10,11.656403757011415,43.98019809,G904,_,00540,10
G904__00530.10,11.729650871075483,43.97531083,G904,_,00530,10
