nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H021__00010.1,8.658011401170853,44.77667687,H021,_,00010,1
H021__00400.1,8.660712573573203,44.750556885,H021,_,00400,1
H021__00390.1,8.646960219628522,44.717208029999995,H021,_,00390,1
H021__00370.1,8.626632715217013,44.722443545,H021,_,00370,1
H021__00360.1,8.623917520072737,44.72455981,H021,_,00360,1
H021__00350.1,8.617933658962528,44.729730430000004,H021,_,00350,1
H021__00340.1,8.614688259612585,44.741312230000005,H021,_,00340,1
H021__00330.1,8.61633142378877,44.752038545000005,H021,_,00330,1
H021__00320.1,8.62320395937163,44.750799825,H021,_,00320,1
H021__00310.1,8.630300369057576,44.75108005,H021,_,00310,1
H021__00300.1,8.639868175106765,44.75141706,H021,_,00300,1
H021__00290.1,8.619982921932518,44.758195035,H021,_,00290,1
H021__00280.1,8.633074951979616,44.764890234999996,H021,_,00280,1
H021__00270.1,8.63202485963069,44.76595959,H021,_,00270,1
H021__00260.1,8.629106506637434,44.768576464999995,H021,_,00260,1
H021__00250.1,8.613896550588606,44.75833417,H021,_,00250,1
H021__00240.1,8.611911719223954,44.76757103,H021,_,00240,1
H021__00230.1,8.608498517600019,44.775147425,H021,_,00230,1
H021__00210.1,8.61419245383449,44.792346705,H021,_,00210,1
H021__00200.1,8.623224767885873,44.783501525000005,H021,_,00200,1
H021__00190.1,8.6201346349816,44.779021385,H021,_,00190,1
H021__00180.1,8.618256230491578,44.773703955,H021,_,00180,1
H021__00160.1,8.65112243123285,44.78143178,H021,_,00160,1
H021__00150.1,8.632730403487226,44.779913295,H021,_,00150,1
H021__00120.1,8.643944902293864,44.7944176,H021,_,00120,1
H021__00110.1,8.649338241310971,44.737938545,H021,_,00110,1
H021__00100.1,8.643211260423321,44.740967255,H021,_,00100,1
H021__00090.1,8.629730802803177,44.7445565,H021,_,00090,1
H021__00070.1,8.643003125802332,44.751838265,H021,_,00070,1
H021__00050.1,8.644520842852206,44.758674535,H021,_,00050,1
H021__00040.1,8.66021247164473,44.770991265000006,H021,_,00040,1
H021__00030.1,8.654316947622343,44.769004214999995,H021,_,00030,1
H021__00020.1,8.643297210219725,44.772444135,H021,_,00020,1
H021__00020.10,8.642780835094914,44.77125359,H021,_,00020,10
H021__00400.10,8.66779886813944,44.748514045,H021,_,00400,10
H021__00380.10,8.65090642729805,44.720699065000005,H021,_,00380,10
H021__00370.10,8.626637414983357,44.718629005,H021,_,00370,10
H021__00360.10,8.630823864376193,44.726132995,H021,_,00360,10
H021__00350.10,8.618777586394518,44.730026734999996,H021,_,00350,10
H021__00340.10,8.61584941599883,44.739979254999994,H021,_,00340,10
H021__00330.10,8.615412558002756,44.75119316,H021,_,00330,10
H021__00320.10,8.62433181916385,44.750244519999995,H021,_,00320,10
H021__00310.10,8.633724201810173,44.75051943,H021,_,00310,10
H021__00300.10,8.641639988196022,44.7516148,H021,_,00300,10
H021__00270.10,8.63497344899416,44.754593095000004,H021,_,00270,10
H021__00260.10,8.628827658575936,44.766804225,H021,_,00260,10
H021__00250.10,8.614093816171678,44.757840740000006,H021,_,00250,10
H021__00240.10,8.612911147860792,44.765650385,H021,_,00240,10
H021__00230.10,8.610451622267327,44.774685775,H021,_,00230,10
H021__00220.10,8.604110905980498,44.781328595,H021,_,00220,10
H021__00200.10,8.62117218383218,44.78258659,H021,_,00200,10
H021__00190.10,8.620230156999106,44.776865295,H021,_,00190,10
H021__00180.10,8.620495718483031,44.773645865,H021,_,00180,10
H021__00170.10,8.634841916621873,44.769254360000005,H021,_,00170,10
H021__00150.10,8.640019965052659,44.77848384,H021,_,00150,10
H021__00130.10,8.638068729151202,44.793090735,H021,_,00130,10
H021__00110.10,8.650069124164975,44.73726174,H021,_,00110,10
H021__00100.10,8.643328107523892,44.740159000000006,H021,_,00100,10
H021__00090.10,8.629717977240134,44.744242055,H021,_,00090,10
H021__00070.10,8.645154449135699,44.752128825,H021,_,00070,10
H021__00040.10,8.660299197781901,44.769828849999996,H021,_,00040,10
H021__00030.10,8.655044192644215,44.768307535000005,H021,_,00030,10
H021__00010.100,8.65135715338861,44.768538015000004,H021,_,00010,100
H021__00400.100,8.670983458447601,44.747506900000005,H021,_,00400,100
H021__00390.100,8.653470376060248,44.715569455,H021,_,00390,100
