nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H266__00010.1,8.230391616408108,44.24282088,H266,_,00010,1
H266__00260.1,8.284059101500901,44.2150072,H266,_,00260,1
H266__00250.1,8.289480786013458,44.218519115,H266,_,00250,1
H266__00240.1,8.2808077230043,44.218614759999994,H266,_,00240,1
H266__00230.1,8.269674058377268,44.21876588,H266,_,00230,1
H266__00220.1,8.266785844996821,44.21815563,H266,_,00220,1
H266__00200.1,8.252942676180494,44.223344065,H266,_,00200,1
H266__00190.1,8.236903307030396,44.21630376,H266,_,00190,1
H266__00180.1,8.279914037597099,44.223472994999995,H266,_,00180,1
H266__00170.1,8.270460819821398,44.22311705,H266,_,00170,1
H266__00160.1,8.271227644709668,44.231264345,H266,_,00160,1
H266__00150.1,8.267434048326466,44.224794265,H266,_,00150,1
H266__00140.1,8.259166268803746,44.227526185,H266,_,00140,1
H266__00130.1,8.25972270587409,44.228571625,H266,_,00130,1
H266__00120.1,8.252870582706331,44.22890281,H266,_,00120,1
H266__00110.1,8.24848195684972,44.22915514,H266,_,00110,1
H266__00100.1,8.23752748593477,44.227989835,H266,_,00100,1
H266__00080.1,8.260941234682752,44.232546685,H266,_,00080,1
H266__00070.1,8.258452003997025,44.24110109,H266,_,00070,1
H266__00060.1,8.252797297857514,44.239089625,H266,_,00060,1
H266__00050.1,8.245705436766396,44.234776315000005,H266,_,00050,1
H266__00040.1,8.232801457298569,44.234673235,H266,_,00040,1
H266__00030.1,8.216682567240177,44.232692244999996,H266,_,00030,1
H266__00020.1,8.246256682185185,44.244153945,H266,_,00020,1
H266__00010.10,8.235307419804908,44.24408558499999,H266,_,00010,10
H266__00260.10,8.283766441824941,44.214606975,H266,_,00260,10
H266__00250.10,8.285759105750765,44.21802881,H266,_,00250,10
H266__00240.10,8.279525296763323,44.218050555000005,H266,_,00240,10
H266__00230.10,8.269994848532335,44.218274395,H266,_,00230,10
H266__00220.10,8.267363122904126,44.21759006,H266,_,00220,10
H266__00210.10,8.2585257658283,44.22161265,H266,_,00210,10
H266__00200.10,8.251670205104828,44.222527865,H266,_,00200,10
H266__00190.10,8.24654205993572,44.21861473,H266,_,00190,10
H266__00180.10,8.283995776423101,44.22290554,H266,_,00180,10
H266__00160.10,8.269486526117538,44.2288667,H266,_,00160,10
H266__00150.10,8.267582590810248,44.22406522,H266,_,00150,10
H266__00140.10,8.260642897169047,44.226962085,H266,_,00140,10
H266__00130.10,8.262186832874216,44.228418485000006,H266,_,00130,10
H266__00120.10,8.253672598417598,44.227777384999996,H266,_,00120,10
H266__00110.10,8.249419512349473,44.229607595000004,H266,_,00110,10
H266__00100.10,8.240692482876046,44.22687666,H266,_,00100,10
H266__00090.10,8.269686186917697,44.23676279,H266,_,00090,10
H266__00080.10,8.263039145227449,44.232787994999995,H266,_,00080,10
H266__00070.10,8.26156666514585,44.240098075000006,H266,_,00070,10
H266__00060.10,8.249629092219852,44.235593675,H266,_,00060,10
H266__00050.10,8.24557405178243,44.232896215,H266,_,00050,10
H266__00040.10,8.233313471091463,44.233277290000004,H266,_,00040,10
H266__00030.10,8.206029985571213,44.238855439999995,H266,_,00030,10
H266__00020.10,8.250654414383227,44.24327635,H266,_,00020,10
H266__00010.100,8.242045101833844,44.242716310000006,H266,_,00010,100
H266__00260.100,8.284686060542702,44.213580485,H266,_,00260,100
H266__00250.100,8.292513597995184,44.216504,H266,_,00250,100
H266__00240.100,8.283281145525418,44.21706781,H266,_,00240,100
H266__00230.100,8.275696699607629,44.216756685,H266,_,00230,100
H266__00220.100,8.271190954881506,44.21298267,H266,_,00220,100
H266__00210.100,8.262636572677078,44.21837832,H266,_,00210,100
H266__00200.100,8.254036963080257,44.219294015,H266,_,00200,100
H266__00180.100,8.28854532652498,44.22070836,H266,_,00180,100
H266__00170.100,8.273300418259613,44.221339195,H266,_,00170,100
H266__00160.100,8.288068908489233,44.226194055,H266,_,00160,100
H266__00150.100,8.268736522462408,44.221916915,H266,_,00150,100
H266__00140.100,8.261398386987144,44.225282335,H266,_,00140,100
H266__00130.100,8.26366100537361,44.229918780000006,H266,_,00130,100
H266__00120.100,8.255842470264344,44.226108725,H266,_,00120,100
H266__00110.100,8.250033170216422,44.22647861,H266,_,00110,100
H266__00100.100,8.247537897874748,44.224790354999996,H266,_,00100,100
H266__00080.100,8.266008882964641,44.231096635,H266,_,00080,100
H266__00070.100,8.262089258995971,44.2333406,H266,_,00070,100
H266__00060.100,8.254381580675796,44.23381046,H266,_,00060,100
H266__00050.100,8.247981847235668,44.230713995,H266,_,00050,100
H266__00040.100,8.244980736860725,44.23542166,H266,_,00040,100
H266__00030.100,8.230536430698374,44.23872231,H266,_,00030,100
H266__00010.101,8.242492727413678,44.243288555,H266,_,00010,101
H266__00260.101,8.284807018277291,44.21343043500001,H266,_,00260,101
H266__00250.101,8.29316573835423,44.216460305,H266,_,00250,101
H266__00230.101,8.276136965212766,44.21684026,H266,_,00230,101
H266__00220.101,8.263069251806353,44.21230208,H266,_,00220,101
H266__00210.101,8.262153839640462,44.218371315,H266,_,00210,101
H266__00200.101,8.251841466402068,44.215828015,H266,_,00200,101
H266__00180.101,8.289752395405326,44.220988274999996,H266,_,00180,101
H266__00170.101,8.273472673733338,44.22141119,H266,_,00170,101
H266__00160.101,8.287392784183986,44.22486626,H266,_,00160,101
H266__00150.101,8.269016579602571,44.221972910000005,H266,_,00150,101
H266__00140.101,8.261621934570774,44.225252555,H266,_,00140,101
H266__00130.101,8.262959582895132,44.229559375,H266,_,00130,101
H266__00120.101,8.255954632605206,44.22612268,H266,_,00120,101
H266__00110.101,8.249861553565719,44.22646313,H266,_,00110,101
H266__00100.101,8.247135320629539,44.22463219,H266,_,00100,101
H266__00080.101,8.26596437693664,44.23093791,H266,_,00080,101
H266__00070.101,8.26253523867026,44.23339389,H266,_,00070,101
H266__00060.101,8.254898318464736,44.234094655,H266,_,00060,101
H266__00050.101,8.247924588223526,44.23041223,H266,_,00050,101
H266__00040.101,8.244940999039159,44.235210695,H266,_,00040,101
H266__00030.101,8.230468795375739,44.238330180000005,H266,_,00030,101
H266__00010.102,8.243065691277014,44.2431598,H266,_,00010,102
H266__00260.102,8.285166011726801,44.213416455,H266,_,00260,102
H266__00250.102,8.284221804352935,44.217130575,H266,_,00250,102
H266__00240.102,8.283204920035288,44.21692571,H266,_,00240,102
H266__00230.102,8.276499639439798,44.216934054999996,H266,_,00230,102
H266__00220.102,8.263744418344245,44.21258209,H266,_,00220,102
H266__00210.102,8.262457357152279,44.21819399,H266,_,00210,102
H266__00200.102,8.252960899591518,44.222729095000005,H266,_,00200,102
H266__00180.102,8.284587469123911,44.220019199999996,H266,_,00180,102
H266__00170.102,8.27319425397424,44.221619454999995,H266,_,00170,102
H266__00160.102,8.287924102873047,44.22468734,H266,_,00160,102
H266__00150.102,8.26911650211025,44.222300575,H266,_,00150,102
H266__00140.102,8.261643386287371,44.22502715,H266,_,00140,102
H266__00130.102,8.262808379489117,44.22938208,H266,_,00130,102
H266__00120.102,8.25632835199103,44.22715617,H266,_,00120,102
H266__00110.102,8.24961000638713,44.226265145,H266,_,00110,102
H266__00100.102,8.247016135105032,44.224512739999994,H266,_,00100,102
H266__00080.102,8.266025138582776,44.23082408,H266,_,00080,102
H266__00070.102,8.262959738980571,44.23351414,H266,_,00070,102
