nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H387__00010.1,12.984374840497683,41.984434465,H387,_,00010,1
H387__00200.1,13.019835773284239,41.958090645,H387,_,00200,1
H387__00190.1,13.032254578542556,41.95746236,H387,_,00190,1
H387__00180.1,13.033104837952022,41.952410279999995,H387,_,00180,1
H387__00170.1,13.013905026308013,41.946340105000004,H387,_,00170,1
H387__00160.1,13.03475435037938,41.96516808,H387,_,00160,1
H387__00150.1,13.0219536614917,41.959075275000004,H387,_,00150,1
H387__00140.1,13.016442126328762,41.956724449999996,H387,_,00140,1
H387__00130.1,13.001043083871402,41.94981914,H387,_,00130,1
H387__00120.1,13.0284688193229,41.970353155,H387,_,00120,1
H387__00110.1,13.016590169764875,41.972602359999996,H387,_,00110,1
H387__00100.1,13.00737099806004,41.964526245,H387,_,00100,1
H387__00090.1,13.007259924545252,41.965512,H387,_,00090,1
H387__00080.1,12.999651000841562,41.96403194,H387,_,00080,1
H387__00070.1,12.994233630895984,41.96302771,H387,_,00070,1
H387__00060.1,13.007740413918713,41.9763948,H387,_,00060,1
H387__00050.1,13.005175045107663,41.97798137,H387,_,00050,1
H387__00040.1,12.993228218191566,41.973621675000004,H387,_,00040,1
H387__00030.1,12.988380379608353,41.97350133,H387,_,00030,1
H387__00020.1,12.992327565917947,41.9844305,H387,_,00020,1
H387__00010.10,12.982758072108364,41.982772745,H387,_,00010,10
H387__00200.10,13.02044854538791,41.958251004999994,H387,_,00200,10
H387__00190.10,13.035558753977245,41.956993,H387,_,00190,10
H387__00170.10,13.014035381606865,41.94526183,H387,_,00170,10
H387__00160.10,13.033743734335406,41.96445684,H387,_,00160,10
H387__00150.10,13.023090076334993,41.9592258,H387,_,00150,10
H387__00140.10,13.015076887838545,41.95469426,H387,_,00140,10
H387__00130.10,13.002577215713739,41.949399035,H387,_,00130,10
H387__00120.10,13.027239873078171,41.969362165,H387,_,00120,10
H387__00110.10,13.01724769338269,41.97156093,H387,_,00110,10
H387__00100.10,13.009596847265684,41.96457635,H387,_,00100,10
H387__00090.10,13.00610236073668,41.95965375,H387,_,00090,10
H387__00080.10,13.00177491807305,41.963666794999995,H387,_,00080,10
H387__00070.10,12.995436660553079,41.960627335,H387,_,00070,10
H387__00060.10,13.008473994652373,41.97681738,H387,_,00060,10
H387__00050.10,13.005072470260174,41.97670171,H387,_,00050,10
H387__00040.10,13.000090275972745,41.972572299999996,H387,_,00040,10
H387__00030.10,12.990886393519261,41.974157735,H387,_,00030,10
H387__00020.10,12.993783016737948,41.983836765,H387,_,00020,10
H387__00010.100,12.984989467716245,41.977987965,H387,_,00010,100
H387__00200.100,13.020801306159887,41.957600725,H387,_,00200,100
H387__00190.100,13.049016960948187,41.957257694999996,H387,_,00190,100
H387__00180.100,13.030157228189498,41.947300695,H387,_,00180,100
H387__00170.100,13.021056276947391,41.94272939,H387,_,00170,100
H387__00160.100,13.043813330757287,41.96246652,H387,_,00160,100
H387__00150.100,13.023260867867368,41.95617423,H387,_,00150,100
H387__00140.100,13.018056799285128,41.95205819,H387,_,00140,100
H387__00120.100,13.026252148827172,41.96524117,H387,_,00120,100
H387__00110.100,13.02558027031765,41.96876413,H387,_,00110,100
H387__00100.100,13.013966348680153,41.960451345,H387,_,00100,100
H387__00080.100,13.005652025522068,41.95106353,H387,_,00080,100
H387__00070.100,13.000358210756215,41.950548165,H387,_,00070,100
H387__00060.100,13.017631994208434,41.97832237,H387,_,00060,100
H387__00050.100,13.003267993344327,41.97198675,H387,_,00050,100
H387__00020.100,12.997219792658274,41.978721945000004,H387,_,00020,100
