nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H395__00010.1,7.736330990521214,44.463064395,H395,_,00010,1
H395__00430.1,7.729605700350569,44.4121643,H395,_,00430,1
H395__00420.1,7.735459261473537,44.413578845,H395,_,00420,1
H395__00410.1,7.723665991126128,44.417900015,H395,_,00410,1
H395__00400.1,7.736911445652485,44.422017139999994,H395,_,00400,1
H395__00390.1,7.753262393440478,44.42114182,H395,_,00390,1
H395__00370.1,7.7606319994978215,44.419115919999996,H395,_,00370,1
H395__00360.1,7.773256801611545,44.42994012,H395,_,00360,1
H395__00340.1,7.752715741421456,44.42929178999999,H395,_,00340,1
H395__00330.1,7.762179905084222,44.43536849,H395,_,00330,1
H395__00320.1,7.74889606233889,44.431664205000004,H395,_,00320,1
H395__00310.1,7.743870923836287,44.429465324999995,H395,_,00310,1
H395__00290.1,7.72906508825279,44.42641958,H395,_,00290,1
H395__00280.1,7.726456412125959,44.43311647,H395,_,00280,1
H395__00270.1,7.7190266877985145,44.432739255,H395,_,00270,1
H395__00260.1,7.711748027605227,44.443369425,H395,_,00260,1
H395__00250.1,7.7226659277986665,44.442873895000005,H395,_,00250,1
H395__00230.1,7.73218576329146,44.433455565,H395,_,00230,1
H395__00220.1,7.743841342637986,44.43540584,H395,_,00220,1
H395__00210.1,7.75160803679895,44.44093769,H395,_,00210,1
H395__00200.1,7.76168655505213,44.448772455,H395,_,00200,1
H395__00190.1,7.760835249458372,44.44375393,H395,_,00190,1
H395__00180.1,7.768646307786835,44.44658389,H395,_,00180,1
H395__00170.1,7.768018975267153,44.457485590000005,H395,_,00170,1
H395__00160.1,7.7541761050979945,44.45353059,H395,_,00160,1
H395__00150.1,7.748637040501419,44.44829907,H395,_,00150,1
H395__00130.1,7.731583165497122,44.45109757,H395,_,00130,1
H395__00110.1,7.71332214519051,44.450010895,H395,_,00110,1
H395__00100.1,7.718873262182898,44.453544820000005,H395,_,00100,1
H395__00070.1,7.740706243525077,44.453744475,H395,_,00070,1
H395__00060.1,7.749132912009635,44.46196803,H395,_,00060,1
H395__00050.1,7.749553864443618,44.463211085,H395,_,00050,1
H395__00030.1,7.761991537275548,44.463223305,H395,_,00030,1
H395__00020.1,7.749793427063258,44.468543345,H395,_,00020,1
H395__00010.10,7.744011142249414,44.46667601,H395,_,00010,10
H395__00440.10,7.755487401106495,44.407302779999995,H395,_,00440,10
H395__00430.10,7.736565268301652,44.41059172,H395,_,00430,10
H395__00420.10,7.73851493342861,44.414999105,H395,_,00420,10
H395__00410.10,7.724637044926127,44.418488385,H395,_,00410,10
H395__00400.10,7.74383890580821,44.422470385,H395,_,00400,10
H395__00390.10,7.755261376880663,44.42014611,H395,_,00390,10
H395__00380.10,7.7612850452934685,44.416239535,H395,_,00380,10
H395__00370.10,7.761118794369558,44.41771218,H395,_,00370,10
H395__00360.10,7.7709416095370125,44.42878508,H395,_,00360,10
H395__00350.10,7.761118761271934,44.425542165,H395,_,00350,10
H395__00340.10,7.756402755206837,44.430265915,H395,_,00340,10
H395__00330.10,7.766317095930525,44.436719915,H395,_,00330,10
H395__00320.10,7.7537064657179275,44.433058900000006,H395,_,00320,10
H395__00310.10,7.744307833753161,44.43019917,H395,_,00310,10
H395__00290.10,7.732030903892874,44.42730332,H395,_,00290,10
H395__00280.10,7.7273595200246525,44.431529,H395,_,00280,10
H395__00270.10,7.721052982904556,44.433938305,H395,_,00270,10
H395__00260.10,7.714915590643804,44.442979405,H395,_,00260,10
H395__00250.10,7.729171740870758,44.443524014999994,H395,_,00250,10
H395__00230.10,7.736351381248137,44.43351544,H395,_,00230,10
H395__00220.10,7.746202527723467,44.43124048,H395,_,00220,10
H395__00210.10,7.75406201086043,44.441833785,H395,_,00210,10
H395__00200.10,7.764473935225356,44.450276015,H395,_,00200,10
H395__00190.10,7.767465194191445,44.444553665,H395,_,00190,10
H395__00170.10,7.772436520269567,44.45899553,H395,_,00170,10
H395__00160.10,7.75710026180324,44.454087470000005,H395,_,00160,10
H395__00150.10,7.751479294663376,44.44748231,H395,_,00150,10
H395__00130.10,7.734109580045291,44.452779095,H395,_,00130,10
H395__00120.10,7.723516069878505,44.449100015,H395,_,00120,10
H395__00110.10,7.712445799891958,44.44906852,H395,_,00110,10
H395__00090.10,7.73077219702434,44.46030787,H395,_,00090,10
H395__00080.10,7.745897806557416,44.461673705,H395,_,00080,10
H395__00070.10,7.743467490698633,44.453675845,H395,_,00070,10
H395__00030.10,7.764420195774211,44.46504039,H395,_,00030,10
H395__00020.10,7.753285452362205,44.467571215,H395,_,00020,10
H395__00010.100,7.747237935613375,44.46501873,H395,_,00010,100
H395__00440.100,7.749736843416439,44.40838229,H395,_,00440,100
H395__00430.100,7.747734674034195,44.411484105,H395,_,00430,100
H395__00420.100,7.747547682649551,44.412363029999995,H395,_,00420,100
H395__00410.100,7.734496729853575,44.42008278,H395,_,00410,100
H395__00390.100,7.755144718091241,44.419394374999996,H395,_,00390,100
H395__00380.100,7.755913711623236,44.40931161,H395,_,00380,100
H395__00370.100,7.764746999198806,44.414474424999995,H395,_,00370,100
H395__0035.100,7.76114758119866,44.424065655,H395,_,0035,100
H395__00340.100,7.753791451227397,44.425498215000005,H395,_,00340,100
H395__00330.100,7.770232282426861,44.4374509,H395,_,00330,100
H395__00320.100,7.758286599257007,44.43134646,H395,_,00320,100
H395__00300.100,7.749005131222564,44.425685990000005,H395,_,00300,100
H395__00290.100,7.739104756118243,44.427020755,H395,_,00290,100
H395__00280.100,7.733115599532386,44.430613005,H395,_,00280,100
H395__00260.100,7.72137769143346,44.43691604,H395,_,00260,100
H395__00250.100,7.734910118902535,44.437078105,H395,_,00250,100
H395__00240.100,7.747112118140169,44.43854117,H395,_,00240,100
H395__00230.100,7.734601013233604,44.43105044,H395,_,00230,100
H395__00220.100,7.75719735777067,44.435260115,H395,_,00220,100
H395__00210.100,7.760993209238755,44.43998888,H395,_,00210,100
H395__00200.100,7.749943106206905,44.442576065,H395,_,00200,100
H395__00190.100,7.761981570141884,44.443964895,H395,_,00190,100
H395__00180.100,7.773272629393427,44.4450509,H395,_,00180,100
H395__00170.100,7.767413190062515,44.453261049999995,H395,_,00170,100
H395__00160.100,7.758777755839663,44.45051556,H395,_,00160,100
H395__00130.100,7.730808720661027,44.449473045,H395,_,00130,100
H395__00100.100,7.732757506398503,44.45495349,H395,_,00100,100
H395__00080.100,7.747804315737794,44.461918315000005,H395,_,00080,100
H395__00050.100,7.750709626066612,44.46454324,H395,_,00050,100
H395__00300.1000,7.741231123160629,44.429004455,H395,_,00300,1000
H395__00300.1001,7.748112991995171,44.427699605,H395,_,00300,1001
H395__00300.1002,7.749176703971999,44.427643450000005,H395,_,00300,1002
H395__00300.1003,7.749131485470322,44.427041329999994,H395,_,00300,1003
H395__00300.1005,7.750017071624761,44.42699724,H395,_,00300,1005
H395__00300.1007,7.741943651431919,44.42968918,H395,_,00300,1007
H395__00300.1008,7.7415185719819375,44.42959475,H395,_,00300,1008
H395__00010.101,7.7470027896964275,44.464662285,H395,_,00010,101
H395__00440.101,7.749641568634377,44.408264695,H395,_,00440,101
H395__00430.101,7.746752042071517,44.411630685,H395,_,00430,101
H395__00420.101,7.747615079060864,44.41250497,H395,_,00420,101
H395__00410.101,7.731140756057304,44.41892474,H395,_,00410,101
H395__00400.101,7.74582285053606,44.421499335,H395,_,00400,101
H395__00390.101,7.755893373459783,44.420077335,H395,_,00390,101
H395__00380.101,7.7563914200668,44.4092199,H395,_,00380,101
H395__00370.101,7.761185245772026,44.419529395,H395,_,00370,101
H395__00340.101,7.754562456797338,44.42577946,H395,_,00340,101
H395__00330.101,7.770326383223928,44.43653734,H395,_,00330,101
H395__00320.101,7.7510424405564455,44.431750750000006,H395,_,00320,101
H395__00300.101,7.752109810048138,44.42585735,H395,_,00300,101
H395__00290.101,7.7286289122600556,44.420466579999996,H395,_,00290,101
H395__00280.101,7.733251404198741,44.42959101,H395,_,00280,101
H395__00260.101,7.719675325356498,44.437190675,H395,_,00260,101
H395__00250.101,7.7353941550435135,44.437375015,H395,_,00250,101
H395__00240.101,7.747471834117405,44.43896225,H395,_,00240,101
H395__00230.101,7.7344744702651145,44.431044244999995,H395,_,00230,101
H395__00220.101,7.75586914149928,44.436904479999995,H395,_,00220,101
H395__00210.101,7.761877085690468,44.438484044999996,H395,_,00210,101
H395__00200.101,7.751585997881573,44.443992185,H395,_,00200,101
H395__00190.101,7.764450670319047,44.44222369,H395,_,00190,101
H395__00180.101,7.773451506524318,44.44459447,H395,_,00180,101
H395__00170.101,7.767601184735634,44.453394435,H395,_,00170,101
H395__00160.101,7.7617650873440684,44.449874255,H395,_,00160,101
H395__00130.101,7.730821216139061,44.44941393,H395,_,00130,101
H395__00120.101,7.71872677710118,44.44467126,H395,_,00120,101
H395__00100.101,7.733813422085749,44.455935205,H395,_,00100,101
H395__00080.101,7.7421604086491325,44.462373125,H395,_,00080,101
H395__00300.1010,7.748765385896917,44.4259028,H395,_,00300,1010
H395__00300.1011,7.743268151713503,44.42977709,H395,_,00300,1011
H395__00300.1013,7.743196747437024,44.429291375000005,H395,_,00300,1013
H395__00300.1015,7.7426804975239065,44.429640835,H395,_,00300,1015
H395__00300.1017,7.741977762955516,44.42849971,H395,_,00300,1017
H395__00300.1018,7.743600786874788,44.428610230000004,H395,_,00300,1018
H395__00010.102,7.738936589584954,44.46654005,H395,_,00010,102
H395__00440.102,7.749553642129131,44.4081556,H395,_,00440,102
H395__00430.102,7.746959708398483,44.411465115,H395,_,00430,102
H395__00420.102,7.747696433346066,44.41264875,H395,_,00420,102
H395__00410.102,7.7238545339988125,44.415677529999996,H395,_,00410,102
H395__00400.102,7.745208808731421,44.421727835,H395,_,00400,102
H395__00390.102,7.7567493799131455,44.42054334,H395,_,00390,102
H395__00370.102,7.762627691909282,44.419632745,H395,_,00370,102
H395__00340.102,7.755240043589898,44.426777924999996,H395,_,00340,102
H395__00330.102,7.765573384744178,44.43460067,H395,_,00330,102
H395__00320.102,7.754395316380564,44.432585255,H395,_,00320,102
H395__00310.102,7.750335914992362,44.42923652,H395,_,00310,102
H395__00300.102,7.75117698936047,44.42564782,H395,_,00300,102
H395__00290.102,7.728224992086927,44.42058805,H395,_,00290,102
H395__00280.102,7.729446280967549,44.428754665,H395,_,00280,102
H395__00260.102,7.720565853852212,44.43785742,H395,_,00260,102
H395__00240.102,7.747932818464081,44.438923675,H395,_,00240,102
H395__00230.102,7.735225797093349,44.429997130000004,H395,_,00230,102
H395__00220.102,7.755012852655671,44.438006009999995,H395,_,00220,102
H395__00210.102,7.757127904623022,44.439466025,H395,_,00210,102
H395__00200.102,7.756306884558202,44.443481495,H395,_,00200,102
H395__00180.102,7.770540927582973,44.446982235,H395,_,00180,102
H395__00170.102,7.768012026786256,44.453513755,H395,_,00170,102
H395__00160.102,7.755829960883561,44.44816638,H395,_,00160,102
H395__00100.102,7.734557402159625,44.45581925,H395,_,00100,102
H395__00080.102,7.7481183266890135,44.46184915,H395,_,00080,102
H395__00010.103,7.737810912076573,44.463264545,H395,_,00010,103
H395__00440.103,7.7494782151148245,44.408060705,H395,_,00440,103
H395__00430.103,7.7497717903339005,44.409868305,H395,_,00430,103
H395__00420.103,7.748036010937266,44.413535525,H395,_,00420,103
H395__00410.103,7.723885441664871,44.415187365,H395,_,00410,103
H395__00400.103,7.744564802702801,44.422005805,H395,_,00400,103
H395__00390.103,7.754735341413069,44.418413235,H395,_,00390,103
H395__00380.103,7.755707272541468,44.41290611,H395,_,00380,103
H395__00370.103,7.762047234392732,44.419369675,H395,_,00370,103
H395__00360.103,7.765208229962361,44.42069873,H395,_,00360,103
H395__0035.103,7.760897593199747,44.424008,H395,_,0035,103
H395__00340.103,7.755574679071641,44.427018759999996,H395,_,00340,103
H395__00330.103,7.771920349045139,44.433000820000004,H395,_,00330,103
H395__00320.103,7.760135813377545,44.43263702,H395,_,00320,103
H395__00310.103,7.750443104298802,44.42922774,H395,_,00310,103
H395__00300.103,7.75073716118263,44.425818910000004,H395,_,00300,103
H395__00290.103,7.728129779345485,44.419994790000004,H395,_,00290,103
H395__00280.103,7.730001565939747,44.428877065,H395,_,00280,103
H395__00260.103,7.721499525809328,44.43795122,H395,_,00260,103
H395__00250.103,7.735040222681899,44.43970089,H395,_,00250,103
H395__00240.103,7.748117739505585,44.43902193,H395,_,00240,103
H395__00230.103,7.741879157988044,44.43021558,H395,_,00230,103
H395__00220.103,7.755352781355855,44.438251425000004,H395,_,00220,103
H395__00210.103,7.762018159356439,44.440623880000004,H395,_,00210,103
H395__00200.103,7.757739146270808,44.443686645,H395,_,00200,103
H395__00180.103,7.771312251562312,44.44475434,H395,_,00180,103
H395__00170.103,7.766744589153353,44.455236709999994,H395,_,00170,103
H395__00160.103,7.758116925440415,44.44851954,H395,_,00160,103
H395__00140.103,7.734694956365768,44.445137474999996,H395,_,00140,103
H395__00120.103,7.7251457458212585,44.44978503,H395,_,00120,103
H395__00100.103,7.725783161482211,44.453839814999995,H395,_,00100,103
H395__00080.103,7.744358787661399,44.46264825,H395,_,00080,103
H395__00050.103,7.753331211418326,44.460842105,H395,_,00050,103
H395__00010.104,7.740088343525351,44.466173315000006,H395,_,00010,104
