nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H446__00010.1,12.909892426574022,42.31694353,H446,_,00010,1
H446__00420.1,12.980312591112792,42.237021935,H446,_,00420,1
H446__00410.1,13.004690854144668,42.24644463,H446,_,00410,1
H446__00400.1,12.99071126809854,42.25169842,H446,_,00400,1
H446__00390.1,12.982760354370837,42.252839495,H446,_,00390,1
H446__00380.1,13.019145574585455,42.264897180000006,H446,_,00380,1
H446__00370.1,13.000750632837514,42.259184855,H446,_,00370,1
H446__00360.1,12.999196835464375,42.26094255,H446,_,00360,1
H446__00350.1,13.007022271822937,42.275964105,H446,_,00350,1
H446__00340.1,12.997542579677086,42.27009572,H446,_,00340,1
H446__00330.1,12.981909883226914,42.278894015000006,H446,_,00330,1
H446__00320.1,12.955248437234363,42.232311325,H446,_,00320,1
H446__00310.1,12.95213615267563,42.22332645,H446,_,00310,1
H446__00300.1,12.94553719790179,42.229082614999996,H446,_,00300,1
H446__00290.1,12.930490094062609,42.232462315,H446,_,00290,1
H446__00280.1,12.952111816688129,42.239389919999994,H446,_,00280,1
H446__00270.1,12.938201919193084,42.240253765000006,H446,_,00270,1
H446__00260.1,12.924591172554678,42.237879385,H446,_,00260,1
H446__00250.1,12.912701474268909,42.235528435000006,H446,_,00250,1
H446__00240.1,12.93073695354072,42.24805848,H446,_,00240,1
H446__00230.1,12.917031874149636,42.248294715,H446,_,00230,1
H446__00220.1,12.928393788408753,42.25739582,H446,_,00220,1
H446__00210.1,12.931078179243617,42.2644436,H446,_,00210,1
H446__00200.1,12.910898813900967,42.26093661,H446,_,00200,1
H446__00190.1,12.891743273430453,42.260642700000005,H446,_,00190,1
H446__00180.1,12.884280657015257,42.2601827,H446,_,00180,1
H446__00150.1,12.901127284126513,42.27142773,H446,_,00150,1
H446__00140.1,12.893748978111333,42.268212520000006,H446,_,00140,1
H446__00130.1,12.925118948166045,42.27912928000001,H446,_,00130,1
H446__00100.1,12.921595119472354,42.29663422,H446,_,00100,1
H446__00080.1,12.900765684812313,42.283570035,H446,_,00080,1
H446__00070.1,12.898460274962426,42.28895367,H446,_,00070,1
H446__00050.1,12.910479949822914,42.297630240000004,H446,_,00050,1
H446__00040.1,12.905758715341413,42.285890075,H446,_,00040,1
H446__00030.1,12.91885132737829,42.30953213,H446,_,00030,1
H446__00020.1,12.919035170915135,42.31441219,H446,_,00020,1
H446__00010.10,12.910243900864568,42.3140572,H446,_,00010,10
H446__00420.10,12.981099495042688,42.232831465000004,H446,_,00420,10
H446__00410.10,13.005791427557488,42.246097215000006,H446,_,00410,10
H446__00400.10,12.995380495720068,42.251484405,H446,_,00400,10
H446__00390.10,12.986200124943732,42.249867275,H446,_,00390,10
H446__00380.10,13.001207334248836,42.25938352,H446,_,00380,10
H446__00370.10,13.002853297273495,42.256837205,H446,_,00370,10
H446__00360.10,12.996244473848105,42.25958844,H446,_,00360,10
H446__00350.10,13.011233268868459,42.27533632,H446,_,00350,10
H446__00340.10,12.99371753856606,42.267663694999996,H446,_,00340,10
H446__00330.10,12.990013475670246,42.2781069,H446,_,00330,10
H446__00320.10,12.960040246988116,42.233398660000006,H446,_,00320,10
H446__00310.10,12.947580305995157,42.233380875,H446,_,00310,10
H446__00290.10,12.930987257380043,42.23104348,H446,_,00290,10
H446__00280.10,12.96015736172058,42.23896298,H446,_,00280,10
H446__00270.10,12.936238707913795,42.23732177,H446,_,00270,10
H446__00260.10,12.931328502483243,42.23855959,H446,_,00260,10
H446__00250.10,12.919547566894614,42.236888765,H446,_,00250,10
H446__00240.10,12.927533777156825,42.246669865,H446,_,00240,10
H446__00230.10,12.922779076801906,42.248070985,H446,_,00230,10
H446__00220.10,12.928361811681714,42.255378065,H446,_,00220,10
H446__00210.10,12.934696891215676,42.26312863,H446,_,00210,10
H446__00190.10,12.908113425363712,42.261089295,H446,_,00190,10
H446__00180.10,12.884909419716378,42.25680789,H446,_,00180,10
H446__00170.10,12.923059706650243,42.27112138,H446,_,00170,10
H446__00160.10,12.908055699799814,42.270949079999994,H446,_,00160,10
H446__00150.10,12.90149082147014,42.27094942,H446,_,00150,10
H446__00140.10,12.89446228009096,42.267460535,H446,_,00140,10
H446__00130.10,12.926643678015077,42.276841219999994,H446,_,00130,10
H446__00120.10,12.913123363733547,42.278524375,H446,_,00120,10
H446__00100.10,12.929405273595584,42.29248896,H446,_,00100,10
H446__00090.10,12.918582260533428,42.28641438,H446,_,00090,10
H446__00080.10,12.90599357992922,42.280550160000004,H446,_,00080,10
H446__00070.10,12.89185548958342,42.28500312,H446,_,00070,10
H446__00060.10,12.885257684752375,42.286052185,H446,_,00060,10
H446__00050.10,12.909426743222635,42.29559433,H446,_,00050,10
H446__00030.10,12.918503159856431,42.30826054,H446,_,00030,10
H446__00020.10,12.916823554007934,42.31340154,H446,_,00020,10
H446__00010.100,12.917074676195796,42.311271315,H446,_,00010,100
H446__00410.100,13.009263151891233,42.238872395,H446,_,00410,100
H446__00400.100,12.992407642337705,42.24541403,H446,_,00400,100
H446__00380.100,13.016518187071814,42.253362105,H446,_,00380,100
H446__00370.100,13.004836682408651,42.25149871,H446,_,00370,100
H446__00350.100,13.010643721209222,42.2652426,H446,_,00350,100
H446__00340.100,12.99858059240384,42.264926255,H446,_,00340,100
H446__00320.100,12.965019035463818,42.230303155,H446,_,00320,100
H446__00280.100,12.950550625608274,42.236526545000004,H446,_,00280,100
H446__00260.100,12.928919030129673,42.23255375,H446,_,00260,100
H446__00250.100,12.923423798645992,42.236398705,H446,_,00250,100
H446__00230.100,12.923359785704264,42.240126520000004,H446,_,00230,100
H446__00220.100,12.928616478082557,42.249364545,H446,_,00220,100
H446__00210.100,12.922714808397096,42.25723804,H446,_,00210,100
H446__00190.100,12.903268558058311,42.256198014999995,H446,_,00190,100
H446__00170.100,12.925810504980724,42.265371435,H446,_,00170,100
H446__00160.100,12.916143497355087,42.26386816,H446,_,00160,100
H446__00150.100,12.904833922174156,42.262741035000005,H446,_,00150,100
H446__00130.100,12.926668801049775,42.27577606,H446,_,00130,100
H446__00120.100,12.91854438633937,42.27320172,H446,_,00120,100
H446__00110.100,12.893839091039805,42.269277654999996,H446,_,00110,100
H446__00060.100,12.889220782206525,42.285482915,H446,_,00060,100
H446__00030.100,12.913355528208324,42.29859716,H446,_,00030,100
H446__00020.100,12.926254379766355,42.307786840000006,H446,_,00020,100
H446__00010.101,12.917109964237024,42.31125159,H446,_,00010,101
H446__00410.101,13.009219008380022,42.23955486,H446,_,00410,101
H446__00400.101,12.992591573667568,42.24569446,H446,_,00400,101
H446__00380.101,13.01629118267778,42.261268744999995,H446,_,00380,101
H446__00370.101,13.00501058739348,42.25147837,H446,_,00370,101
H446__00350.101,13.011471190428228,42.26525348,H446,_,00350,101
H446__00340.101,12.998090414083562,42.26455791,H446,_,00340,101
H446__00320.101,12.9650277692693,42.2305458,H446,_,00320,101
H446__00310.101,12.951608619956376,42.229485455,H446,_,00310,101
H446__00280.101,12.95107709627628,42.234779509999996,H446,_,00280,101
H446__00260.101,12.92928181051909,42.232707205,H446,_,00260,101
H446__00250.101,12.924014552029552,42.236360590000004,H446,_,00250,101
H446__00230.101,12.923803728820978,42.239697455,H446,_,00230,101
H446__00210.101,12.924630757854715,42.258004245,H446,_,00210,101
H446__00190.101,12.902943459778783,42.25621253,H446,_,00190,101
H446__00170.101,12.926244291531876,42.26467904,H446,_,00170,101
H446__00150.101,12.90621079876144,42.262802365,H446,_,00150,101
H446__00130.101,12.926723380320645,42.275731005,H446,_,00130,101
H446__00110.101,12.893728546072618,42.26948491,H446,_,00110,101
H446__00080.101,12.90702067400931,42.280593295,H446,_,00080,101
H446__00060.101,12.888113884058095,42.285346075,H446,_,00060,101
H446__00050.101,12.911672251069742,42.296194105,H446,_,00050,101
H446__00030.101,12.913737595837919,42.29874294,H446,_,00030,101
H446__00020.101,12.921751874079485,42.306930135,H446,_,00020,101
H446__00010.102,12.917126207963406,42.311334705,H446,_,00010,102
H446__00410.102,13.009803038443424,42.23959657,H446,_,00410,102
H446__00400.102,12.99412091048835,42.246167605,H446,_,00400,102
H446__00380.102,13.008146037350947,42.25480091,H446,_,00380,102
H446__00370.102,13.005179274225132,42.25158831,H446,_,00370,102
H446__00350.102,13.012744627122501,42.264240985,H446,_,00350,102
H446__00340.102,12.996572728420073,42.26397666,H446,_,00340,102
H446__00320.102,12.966079604142323,42.230177895,H446,_,00320,102
H446__00310.102,12.95209329668273,42.22900649,H446,_,00310,102
H446__00280.102,12.949070470531137,42.235326355,H446,_,00280,102
H446__00270.102,12.942794745183075,42.236712435,H446,_,00270,102
H446__00260.102,12.932517354420355,42.232766240000004,H446,_,00260,102
H446__00250.102,12.919787398390902,42.22831741,H446,_,00250,102
H446__00230.102,12.924369759590299,42.23973905,H446,_,00230,102
H446__00220.102,12.920386341551307,42.25112439,H446,_,00220,102
H446__00210.102,12.918594027262774,42.256555025,H446,_,00210,102
H446__00200.102,12.916271562836172,42.251080805,H446,_,00200,102
H446__00160.102,12.918034737028346,42.26476832,H446,_,00160,102
H446__00150.102,12.903732514832768,42.26959914,H446,_,00150,102
H446__00130.102,12.92670305270465,42.27567212,H446,_,00130,102
H446__00120.102,12.919194983990648,42.274390775,H446,_,00120,102
H446__00110.102,12.893567528504166,42.269873835,H446,_,00110,102
H446__00080.102,12.903075996979492,42.27429093,H446,_,00080,102
H446__00070.102,12.89428600268611,42.277858595,H446,_,00070,102
H446__00060.102,12.888805333546642,42.285199145,H446,_,00060,102
H446__00050.102,12.912427154836266,42.296621335,H446,_,00050,102
H446__00030.102,12.914074589388818,42.29858408,H446,_,00030,102
