nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H480__0001.1,15.820300716311781,41.922298085,H480,_,0001,1
H480__00180.1,15.917933340796168,41.92342516,H480,_,00180,1
H480__00170.1,15.920491534383832,41.928545975000006,H480,_,00170,1
H480__00150.1,15.917547716398975,41.93260463,H480,_,00150,1
H480__00140.1,15.912696876598146,41.92578377,H480,_,00140,1
H480__00130.1,15.904455527292292,41.922031925,H480,_,00130,1
H480__00100.1,15.902767884645144,41.92401242,H480,_,00100,1
H480__00080.1,15.885274720611609,41.925279905,H480,_,00080,1
H480__00060.1,15.871043543314912,41.91811847,H480,_,00060,1
H480__0005.1,15.870018010037036,41.9276342,H480,_,0005,1
H480__0003.1,15.849172709370244,41.925888975,H480,_,0003,1
H480__0001.10,15.824147909025383,41.91895256,H480,_,0001,10
H480__00180.10,15.918253871292801,41.923198285,H480,_,00180,10
H480__00170.10,15.923111139665785,41.925076649999994,H480,_,00170,10
H480__00160.10,15.920320133906301,41.931436945,H480,_,00160,10
H480__00150.10,15.916511288939653,41.93104863000001,H480,_,00150,10
H480__00140.10,15.91348679870749,41.925250345,H480,_,00140,10
H480__00120.10,15.903351312603686,41.929216495,H480,_,00120,10
H480__00110.10,15.91382102298354,41.931466165,H480,_,00110,10
H480__00100.10,15.903506904803994,41.922713635,H480,_,00100,10
H480__00090.10,15.889094809852024,41.928621475,H480,_,00090,10
H480__00080.10,15.88409490870698,41.92463868,H480,_,00080,10
H480__0007.10,15.877726066040632,41.928618735,H480,_,0007,10
H480__00060.10,15.872420023905537,41.91799863,H480,_,00060,10
H480__00040.10,15.854313640912515,41.918288445,H480,_,00040,10
H480__0003.10,15.847831100479299,41.925402875,H480,_,0003,10
H480__00010.100,15.832886468446933,41.920321584999996,H480,_,00010,100
H480__00180.100,15.920347708288563,41.92127418,H480,_,00180,100
H480__00170.100,15.922880134037062,41.924661584999996,H480,_,00170,100
H480__00140.100,15.913497241021263,41.92142212500001,H480,_,00140,100
H480__00130.100,15.913932520617632,41.919806535,H480,_,00130,100
H480__00100.100,15.893882474073548,41.921123505,H480,_,00100,100
H480__00090.100,15.898430802728269,41.9290055,H480,_,00090,100
H480__00080.100,15.891252972558867,41.919940225000005,H480,_,00080,100
H480__00070.100,15.881485013649154,41.9267684,H480,_,00070,100
H480__00050.100,15.873388941844915,41.923672385,H480,_,00050,100
H480__00030.100,15.858087151649434,41.924678099999994,H480,_,00030,100
H480__00020.100,15.841811516663647,41.917656015000006,H480,_,00020,100
H480__00050.1000,15.873088940447063,41.92632574,H480,_,00050,1000
H480__00050.1001,15.872910814379958,41.926332225,H480,_,00050,1001
H480__00070.1001,15.87537711967742,41.926694045000005,H480,_,00070,1001
H480__0001.1002,15.828453906785715,41.921372985000005,H480,_,0001,1002
H480__00070.1002,15.875345865530223,41.926511905,H480,_,00070,1002
H480__00050.1002,15.868819896621957,41.923197294999994,H480,_,00050,1002
H480__0001.1003,15.828070357502554,41.92153365,H480,_,0001,1003
H480__00070.1003,15.875464854438004,41.92656678,H480,_,00070,1003
H480__00050.1003,15.868788339649715,41.923253765,H480,_,00050,1003
H480__0001.1004,15.828342117599703,41.92132431,H480,_,0001,1004
H480__00070.1004,15.881414725827838,41.92520804,H480,_,00070,1004
H480__00050.1004,15.872535422246212,41.921411285000005,H480,_,00050,1004
H480__00070.1005,15.881788869186856,41.925577860000004,H480,_,00070,1005
H480__00070.1006,15.879426698916456,41.927939325,H480,_,00070,1006
H480__00070.1007,15.879416073230754,41.927912135,H480,_,00070,1007
H480__00190.1008,15.888768070532972,41.9296214,H480,_,00190,1008
H480__00010.101,15.832785641749371,41.91976581,H480,_,00010,101
H480__00190.101,15.882091616780073,41.92942249,H480,_,00190,101
H480__00170.101,15.920886183629339,41.923436285,H480,_,00170,101
H480__00160.101,15.93079459322977,41.932232825,H480,_,00160,101
H480__00150.101,15.916943841907447,41.926838825,H480,_,00150,101
H480__00140.101,15.912895837244434,41.921604630000004,H480,_,00140,101
H480__00130.101,15.913999925951078,41.919743929999996,H480,_,00130,101
