nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H723__09020.1,8.924764121537033,45.888790115,H723,_,09020,1
H723__09040.10,8.9275582682733,45.879111030000004,H723,_,09040,10
H723__09040.100,8.923149044948943,45.87732405,H723,_,09040,100
H723__09080.1000,8.922622979746869,45.865691600000005,H723,_,09080,1000
H723__09080.1001,8.922248027390648,45.86558259,H723,_,09080,1001
H723__09080.1003,8.922130321760793,45.86543694,H723,_,09080,1003
H723__0906.1005,8.920459038684058,45.87385504,H723,_,0906,1005
H723__0906.1006,8.921404492638114,45.87488434,H723,_,0906,1006
H723__09080.1009,8.92117807026543,45.865287035,H723,_,09080,1009
H723__09040.101,8.92358009233212,45.877539115000005,H723,_,09040,101
H723__09080.1010,8.920790277927267,45.8650102,H723,_,09080,1010
H723__09080.1011,8.920230531304252,45.864984745,H723,_,09080,1011
H723__0906.1012,8.921599924283498,45.875087324999996,H723,_,0906,1012
H723__09060.1016,8.927173162091695,45.86767197,H723,_,09060,1016
H723__09080.1018,8.919419350653214,45.86498541,H723,_,09080,1018
H723__09080.1019,8.919910763764573,45.86618007,H723,_,09080,1019
H723__09060.1022,8.920274585457777,45.868092450000006,H723,_,09060,1022
H723__09060.1023,8.92010454014364,45.86791444,H723,_,09060,1023
H723__09060.1024,8.920029432978797,45.86786866,H723,_,09060,1024
H723__0906.1026,8.921276829920913,45.874672535,H723,_,0906,1026
H723__09060.1029,8.919446161672973,45.86789942,H723,_,09060,1029
H723__09040.103,8.9283011735756,45.877365940000004,H723,_,09040,103
H723__0906.1030,8.922394447249522,45.874927035,H723,_,0906,1030
H723__0906.1031,8.921328996532496,45.87464653,H723,_,0906,1031
H723__09060.1032,8.918980677167227,45.867646324999995,H723,_,09060,1032
H723__09060.1036,8.917594979940365,45.867636149999996,H723,_,09060,1036
H723__0906.1037,8.925079019407235,45.874728375000004,H723,_,0906,1037
H723__0906.1039,8.924791799702865,45.874399005,H723,_,0906,1039
H723__09080.1040,8.91824391515443,45.867436975000004,H723,_,09080,1040
H723__09080.1041,8.917812315924913,45.866965075,H723,_,09080,1041
H723__09080.1042,8.917541094866344,45.8668641,H723,_,09080,1042
H723__0906.1048,8.921238642106818,45.873176325,H723,_,0906,1048
H723__09060.1049,8.91794812700724,45.873749790000005,H723,_,09060,1049
H723__09040.105,8.92935966406628,45.877914745,H723,_,09040,105
H723__09080.1054,8.91903782317759,45.86628471,H723,_,09080,1054
H723__09060.1055,8.919799318317795,45.873953584999995,H723,_,09060,1055
H723__09060.1056,8.927889323399569,45.872862245,H723,_,09060,1056
H723__09060.1058,8.91947187814732,45.874016055,H723,_,09060,1058
H723__09060.1062,8.9197859526403,45.873597415000006,H723,_,09060,1062
H723__09080.1065,8.916857463709437,45.86442395500001,H723,_,09080,1065
H723__09080.1071,8.91774019066575,45.863380680000006,H723,_,09080,1071
H723__09080.1073,8.918056596347306,45.864178800000005,H723,_,09080,1073
H723__09080.1074,8.918084747114413,45.864029134999996,H723,_,09080,1074
H723__09080.1078,8.91846007732356,45.863044959999996,H723,_,09080,1078
H723__09040.108,8.932399699808041,45.87809601,H723,_,09040,108
H723__09080.1080,8.918523484009064,45.862987565,H723,_,09080,1080
H723__09060.1082,8.919932912736165,45.87367084,H723,_,09060,1082
H723__09080.1084,8.91859726376432,45.86292176,H723,_,09080,1084
H723__09080.1086,8.91865115369567,45.86289427,H723,_,09080,1086
H723__09080.1088,8.918725128654456,45.86288636,H723,_,09080,1088
H723__09040.109,8.932774341643949,45.878868345,H723,_,09040,109
H723__09080.1090,8.919030620907634,45.86252529,H723,_,09080,1090
H723__09060.1092,8.929602143919741,45.868656924999996,H723,_,09060,1092
H723__09060.1095,8.918476019140073,45.873756064999995,H723,_,09060,1095
H723__09060.1097,8.92464615161954,45.871717665,H723,_,09060,1097
H723__09040.1098,8.930682763107047,45.88305854,H723,_,09040,1098
H723__09040.1099,8.922706704940765,45.882556045,H723,_,09040,1099
H723__09040.11,8.925845002132636,45.88374789,H723,_,09040,11
H723__09040.110,8.93291502416291,45.879415370000004,H723,_,09040,110
H723__09040.1100,8.923543000358404,45.881852845,H723,_,09040,1100
H723__09040.1101,8.930962659899201,45.88127212,H723,_,09040,1101
H723__09060.1102,8.919862260788637,45.873634745000004,H723,_,09060,1102
H723__09040.1103,8.931912877311301,45.88241336,H723,_,09040,1103
H723__0906.1104,8.92484593323503,45.874928975,H723,_,0906,1104
H723__0906.1105,8.921785357971363,45.87480189,H723,_,0906,1105
H723__09040.1106,8.933119155969033,45.87761766,H723,_,09040,1106
H723__09050.1109,8.916564183075863,45.87427123,H723,_,09050,1109
H723__09050.111,8.91689370068889,45.873653015,H723,_,09050,111
H723__09060.1110,8.919496082200062,45.873631775,H723,_,09060,1110
H723__09060.1111,8.920233348690477,45.87403952,H723,_,09060,1111
H723__09060.1112,8.919824906702427,45.87580468,H723,_,09060,1112
H723__09060.1113,8.920243629507521,45.874992595,H723,_,09060,1113
H723__0906.1114,8.9218775224128,45.87553357,H723,_,0906,1114
H723__0906.1116,8.922465277792693,45.87516341,H723,_,0906,1116
H723__0906.1117,8.922234539205387,45.87528332,H723,_,0906,1117
H723__0906.1118,8.9224130767128,45.87526427,H723,_,0906,1118
H723__0906.1119,8.922331580331003,45.875231315,H723,_,0906,1119
H723__09040.112,8.933237567568513,45.879411454999996,H723,_,09040,112
H723__0906.1120,8.922220861759328,45.87520288499999,H723,_,0906,1120
H723__0906.1122,8.925741307863301,45.87399019,H723,_,0906,1122
H723__0906.1123,8.92460667399126,45.874288045,H723,_,0906,1123
H723__09060.1125,8.933365424328162,45.874046015000005,H723,_,09060,1125
H723__09070.1127,8.933832299049302,45.87246388,H723,_,09070,1127
H723__09060.1128,8.932454409837385,45.87144821,H723,_,09060,1128
H723__09060.1129,8.9190444819761,45.87337961,H723,_,09060,1129
H723__09040.113,8.922071766024567,45.87667125,H723,_,09040,113
H723__09060.1132,8.918653435994454,45.873686915,H723,_,09060,1132
H723__09060.1133,8.91817986151548,45.873848255,H723,_,09060,1133
H723__09060.1134,8.919428256610187,45.87045223,H723,_,09060,1134
H723__09060.1136,8.925031276371444,45.870882699999996,H723,_,09060,1136
H723__09080.1138,8.918144659790421,45.86629429,H723,_,09080,1138
