nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H753__00010.1,7.8374094213869085,45.45398651,H753,_,00010,1
H753__00110.1,7.8473662985243315,45.467770959999996,H753,_,00110,1
H753__00100.1,7.8449906121816255,45.448613495000004,H753,_,00100,1
H753__00080.1,7.834674929819858,45.441017975,H753,_,00080,1
H753__00070.1,7.82932136216837,45.441185245,H753,_,00070,1
H753__00060.1,7.835963954858801,45.446563940000004,H753,_,00060,1
H753__00040.1,7.832174885162507,45.449254749999994,H753,_,00040,1
H753__0003.1,7.827109316629448,45.449658835,H753,_,0003,1
H753__00020.1,7.842422078304299,45.452857845,H753,_,00020,1
H753__00010.10,7.835660105703683,45.450486005,H753,_,00010,10
H753__00100.10,7.845146891455359,45.449086275,H753,_,00100,10
H753__00080.10,7.835330582796837,45.441409809999996,H753,_,00080,10
H753__00070.10,7.830062797186315,45.44068316,H753,_,00070,10
H753__00050.10,7.835374635058241,45.446437145000004,H753,_,00050,10
H753__00040.10,7.832707338332932,45.4485018,H753,_,00040,10
H753__00030.10,7.828957400806982,45.448095275,H753,_,00030,10
H753__00020.10,7.844651912063347,45.452160555000006,H753,_,00020,10
H753__00010.100,7.839216027925904,45.452299105,H753,_,00010,100
H753__00110.100,7.849626305746988,45.461876085,H753,_,00110,100
H753__00100.100,7.847404783595961,45.444750295000006,H753,_,00100,100
H753__00090.100,7.839112220125065,45.441239705,H753,_,00090,100
H753__00080.100,7.84015530388503,45.439880125,H753,_,00080,100
H753__00070.100,7.832877265220303,45.437931975,H753,_,00070,100
H753__00060.100,7.84088747644934,45.44589613,H753,_,00060,100
H753__00040.100,7.836733376161366,45.44943007,H753,_,00040,100
H753__00030.100,7.828854167290961,45.445407915000004,H753,_,00030,100
H753__00020.100,7.844814553776667,45.45261644,H753,_,00020,100
H753__00020.1000,7.847913471726182,45.450231845000005,H753,_,00020,1000
H753__00020.1001,7.845974802150334,45.45029046,H753,_,00020,1001
H753__00020.1002,7.843910513921131,45.450491455000005,H753,_,00020,1002
H753__00020.1003,7.843886168335079,45.450453519999996,H753,_,00020,1003
H753__00020.1006,7.847679136233652,45.45093439,H753,_,00020,1006
H753__00020.1007,7.844692887556375,45.45178269,H753,_,00020,1007
H753__00020.1008,7.845479706844298,45.450809145,H753,_,00020,1008
H753__00020.1009,7.843364576733379,45.45092604,H753,_,00020,1009
H753__00010.101,7.839330298752338,45.452465275,H753,_,00010,101
H753__00100.101,7.846762186327956,45.4465698,H753,_,00100,101
H753__00080.101,7.839953110245967,45.439687155,H753,_,00080,101
H753__00070.101,7.83350548828204,45.43857336000001,H753,_,00070,101
H753__00060.101,7.8409850470951294,45.445911890000005,H753,_,00060,101
H753__00040.101,7.836884884399639,45.449545485,H753,_,00040,101
H753__00030.101,7.828930330106868,45.445345704999994,H753,_,00030,101
H753__00020.101,7.8464761024165135,45.451775085,H753,_,00020,101
H753__00020.1010,7.845297131768421,45.451635385,H753,_,00020,1010
H753__00020.1011,7.84512297565921,45.45186291,H753,_,00020,1011
H753__00020.1012,7.846402509185837,45.451563335,H753,_,00020,1012
H753__00020.1013,7.8463127405387265,45.451662445,H753,_,00020,1013
H753__00020.1014,7.84619914912962,45.45158762,H753,_,00020,1014
H753__00020.1015,7.846422516521701,45.45151915,H753,_,00020,1015
H753__00020.1016,7.846247964231953,45.45162771,H753,_,00020,1016
H753__00020.1017,7.846401809848237,45.451660180000005,H753,_,00020,1017
H753__00020.1018,7.844995366502856,45.45100952,H753,_,00020,1018
H753__00020.1019,7.844925923197638,45.45104608,H753,_,00020,1019
H753__00010.102,7.839677091047632,45.452473260000005,H753,_,00010,102
H753__00100.102,7.846794034889504,45.44657255,H753,_,00100,102
H753__00080.102,7.83976382401057,45.439413355,H753,_,00080,102
H753__00070.102,7.834946289832993,45.439263965,H753,_,00070,102
H753__00060.102,7.840561279061952,45.446413105,H753,_,00060,102
H753__00050.102,7.832721656483831,45.44316875,H753,_,00050,102
H753__00040.102,7.835029661705252,45.449424475,H753,_,00040,102
H753__00020.1020,7.848865515493767,45.45202442,H753,_,00020,1020
H753__00020.1021,7.848830816447371,45.451769014999996,H753,_,00020,1021
H753__00020.1022,7.848494124181582,45.451999425,H753,_,00020,1022
H753__00020.1023,7.848164250659186,45.451642664999994,H753,_,00020,1023
H753__00020.1024,7.848111194116103,45.451855595,H753,_,00020,1024
H753__00020.1025,7.84929784898569,45.452073195,H753,_,00020,1025
H753__00020.1026,7.848202739906752,45.452396955,H753,_,00020,1026
H753__00020.1027,7.844862884606042,45.451081665000004,H753,_,00020,1027
H753__00020.1028,7.843738398131793,45.4509425,H753,_,00020,1028
H753__00020.1029,7.8464658774330385,45.450109485,H753,_,00020,1029
H753__00010.103,7.839760117887898,45.45227982,H753,_,00010,103
H753__00100.103,7.846827107296502,45.446569690000004,H753,_,00100,103
H753__00080.103,7.839514933423353,45.439309765000004,H753,_,00080,103
H753__00070.103,7.83350758555904,45.43845852,H753,_,00070,103
H753__00060.103,7.840245419372888,45.44668419,H753,_,00060,103
H753__00050.103,7.832853011276468,45.442843964999994,H753,_,00050,103
H753__00040.103,7.836595292903012,45.449585264999996,H753,_,00040,103
H753__00030.103,7.829008079678735,45.44528391,H753,_,00030,103
H753__00020.103,7.845329665780564,45.453552290000005,H753,_,00020,103
H753__00020.1030,7.846555826326689,45.45021043,H753,_,00020,1030
H753__00020.1031,7.846783554983102,45.45033307,H753,_,00020,1031
H753__00020.1032,7.8465247768027595,45.450162895000005,H753,_,00020,1032
H753__00020.1033,7.845478437358432,45.451762634999994,H753,_,00020,1033
H753__00020.1035,7.846350369129761,45.449512354999996,H753,_,00020,1035
H753__00020.1037,7.846450434800056,45.44924974,H753,_,00020,1037
