nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H760__0920.1,9.157625066556104,46.09848253,H760,_,0920,1
H760__0919.10,9.155293520064014,46.098096005,H760,_,0919,10
H760__0919.100,9.15560344015552,46.09797324,H760,_,0919,100
H760__0925.1000,9.144572089341711,46.091973235,H760,_,0925,1000
H760__0931.10000,9.157399704732857,46.084244205000005,H760,_,0931,10000
H760__0931.10001,9.15720118723276,46.084427274999996,H760,_,0931,10001
H760__0931.10002,9.157218244077487,46.084593595,H760,_,0931,10002
H760__0931.10003,9.157192250848787,46.084713805,H760,_,0931,10003
H760__0931.10004,9.157167777408382,46.084762780000005,H760,_,0931,10004
H760__0931.10005,9.157058459081117,46.084819885,H760,_,0931,10005
H760__0931.10006,9.157203792034645,46.08505996,H760,_,0931,10006
H760__0931.10007,9.156936192814108,46.085148525,H760,_,0931,10007
H760__0931.10008,9.156769243849247,46.085225820000005,H760,_,0931,10008
H760__0931.10009,9.156721929359328,46.08553302,H760,_,0931,10009
H760__0925.1001,9.14463786857225,46.091840250000004,H760,_,0925,1001
H760__0931.10010,9.15629970924089,46.085429535,H760,_,0931,10010
H760__0931.10011,9.155924544239504,46.08510455,H760,_,0931,10011
H760__0931.10012,9.156088409018954,46.08476181,H760,_,0931,10012
H760__0931.10013,9.15613595750074,46.084688325,H760,_,0931,10013
H760__0931.10014,9.156196437046937,46.084659465,H760,_,0931,10014
H760__0931.10015,9.156219590831835,46.08462475,H760,_,0931,10015
H760__0931.10016,9.156432248939998,46.08456753,H760,_,0931,10016
H760__0931.10017,9.156451745919803,46.084745415,H760,_,0931,10017
H760__0931.10018,9.156605468283288,46.084542569999996,H760,_,0931,10018
H760__0931.10019,9.156743114190686,46.084538054999996,H760,_,0931,10019
H760__0925.1002,9.144100642572816,46.091804554999996,H760,_,0925,1002
H760__0931.10020,9.156734119740241,46.084446665,H760,_,0931,10020
H760__0931.10021,9.15660254177686,46.084336785,H760,_,0931,10021
H760__0931.10022,9.156314428532248,46.084393695,H760,_,0931,10022
H760__0923.10025,9.155353220184605,46.091712115,H760,_,0923,10025
H760__0927.10025,9.155067803755026,46.09169383,H760,_,0927,10025
H760__0926.10025,9.15449426967035,46.091687969999995,H760,_,0926,10025
H760__0931.10026,9.155773891307028,46.084545930000004,H760,_,0931,10026
H760__0931.10027,9.155520599802575,46.084832070000004,H760,_,0931,10027
H760__0931.10028,9.155190629211848,46.084836605,H760,_,0931,10028
H760__0931.10029,9.155104407108919,46.084728415,H760,_,0931,10029
H760__0925.1003,9.144096604130723,46.091933955,H760,_,0925,1003
H760__0931.10030,9.15529638967864,46.08480165,H760,_,0931,10030
H760__0931.10031,9.1552483795855,46.084549589999995,H760,_,0931,10031
H760__0931.10032,9.155327462897404,46.084443995,H760,_,0931,10032
H760__0931.10033,9.155377358092611,46.084506385,H760,_,0931,10033
H760__0931.10034,9.155517920393278,46.08437571,H760,_,0931,10034
H760__0931.10035,9.155487348689498,46.084359925,H760,_,0931,10035
H760__0931.10036,9.155467055936146,46.084331335,H760,_,0931,10036
H760__0931.10037,9.155443023236185,46.08428515,H760,_,0931,10037
H760__0931.10038,9.155401358999775,46.084265845000004,H760,_,0931,10038
H760__0923.10039,9.156740195421499,46.092028455000005,H760,_,0923,10039
H760__0925.1004,9.143992312697529,46.092049564999996,H760,_,0925,1004
H760__0931.10040,9.155291157584625,46.084297055,H760,_,0931,10040
H760__0931.10041,9.155320399850124,46.08432202,H760,_,0931,10041
H760__0931.10042,9.155273331630706,46.08440733,H760,_,0931,10042
H760__0931.10043,9.155212157686991,46.0843985,H760,_,0931,10043
H760__0931.10044,9.155151857278074,46.084391755,H760,_,0931,10044
H760__0931.10045,9.155207953658348,46.084342250000006,H760,_,0931,10045
H760__0931.10046,9.155162788014042,46.084321925,H760,_,0931,10046
H760__0931.10047,9.155095941343003,46.084299785,H760,_,0931,10047
H760__0925.1005,9.14388407399752,46.0921671,H760,_,0925,1005
H760__0931.10050,9.154934084916242,46.084283275000004,H760,_,0931,10050
H760__0931.10056,9.15515374281388,46.08454395,H760,_,0931,10056
H760__0931.10057,9.155143859136695,46.084625645,H760,_,0931,10057
H760__0931.10059,9.155003004696807,46.08476034,H760,_,0931,10059
H760__0925.1006,9.143848255046827,46.092339089999996,H760,_,0925,1006
H760__0923.10063,9.1569656962834,46.091669605,H760,_,0923,10063
H760__0931.10065,9.15483723051199,46.08446046,H760,_,0931,10065
H760__0931.10066,9.154801241108975,46.08446766,H760,_,0931,10066
