nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H771__00010.1,10.914218126838863,45.074218474999995,H771,_,00010,1
H771__00860.1,10.934678957913576,44.977309745,H771,_,00860,1
H771__00840.1,10.932486015329062,44.99447001,H771,_,00840,1
H771__00820.1,10.931978989873238,44.998031080000004,H771,_,00820,1
H771__00810.1,10.94147024248732,44.993075565,H771,_,00810,1
H771__00790.1,10.953014859255319,45.009408379999996,H771,_,00790,1
H771__00780.1,10.943321339429717,45.00338402,H771,_,00780,1
H771__00770.1,10.919925848219012,45.00684894,H771,_,00770,1
H771__00760.1,10.913769263465989,45.005677795,H771,_,00760,1
H771__00750.1,10.95307563244366,45.012662655,H771,_,00750,1
H771__00740.1,10.97525511440467,45.015031555,H771,_,00740,1
H771__00730.1,10.961627043767061,45.02023642,H771,_,00730,1
H771__00720.1,10.957225050708164,45.02162516,H771,_,00720,1
H771__00710.1,10.943762106058477,45.02175488,H771,_,00710,1
H771__00680.1,10.90713121071251,45.018057505,H771,_,00680,1
H771__00660.1,10.945534750846363,45.03009097,H771,_,00660,1
H771__00650.1,10.937349752524952,45.030465785,H771,_,00650,1
H771__00640.1,10.92393568734669,45.026298985,H771,_,00640,1
H771__00620.1,10.963199086860552,45.04307389,H771,_,00620,1
H771__00610.1,10.9459022034575,45.03266552,H771,_,00610,1
H771__00600.1,10.938116674748313,45.03437456,H771,_,00600,1
H771__00590.1,10.92469630519183,45.03616762,H771,_,00590,1
H771__00570.1,10.900786264472313,45.031945255,H771,_,00570,1
H771__00530.1,10.986367962734567,45.048210605,H771,_,00530,1
H771__00520.1,10.98041532902483,45.04758081999999,H771,_,00520,1
H771__00500.1,10.936671098963616,45.036985189999996,H771,_,00500,1
H771__00490.1,10.935332197810784,45.037113774999995,H771,_,00490,1
H771__00480.1,10.928170573970894,45.038764619999995,H771,_,00480,1
H771__00470.1,10.926059528776747,45.039807995000004,H771,_,00470,1
H771__00460.1,10.929972144319848,45.047668689999995,H771,_,00460,1
H771__00440.1,10.928244887032818,45.046459815,H771,_,00440,1
H771__00420.1,10.89667777232954,45.033663725,H771,_,00420,1
H771__00410.1,10.893856570268177,45.042495405,H771,_,00410,1
H771__00400.1,10.8835312392067,45.0468287,H771,_,00400,1
H771__00380.1,10.872255413422584,45.035838625,H771,_,00380,1
H771__00370.1,10.880856618900722,45.04279393,H771,_,00370,1
H771__00360.1,10.87169150752851,45.04957725,H771,_,00360,1
H771__00350.1,10.860258133840155,45.03518701,H771,_,00350,1
H771__00340.1,10.861064905434445,45.044289230000004,H771,_,00340,1
H771__00330.1,10.86109193160408,45.048094625000004,H771,_,00330,1
H771__00320.1,10.85642544711773,45.05065048,H771,_,00320,1
H771__00310.1,10.840795146672473,45.040306709999996,H771,_,00310,1
H771__00300.1,10.846851042391297,45.04668171,H771,_,00300,1
H771__00280.1,10.84592183992352,45.046664975,H771,_,00280,1
H771__00270.1,10.949743567785179,45.05200821,H771,_,00270,1
H771__00230.1,10.908519641924784,45.059819065,H771,_,00230,1
H771__00220.1,10.868990725078033,45.055975364999995,H771,_,00220,1
H771__00210.1,10.984099318291529,45.057048824999995,H771,_,00210,1
H771__00200.1,10.970942104373965,45.061481474999994,H771,_,00200,1
H771__00190.1,10.968521000334924,45.06052511,H771,_,00190,1
H771__00180.1,10.953212120719249,45.05997087,H771,_,00180,1
H771__00170.1,10.941521406594713,45.059755115,H771,_,00170,1
H771__00160.1,10.940774139714094,45.05992918,H771,_,00160,1
H771__00150.1,10.91814491979735,45.06439811,H771,_,00150,1
H771__00140.1,10.915570133932295,45.069380859999995,H771,_,00140,1
H771__00130.1,10.982749649074766,45.066123375000004,H771,_,00130,1
H771__00120.1,10.985112378575094,45.066590115,H771,_,00120,1
H771__00110.1,10.984752999111388,45.063621185,H771,_,00110,1
H771__00100.1,10.978879708509256,45.066605035,H771,_,00100,1
H771__00090.1,10.977557797431961,45.067224875,H771,_,00090,1
H771__00080.1,10.96812391147824,45.065660005,H771,_,00080,1
H771__00070.1,10.950913069205349,45.064114035,H771,_,00070,1
H771__00060.1,10.948635435354245,45.06426893,H771,_,00060,1
H771__00040.1,10.932289754665682,45.069798930000005,H771,_,00040,1
H771__00030.1,10.932991923657038,45.07278445,H771,_,00030,1
H771__00020.1,10.917556150212839,45.070756845,H771,_,00020,1
H771__00010.10,10.925655233574936,45.072500855,H771,_,00010,10
H771__00860.10,10.927978844279476,44.974894410000005,H771,_,00860,10
H771__00840.10,10.940345300358857,44.99071972,H771,_,00840,10
H771__00810.10,10.945534924909007,44.989229185,H771,_,00810,10
H771__00790.10,10.954142334517933,45.00897227,H771,_,00790,10
H771__00780.10,10.935057991924577,45.00464828,H771,_,00780,10
H771__00770.10,10.922004282739923,45.002216895000004,H771,_,00770,10
H771__00760.10,10.912705535234398,45.004457869999996,H771,_,00760,10
H771__00750.10,10.955837268797033,45.011776345,H771,_,00750,10
H771__00740.10,10.979486573949849,45.01405694,H771,_,00740,10
H771__00730.10,10.96649250526675,45.019763085,H771,_,00730,10
H771__00640.10,10.933089292200933,45.02506804,H771,_,00640,10
H771__00620.10,10.96716152359664,45.042952345,H771,_,00620,10
H771__00610.10,10.945608382150944,45.031471795,H771,_,00610,10
H771__00600.10,10.938173797024117,45.034161714999996,H771,_,00600,10
H771__00550.10,10.985680793915233,45.04402287,H771,_,00550,10
H771__00540.10,10.992339862197088,45.04676965,H771,_,00540,10
H771__00530.10,10.990066716694068,45.047942855,H771,_,00530,10
H771__00520.10,10.969307776867046,45.046246769999996,H771,_,00520,10
H771__00510.10,10.95103348054781,45.043143825,H771,_,00510,10
H771__00500.10,10.940094246918541,45.03842107,H771,_,00500,10
H771__00490.10,10.936251196373327,45.036962825,H771,_,00490,10
H771__00480.10,10.928141839502345,45.03853661,H771,_,00480,10
H771__00470.10,10.926286018400376,45.039365114999995,H771,_,00470,10
H771__00460.10,10.930376714040648,45.046158235,H771,_,00460,10
H771__00450.10,10.933625909444217,45.041658885000004,H771,_,00450,10
H771__00430.10,10.918918900333574,45.040658115,H771,_,00430,10
H771__00420.10,10.909956110616676,45.03736421,H771,_,00420,10
H771__00410.10,10.900335120279806,45.03812184,H771,_,00410,10
H771__00400.10,10.882829330973518,45.040351555,H771,_,00400,10
H771__00390.10,10.894371270360443,45.047315940000004,H771,_,00390,10
