nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H890__00020.1,7.781250575576399,45.345343895,H890,_,00020,1
H890__00230.1,7.8246709063585715,45.31207872,H890,_,00230,1
H890__00210.1,7.789751583130077,45.282420939999994,H890,_,00210,1
H890__00200.1,7.794505079595652,45.289748145000004,H890,_,00200,1
H890__00190.1,7.787149515278721,45.291948155,H890,_,00190,1
H890__00180.1,7.778680483321123,45.291047864999996,H890,_,00180,1
H890__00170.1,7.787621835217469,45.29608358,H890,_,00170,1
H890__00160.1,7.786792992809936,45.306511145,H890,_,00160,1
H890__00140.1,7.780736966763898,45.319442345,H890,_,00140,1
H890__00120.1,7.791003082535246,45.320656854999996,H890,_,00120,1
H890__00090.1,7.772516816745759,45.336989575000004,H890,_,00090,1
H890__00080.1,7.791157810531125,45.338009655,H890,_,00080,1
H890__00060.1,7.8073608400610155,45.32965463,H890,_,00060,1
H890__00050.1,7.818548162632006,45.345490815,H890,_,00050,1
H890__00040.1,7.798852104011708,45.345871215,H890,_,00040,1
H890__00030.1,7.789069210354832,45.35062302,H890,_,00030,1
H890__00010.10,7.7857523080249855,45.357000235,H890,_,00010,10
H890__00240.10,7.829781940422203,45.310234385,H890,_,00240,10
H890__00230.10,7.826093079664453,45.311801745,H890,_,00230,10
H890__00210.10,7.793546077525528,45.285174295,H890,_,00210,10
H890__00200.10,7.7955173291673665,45.28791144,H890,_,00200,10
H890__00190.10,7.788090824793149,45.291720745,H890,_,00190,10
H890__00180.10,7.785800490925945,45.29160068,H890,_,00180,10
H890__00170.10,7.789392795632612,45.294804895,H890,_,00170,10
H890__00160.10,7.79000192606533,45.306804389999996,H890,_,00160,10
H890__00140.10,7.782298309614903,45.319398570000004,H890,_,00140,10
H890__00130.10,7.778061944250371,45.32771144,H890,_,00130,10
H890__00120.10,7.793271499637974,45.319154555,H890,_,00120,10
H890__00060.10,7.808766266274036,45.330374735,H890,_,00060,10
H890__00050.10,7.818954978687501,45.34500691,H890,_,00050,10
H890__00040.10,7.800644826890334,45.3455039,H890,_,00040,10
H890__00030.10,7.791292186404405,45.351136690000004,H890,_,00030,10
H890__00020.10,7.783743603674516,45.34596196,H890,_,00020,10
H890__00010.100,7.78421946777468,45.354202005000005,H890,_,00010,100
H890__00240.100,7.829246336877529,45.30929759,H890,_,00240,100
H890__00230.100,7.8227301643238825,45.308295650000005,H890,_,00230,100
H890__00220.100,7.823831700363424,45.315301445,H890,_,00220,100
H890__00210.100,7.792017495181787,45.282810389999995,H890,_,00210,100
H890__00200.100,7.796810630534376,45.288171145,H890,_,00200,100
H890__00190.100,7.790019614623508,45.29051264,H890,_,00190,100
H890__00170.100,7.7917899541462745,45.29141124,H890,_,00170,100
H890__00160.100,7.793021435376328,45.304107720000005,H890,_,00160,100
H890__00140.100,7.7824305908343145,45.311314995000004,H890,_,00140,100
H890__00130.100,7.787494353683156,45.327699475,H890,_,00130,100
H890__00120.100,7.792874916660244,45.317048885,H890,_,00120,100
H890__00110.100,7.804195765951422,45.324357109999994,H890,_,00110,100
H890__00100.100,7.795535083697137,45.32605503,H890,_,00100,100
H890__00090.100,7.789320033771187,45.335397665,H890,_,00090,100
H890__00070.100,7.804722843956018,45.333196205,H890,_,00070,100
H890__00060.100,7.813629557527168,45.33141153,H890,_,00060,100
H890__00050.100,7.82418115074349,45.347361425,H890,_,00050,100
H890__00040.100,7.801061205851136,45.340611205,H890,_,00040,100
H890__00030.100,7.790244402111692,45.350000460000004,H890,_,00030,100
H890__00020.100,7.78330512574146,45.3412678,H890,_,00020,100
H890__00070.1000,7.801338762821365,45.33596066,H890,_,00070,1000
H890__00150.1000,7.786712077185104,45.29563317,H890,_,00150,1000
H890__00070.1001,7.801317592588097,45.335770925000006,H890,_,00070,1001
H890__00070.1002,7.801394616695208,45.33646769,H890,_,00070,1002
H890__00080.1002,7.798356093844577,45.3362841,H890,_,00080,1002
H890__00080.1003,7.797128836115228,45.33571653,H890,_,00080,1003
H890__00070.1004,7.8014205437523,45.336850065,H890,_,00070,1004
H890__00080.1004,7.79734330497371,45.335503525,H890,_,00080,1004
H890__00070.1005,7.801623581865117,45.3349259,H890,_,00070,1005
H890__00080.1005,7.797669777531409,45.335769670000005,H890,_,00080,1005
H890__00080.1006,7.797550457968374,45.335149009999995,H890,_,00080,1006
H890__00080.1007,7.797041993677359,45.334501445,H890,_,00080,1007
H890__00080.1009,7.796332706667581,45.335953515,H890,_,00080,1009
H890__00010.101,7.78459900691334,45.35397665,H890,_,00010,101
H890__00240.101,7.829062984080734,45.309338565000004,H890,_,00240,101
H890__00230.101,7.822666121140225,45.308350075,H890,_,00230,101
H890__00220.101,7.823755697795313,45.315479929999995,H890,_,00220,101
H890__00210.101,7.792564451685742,45.28278340999999,H890,_,00210,101
H890__00200.101,7.795273895512397,45.285981199999995,H890,_,00200,101
H890__00190.101,7.789978112494736,45.290995005,H890,_,00190,101
H890__00170.101,7.790271285181926,45.291053469999994,H890,_,00170,101
H890__00160.101,7.792712899423991,45.304173039999995,H890,_,00160,101
H890__0015.101,7.7856769089461615,45.29861594,H890,_,0015,101
H890__00140.101,7.78187566481337,45.311267535,H890,_,00140,101
H890__00130.101,7.787883061884351,45.32794957,H890,_,00130,101
H890__00120.101,7.793235483086834,45.31650908,H890,_,00120,101
H890__00110.101,7.803994626667205,45.324290965,H890,_,00110,101
H890__00100.101,7.795636999109615,45.32616957,H890,_,00100,101
H890__00080.101,7.794231446017245,45.337191849999996,H890,_,00080,101
H890__00070.101,7.804790220800157,45.334396235,H890,_,00070,101
H890__00060.101,7.814034690650477,45.330309935,H890,_,00060,101
H890__00050.101,7.824308348567747,45.345900965,H890,_,00050,101
H890__00040.101,7.802456083266537,45.34340985,H890,_,00040,101
H890__00030.101,7.789991551516664,45.350056045,H890,_,00030,101
H890__00020.101,7.782852642052157,45.341277774999995,H890,_,00020,101
H890__00080.1010,7.795933631262628,45.335289759999995,H890,_,00080,1010
H890__00080.1011,7.796730026566823,45.334910415,H890,_,00080,1011
H890__00080.1012,7.796608096980245,45.334944405,H890,_,00080,1012
H890__00080.1013,7.796050238898599,45.33475559,H890,_,00080,1013
H890__00080.1015,7.795556949611024,45.334429195,H890,_,00080,1015
H890__00070.1016,7.80196145725705,45.33451102,H890,_,00070,1016
H890__00080.1016,7.795355264799758,45.334665799999996,H890,_,00080,1016
H890__00070.1017,7.802292917226693,45.334519605,H890,_,00070,1017
H890__00080.1017,7.7953849449534,45.334781129999996,H890,_,00080,1017
H890__00080.1018,7.795312981257181,45.334976375,H890,_,00080,1018
H890__00080.1019,7.795312868982856,45.335011335000004,H890,_,00080,1019
H890__00010.102,7.784807635787516,45.354015114999996,H890,_,00010,102
H890__00240.102,7.8289058749337865,45.309379115,H890,_,00240,102
H890__00230.102,7.822197173561117,45.307189695000005,H890,_,00230,102
H890__00220.102,7.823482886758647,45.315447635,H890,_,00220,102
H890__00210.102,7.792629297536781,45.28159399,H890,_,00210,102
H890__00200.102,7.795385466350253,45.285391000000004,H890,_,00200,102
H890__00190.102,7.790127860918354,45.290596199999996,H890,_,00190,102
H890__00170.102,7.790467394274398,45.290981185,H890,_,00170,102
H890__00160.102,7.792471935079748,45.304219384999996,H890,_,00160,102
H890__00140.102,7.781484103673242,45.31127123,H890,_,00140,102
H890__00130.102,7.787752702199974,45.331479939999994,H890,_,00130,102
H890__00120.102,7.793396706150526,45.316504815,H890,_,00120,102
H890__00110.102,7.803742237327014,45.325271404999995,H890,_,00110,102
H890__00100.102,7.796306218685489,45.32634109,H890,_,00100,102
H890__00070.102,7.804193054483333,45.334049705,H890,_,00070,102
H890__00060.102,7.813676357929221,45.330326275000004,H890,_,00060,102
H890__00050.102,7.824584679760113,45.34571965,H890,_,00050,102
H890__00040.102,7.800168171644863,45.339006785,H890,_,00040,102
H890__00030.102,7.790436413412328,45.349443855000004,H890,_,00030,102
H890__00020.102,7.782077126093575,45.342469234999996,H890,_,00020,102
H890__00070.1020,7.80213884221881,45.334825714999994,H890,_,00070,1020
H890__00080.1020,7.79543398789464,45.335011335000004,H890,_,00080,1020
H890__00080.1021,7.795710785513888,45.33545978,H890,_,00080,1021
H890__00080.1022,7.795567086038114,45.335357065,H890,_,00080,1022
H890__00080.1023,7.79571386343465,45.33537923,H890,_,00080,1023
H890__00080.1025,7.792637380397013,45.336116515,H890,_,00080,1025
H890__00070.1027,7.801795271525806,45.33468768,H890,_,00070,1027
H890__00070.1028,7.801796118988658,45.334511185,H890,_,00070,1028
H890__00080.1028,7.792652675103962,45.33572883,H890,_,00080,1028
H890__00010.103,7.7844315698894295,45.35464424,H890,_,00010,103
H890__00240.103,7.828711724354234,45.309472475,H890,_,00240,103
H890__00230.103,7.8224498362630195,45.30722484,H890,_,00230,103
H890__00220.103,7.823304163224407,45.315547565,H890,_,00220,103
H890__00210.103,7.793445383527565,45.28101493,H890,_,00210,103
H890__00190.103,7.790173577437815,45.290590824999995,H890,_,00190,103
H890__00170.103,7.790504169854945,45.291039035,H890,_,00170,103
H890__00160.103,7.792002871158982,45.304411395,H890,_,00160,103
H890__0015.103,7.78581915598986,45.298610435,H890,_,0015,103
H890__00140.103,7.7808987810939145,45.31183518,H890,_,00140,103
H890__00120.103,7.793677963776079,45.316728935,H890,_,00120,103
H890__00110.103,7.80331307058344,45.325228370000005,H890,_,00110,103
H890__00100.103,7.796794311139525,45.3265543,H890,_,00100,103
H890__00070.103,7.8038927007839085,45.33405429,H890,_,00070,103
H890__00060.103,7.813427819434738,45.33144419,H890,_,00060,103
H890__00050.103,7.824998478653569,45.34576502,H890,_,00050,103
H890__00040.103,7.79959669695184,45.339101,H890,_,00040,103
H890__00030.103,7.789857103937044,45.3499286,H890,_,00030,103
H890__00020.103,7.781601541569316,45.342404564999995,H890,_,00020,103
H890__00070.1030,7.800426694680118,45.336780579999996,H890,_,00070,1030
H890__00070.1031,7.803310892642781,45.334095545,H890,_,00070,1031
H890__00080.1031,7.792601331127941,45.33537557,H890,_,00080,1031
H890__00070.1032,7.8019360320456865,45.334880655,H890,_,00070,1032
H890__00080.1032,7.7926486582418555,45.335362540000006,H890,_,00080,1032
H890__00070.1034,7.801943206487803,45.33468768,H890,_,00070,1034
H890__00080.1034,7.79451100055676,45.335461025,H890,_,00080,1034
H890__00080.1035,7.794988414599027,45.33527053,H890,_,00080,1035
H890__00070.1039,7.8023387800402215,45.33467832,H890,_,00070,1039
H890__00080.1039,7.795014554613303,45.334434335,H890,_,00080,1039
H890__00010.104,7.78551614884538,45.354110405,H890,_,00010,104
H890__00240.104,7.828385812542737,45.309509590000005,H890,_,00240,104
H890__00230.104,7.822656082706492,45.307131645,H890,_,00230,104
H890__00220.104,7.822319715687918,45.314047185,H890,_,00220,104
H890__00210.104,7.793617849974156,45.281119755000006,H890,_,00210,104
H890__00190.104,7.79021339926708,45.29061651000001,H890,_,00190,104
H890__00170.104,7.790569395060585,45.290979185,H890,_,00170,104
H890__00160.104,7.791612588989764,45.302725655,H890,_,00160,104
H890__0015.104,7.78577411157252,45.29846284,H890,_,0015,104
H890__00140.104,7.780327698883637,45.311632805,H890,_,00140,104
H890__00120.104,7.793842572994864,45.31690862,H890,_,00120,104
H890__00110.104,7.803609486160957,45.32427145,H890,_,00110,104
H890__00100.104,7.7970674859177365,45.326535475,H890,_,00100,104
H890__00090.104,7.790520431555949,45.336016435000005,H890,_,00090,104
H890__00060.104,7.8131882791420475,45.331492035,H890,_,00060,104
H890__00050.104,7.825135152996506,45.34642217,H890,_,00050,104
H890__00040.104,7.799380834834576,45.339215365,H890,_,00040,104
H890__00030.104,7.789562999044742,45.349844989999994,H890,_,00030,104
H890__00020.104,7.781881793170728,45.34188581,H890,_,00020,104
H890__00070.1040,7.802469741352182,45.334511559999996,H890,_,00070,1040
H890__00080.1040,7.795117772302701,45.33446035,H890,_,00080,1040
H890__00070.1041,7.802348775358543,45.33492381,H890,_,00070,1041
H890__00080.1042,7.794718033200709,45.333412985,H890,_,00080,1042
H890__00080.1043,7.7946771290308945,45.33342828,H890,_,00080,1043
H890__00080.1044,7.794731756500505,45.333343355,H890,_,00080,1044
H890__00080.1045,7.794655216218439,45.33331553,H890,_,00080,1045
H890__00080.1046,7.794663926030513,45.33334848,H890,_,00080,1046
H890__00010.105,7.7855620939891566,45.35474322,H890,_,00010,105
H890__00240.105,7.828032079113811,45.309598525,H890,_,00240,105
H890__00230.105,7.823131153317385,45.30713505,H890,_,00230,105
H890__00220.105,7.822512048333875,45.314021605,H890,_,00220,105
H890__00210.105,7.794282147381129,45.281298355000004,H890,_,00210,105
H890__00190.105,7.790247270323959,45.29061651000001,H890,_,00190,105
H890__00170.105,7.790642923632439,45.290967295,H890,_,00170,105
H890__00160.105,7.791401697556728,45.303115905,H890,_,00160,105
H890__00140.105,7.780020787359567,45.311603399999996,H890,_,00140,105
H890__00120.105,7.793952532684113,45.316558995,H890,_,00120,105
H890__00100.105,7.797159894748418,45.32743103,H890,_,00100,105
H890__00080.105,7.794064644526725,45.336973905,H890,_,00080,105
H890__00070.105,7.803954724800477,45.33330848,H890,_,00070,105
H890__00060.105,7.813380094844866,45.330403700000005,H890,_,00060,105
H890__00050.105,7.8248896440691365,45.34642217,H890,_,00050,105
H890__00040.105,7.7983835417047676,45.339165734999995,H890,_,00040,105
H890__00030.105,7.790186408722084,45.34904407,H890,_,00030,105
H890__00020.105,7.782110353969682,45.341467480000006,H890,_,00020,105
H890__00080.1050,7.795520118667264,45.333802295,H890,_,00080,1050
H890__00080.1051,7.79553265634034,45.334064670000004,H890,_,00080,1051
H890__00080.1053,7.796698216343734,45.332958489999996,H890,_,00080,1053
H890__00080.1055,7.797255103848986,45.33748378,H890,_,00080,1055
H890__00080.1057,7.7946998536900365,45.334730504999996,H890,_,00080,1057
H890__00080.1059,7.797590672911545,45.336375255,H890,_,00080,1059
H890__00010.106,7.785755385744686,45.35422655,H890,_,00010,106
H890__00230.106,7.823278268303527,45.307046895,H890,_,00230,106
H890__00220.106,7.822711078133814,45.31402336,H890,_,00220,106
H890__00210.106,7.792927847492399,45.282875989999994,H890,_,00210,106
H890__00190.106,7.790346051780944,45.290625705,H890,_,00190,106
H890__00170.106,7.790703398828778,45.29098863,H890,_,00170,106
H890__00160.106,7.791033815671616,45.303087129999994,H890,_,00160,106
H890__00140.106,7.779751946377164,45.31164537,H890,_,00140,106
H890__00130.106,7.789502131355727,45.330297365,H890,_,00130,106
H890__00120.106,7.794050246967246,45.316511829999996,H890,_,00120,106
H890__00100.106,7.797444632894881,45.326647640000004,H890,_,00100,106
H890__00060.106,7.813136103181139,45.330117765,H890,_,00060,106
H890__00050.106,7.824666430073112,45.346349125,H890,_,00050,106
H890__00040.106,7.797804533902175,45.339635975,H890,_,00040,106
H890__00030.106,7.790873892958623,45.348663079999994,H890,_,00030,106
H890__00020.106,7.782332579061774,45.34119465,H890,_,00020,106
H890__00080.1060,7.795751981888001,45.337430865,H890,_,00080,1060
H890__00080.1061,7.792509494261016,45.33809377,H890,_,00080,1061
H890__00080.1063,7.7910884782810825,45.336509095,H890,_,00080,1063
H890__00080.1065,7.791810521535654,45.33652386,H890,_,00080,1065
H890__00080.1066,7.7917798130725675,45.33645306,H890,_,00080,1066
H890__00080.1068,7.793244965736893,45.33678514,H890,_,00080,1068
H890__00010.107,7.7868626009899735,45.35437139,H890,_,00010,107
H890__00230.107,7.823572075694917,45.307007285,H890,_,00230,107
H890__00220.107,7.822842116965775,45.314023635,H890,_,00220,107
H890__00210.107,7.7933583567797395,45.280765869999996,H890,_,00210,107
H890__00190.107,7.790364695256179,45.289849450000006,H890,_,00190,107
H890__00170.107,7.79079239088507,45.29092294,H890,_,00170,107
H890__00160.107,7.7906957576539675,45.30302388,H890,_,00160,107
H890__00140.107,7.7802194843346815,45.311213845,H890,_,00140,107
H890__00130.107,7.7895162693534425,45.33088713,H890,_,00130,107
H890__00120.107,7.794406856268331,45.31638778,H890,_,00120,107
H890__00110.107,7.802322102738797,45.324982935,H890,_,00110,107
H890__00100.107,7.7978234774284845,45.32668037,H890,_,00100,107
H890__00090.107,7.790815729640702,45.33618242,H890,_,00090,107
H890__00060.107,7.812933599886653,45.331631740000006,H890,_,00060,107
H890__00050.107,7.824396543748177,45.346329510000004,H890,_,00050,107
