nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H929__00010.1,14.94694821512229,41.69905038,H929,_,00010,1
H929__00380.1,15.044254154311185,41.6621112,H929,_,00380,1
H929__00370.1,15.05623488424768,41.66607189,H929,_,00370,1
H929__00360.1,15.083113209848946,41.67601137,H929,_,00360,1
H929__00350.1,15.054732663879822,41.671312369999995,H929,_,00350,1
H929__00340.1,15.050450201869872,41.676942845,H929,_,00340,1
H929__00330.1,15.03703308581866,41.672054835,H929,_,00330,1
H929__00320.1,15.101836679942247,41.68393785,H929,_,00320,1
H929__00310.1,15.088792865517672,41.683372985000005,H929,_,00310,1
H929__00300.1,15.08215594082088,41.681275400000004,H929,_,00300,1
H929__00290.1,15.067937702359957,41.680470205,H929,_,00290,1
H929__00280.1,15.056496849108381,41.68278044,H929,_,00280,1
H929__00270.1,15.035305165404576,41.68000301,H929,_,00270,1
H929__00260.1,15.082900439140573,41.692002105,H929,_,00260,1
H929__00250.1,15.069633791780316,41.688412265,H929,_,00250,1
H929__00240.1,15.061235203909273,41.69484502,H929,_,00240,1
H929__00230.1,15.046102625536902,41.693467755,H929,_,00230,1
H929__00220.1,15.028449557373925,41.68857287,H929,_,00220,1
H929__00210.1,15.026447626343543,41.68833717,H929,_,00210,1
H929__00200.1,15.021313549712493,41.688869194999995,H929,_,00200,1
H929__00190.1,14.987059093198484,41.688654755,H929,_,00190,1
H929__00180.1,14.977017500264928,41.68275266,H929,_,00180,1
H929__00170.1,14.96891158976486,41.683879375000004,H929,_,00170,1
H929__00160.1,14.951410541660051,41.686018995,H929,_,00160,1
H929__00150.1,14.947042113727615,41.679058315,H929,_,00150,1
H929__00140.1,14.933444053411698,41.684674715,H929,_,00140,1
H929__00130.1,15.027541118032797,41.693580675,H929,_,00130,1
H929__00120.1,15.013592753903875,41.696984475,H929,_,00120,1
H929__00110.1,15.005211960258826,41.699766545,H929,_,00110,1
H929__00100.1,14.988688922691608,41.69584468,H929,_,00100,1
H929__00090.1,14.979771303249336,41.6945368,H929,_,00090,1
H929__00050.1,14.94044005515519,41.696671550000005,H929,_,00050,1
H929__00040.1,14.985945428925781,41.704866705,H929,_,00040,1
H929__00020.1,14.961291587023762,41.700437660000006,H929,_,00020,1
H929__00010.10,14.948710511746427,41.697914819999994,H929,_,00010,10
H929__00380.10,15.034066574110382,41.65727244,H929,_,00380,10
H929__00370.10,15.057721876216666,41.664242555,H929,_,00370,10
