nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H931__00010.1,14.487520317088293,40.842111665,H931,_,00010,1
H931__00190.1,14.501558716336614,40.826134569999994,H931,_,00190,1
H931__00170.1,14.513276399947067,40.841818855,H931,_,00170,1
H931__00150.1,14.50243878191586,40.840525055,H931,_,00150,1
H931__00140.1,14.52317354242173,40.815735445,H931,_,00140,1
H931__00130.1,14.50414200343908,40.82076343,H931,_,00130,1
H931__00120.1,14.511532947208591,40.823723635,H931,_,00120,1
H931__00110.1,14.504438565801795,40.82738004,H931,_,00110,1
H931__00100.1,14.487982758640548,40.826371115,H931,_,00100,1
H931__00090.1,14.478365554480966,40.832238294999996,H931,_,00090,1
H931__00080.1,14.474125791028483,40.832211985,H931,_,00080,1
H931__00070.1,14.448436744645662,40.82695574,H931,_,00070,1
H931__00050.1,14.505688928057104,40.833879385,H931,_,00050,1
H931__00030.1,14.51544164352648,40.84066269,H931,_,00030,1
H931__00010.10,14.489775984831095,40.841754120000004,H931,_,00010,10
H931__00190.10,14.503693757267218,40.82624945,H931,_,00190,10
H931__00180.10,14.497565255269127,40.83545341,H931,_,00180,10
H931__00170.10,14.513243338586715,40.84150715,H931,_,00170,10
H931__00140.10,14.5209399993456,40.814566215,H931,_,00140,10
H931__00100.10,14.48801163847903,40.82625969,H931,_,00100,10
H931__00090.10,14.482900067490522,40.832121285,H931,_,00090,10
H931__00080.10,14.472360384633976,40.83175812,H931,_,00080,10
H931__00050.10,14.504661442910322,40.83030951,H931,_,00050,10
H931__00040.10,14.495531266179162,40.833404325000004,H931,_,00040,10
H931__00030.10,14.515559111894065,40.83972781,H931,_,00030,10
H931__00020.10,14.492827793626285,40.842773655,H931,_,00020,10
H931__00040.100,14.50376296723134,40.831564099999994,H931,_,00040,100
H931__00190.100,14.50314083775394,40.82460826,H931,_,00190,100
H931__00180.100,14.500721180075159,40.83416313,H931,_,00180,100
H931__00170.100,14.512740807702201,40.84069804,H931,_,00170,100
H931__00120.100,14.528790808220506,40.820731484999996,H931,_,00120,100
H931__00080.100,14.466437332219883,40.827937335,H931,_,00080,100
H931__00060.100,14.524501902959834,40.827925865,H931,_,00060,100
H931__00050.100,14.504974119299362,40.827738115,H931,_,00050,100
H931__00010.1000,14.493223721449922,40.83895236,H931,_,00010,1000
H931__00170.1000,14.51182630519919,40.838159525,H931,_,00170,1000
H931__00160.1000,14.510253969596098,40.83663253,H931,_,00160,1000
H931__00140.1000,14.520970986505102,40.81380255,H931,_,00140,1000
H931__00130.1000,14.510980754108385,40.81723681,H931,_,00130,1000
H931__00120.1000,14.524331398391693,40.819858665,H931,_,00120,1000
H931__00110.1000,14.498543729003762,40.825768440000004,H931,_,00110,1000
H931__00100.1000,14.496049302538392,40.824794115,H931,_,00100,1000
H931__00090.1000,14.478620900947034,40.829608475,H931,_,00090,1000
H931__00050.1000,14.509572900430879,40.828933004999996,H931,_,00050,1000
H931__00040.1000,14.490960371722142,40.831362600000006,H931,_,00040,1000
H931__00030.1000,14.515870045616378,40.835107515,H931,_,00030,1000
H931__00020.1000,14.494267227305137,40.842267955,H931,_,00020,1000
H931__00030.1001,14.5217790171811,40.830759195,H931,_,00030,1001
H931__00170.1001,14.5118650915575,40.83809836499999,H931,_,00170,1001
H931__00160.1001,14.510344124122762,40.836738964999995,H931,_,00160,1001
H931__00150.1001,14.502154748078354,40.836902550000005,H931,_,00150,1001
H931__00140.1001,14.521075830444124,40.81361971,H931,_,00140,1001
H931__00100.1001,14.488611527638437,40.825224205,H931,_,00100,1001
H931__00090.1001,14.480001039229034,40.82915861,H931,_,00090,1001
H931__00060.1001,14.511343038153871,40.83128787,H931,_,00060,1001
H931__00050.1001,14.507784300575171,40.83072754,H931,_,00050,1001
H931__00040.1001,14.491177019372717,40.83134483,H931,_,00040,1001
H931__00010.1002,14.501452911604105,40.84013386,H931,_,00010,1002
H931__00180.1002,14.501617142525998,40.83189361,H931,_,00180,1002
H931__00170.1002,14.511796096262996,40.83795117,H931,_,00170,1002
H931__00140.1002,14.521232324918543,40.813367420000006,H931,_,00140,1002
H931__00120.1002,14.523020693974562,40.818858465,H931,_,00120,1002
H931__00110.1002,14.509587048957615,40.82489377,H931,_,00110,1002
H931__00100.1002,14.488004957470185,40.824548945000004,H931,_,00100,1002
H931__00060.1002,14.511521915766112,40.831261874999996,H931,_,00060,1002
