nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H951__00010.1,13.531006687201627,46.1467491,H951,_,00010,1
H951__00240.1,13.540938947959745,46.10665886,H951,_,00240,1
H951__00230.1,13.52301338321275,46.104042855,H951,_,00230,1
H951__00210.1,13.547642429241208,46.115189785,H951,_,00210,1
H951__00200.1,13.528104845845,46.11265884,H951,_,00200,1
H951__00190.1,13.511060284975292,46.108456180000005,H951,_,00190,1
H951__00180.1,13.541263861881273,46.1211073,H951,_,00180,1
H951__00150.1,13.508029179954262,46.121200635,H951,_,00150,1
H951__00140.1,13.57155862987523,46.140626260000005,H951,_,00140,1
H951__00130.1,13.552255892548361,46.13239464,H951,_,00130,1
H951__00120.1,13.543283912631427,46.12642745,H951,_,00120,1
H951__00110.1,13.538591263019068,46.135169125000004,H951,_,00110,1
H951__00100.1,13.52998690780522,46.128247834999996,H951,_,00100,1
H951__00090.1,13.511001052416741,46.133867275,H951,_,00090,1
H951__00080.1,13.557303513432073,46.145802474999996,H951,_,00080,1
H951__00070.1,13.549560686587022,46.141156269999996,H951,_,00070,1
H951__00060.1,13.545161286229936,46.139884915,H951,_,00060,1
H951__00050.1,13.527320582867791,46.138621775,H951,_,00050,1
H951__00040.1,13.514308360037898,46.138903815000006,H951,_,00040,1
H951__00020.1,13.551713060094855,46.157433375,H951,_,00020,1
H951__00010.10,13.52779280673687,46.144892145,H951,_,00010,10
H951__00250.10,13.551640082925639,46.106615954999995,H951,_,00250,10
H951__00240.10,13.546465880808348,46.10658454,H951,_,00240,10
H951__00230.10,13.523814924176115,46.10235629,H951,_,00230,10
H951__00220.10,13.563750762134696,46.115152775,H951,_,00220,10
H951__00210.10,13.541518588427632,46.113781535,H951,_,00210,10
H951__00200.10,13.527830609680205,46.11151556,H951,_,00200,10
H951__00190.10,13.514220516146562,46.107825665,H951,_,00190,10
H951__00180.10,13.542671538310474,46.12003156,H951,_,00180,10
H951__00170.10,13.52963457900447,46.11999541,H951,_,00170,10
H951__00160.10,13.519954383410134,46.11635605,H951,_,00160,10
H951__00150.10,13.511071335506845,46.122457374999996,H951,_,00150,10
H951__00140.10,13.573876957962613,46.140113389999996,H951,_,00140,10
H951__00130.10,13.554343435483316,46.13263833,H951,_,00130,10
H951__00120.10,13.549103295057119,46.12802189,H951,_,00120,10
H951__00100.10,13.531751693008431,46.127766365,H951,_,00100,10
H951__00090.10,13.509044341747497,46.132567519999995,H951,_,00090,10
H951__00080.10,13.560871073297337,46.14726335,H951,_,00080,10
H951__00070.10,13.551381155604627,46.142541965,H951,_,00070,10
H951__00060.10,13.546399059004255,46.140068135,H951,_,00060,10
H951__00050.10,13.528950619116072,46.138204529999996,H951,_,00050,10
H951__00040.10,13.518100360013271,46.139370744999994,H951,_,00040,10
H951__00030.10,13.559378650914747,46.160003405,H951,_,00030,10
H951__00020.10,13.55305059780147,46.155598865,H951,_,00020,10
H951__0001.100,13.540312062250093,46.144165755,H951,_,0001,100
H951__00250.100,13.555867388895852,46.100850495,H951,_,00250,100
H951__00240.100,13.543428996642614,46.09935601,H951,_,00240,100
H951__00230.100,13.532271285842073,46.09990614,H951,_,00230,100
H951__00220.100,13.566636514745742,46.112799315000004,H951,_,00220,100
H951__00210.100,13.545508389428747,46.111649850000006,H951,_,00210,100
H951__00200.100,13.535183677670332,46.108833515,H951,_,00200,100
H951__00180.100,13.545281888222604,46.11708445,H951,_,00180,100
H951__00170.100,13.528943525445326,46.115945545,H951,_,00170,100
H951__00160.100,13.509587470815749,46.11163139,H951,_,00160,100
H951__00150.100,13.50116403256688,46.119658085,H951,_,00150,100
H951__00140.100,13.566699867223132,46.135734084999996,H951,_,00140,100
H951__00130.100,13.557358318085438,46.129194209999994,H951,_,00130,100
H951__00120.100,13.55238115863212,46.127196635000004,H951,_,00120,100
H951__0011.100,13.536454842391471,46.132629285,H951,_,0011,100
H951__00100.100,13.537032117267083,46.123545135,H951,_,00100,100
H951__00090.100,13.518076989612293,46.123946180000004,H951,_,00090,100
H951__00080.100,13.567542511368934,46.14658609,H951,_,00080,100
H951__00060.100,13.550444479381333,46.13691446,H951,_,00060,100
H951__00050.100,13.534999560525035,46.136514410000004,H951,_,00050,100
H951__00040.100,13.518570495472417,46.135648775,H951,_,00040,100
H951__00030.100,13.562294674181443,46.149156925,H951,_,00030,100
H951__00020.100,13.543694051623264,46.147934445000004,H951,_,00020,100
H951__00150.1000,13.502684955699536,46.11396567,H951,_,00150,1000
H951__00150.1001,13.501913463291615,46.114156575,H951,_,00150,1001
H951__00150.1002,13.50197775346417,46.114088355,H951,_,00150,1002
H951__00150.1003,13.502046255778229,46.11428291,H951,_,00150,1003
H951__00150.1004,13.501426145507727,46.114248475,H951,_,00150,1004
H951__00150.1005,13.501460197425462,46.11417802,H951,_,00150,1005
H951__00150.1006,13.50151285681018,46.114295915,H951,_,00150,1006
H951__00150.1007,13.501227611295551,46.11427149,H951,_,00150,1007
H951__00150.1008,13.501201133198393,46.114367095,H951,_,00150,1008
H951__00150.1009,13.501109474057786,46.114448749999994,H951,_,00150,1009
H951__0001.101,13.540325023816507,46.144535565,H951,_,0001,101
H951__00250.101,13.54856125414544,46.103949755,H951,_,00250,101
H951__00240.101,13.543875566560189,46.09909619,H951,_,00240,101
H951__00230.101,13.532044419722482,46.10028878,H951,_,00230,101
H951__00220.101,13.566948101686947,46.113098179999994,H951,_,00220,101
H951__00210.101,13.545236094026876,46.11248116,H951,_,00210,101
H951__00200.101,13.53550373612816,46.109319565,H951,_,00200,101
H951__00180.101,13.545114148211898,46.119618665,H951,_,00180,101
H951__00170.101,13.523021746832349,46.117889825000006,H951,_,00170,101
H951__00160.101,13.5112169446497,46.111799675,H951,_,00160,101
H951__00150.101,13.502178750006546,46.119150274999996,H951,_,00150,101
H951__00140.101,13.567052151050706,46.13550769,H951,_,00140,101
H951__00130.101,13.557726491202711,46.12920911,H951,_,00130,101
H951__00120.101,13.55260681254761,46.127202165,H951,_,00120,101
H951__0011.101,13.536434368164244,46.13254675,H951,_,0011,101
H951__00100.101,13.538045382954767,46.123545379999996,H951,_,00100,101
H951__00090.101,13.517865147034335,46.123300915,H951,_,00090,101
H951__00080.101,13.568263033162408,46.146746275,H951,_,00080,101
H951__00070.101,13.560234901076942,46.13721346,H951,_,00070,101
H951__00060.101,13.551546355452968,46.136974755,H951,_,00060,101
H951__00050.101,13.534992718230821,46.136184575,H951,_,00050,101
H951__00040.101,13.518902397730415,46.13530799,H951,_,00040,101
H951__00030.101,13.563072074138102,46.149333005,H951,_,00030,101
H951__00020.101,13.544432938917836,46.14781123,H951,_,00020,101
H951__00150.1010,13.498602434867475,46.114722985,H951,_,00150,1010
H951__00150.1011,13.501015433748726,46.11425689,H951,_,00150,1011
H951__00150.1012,13.501067572937387,46.11432103,H951,_,00150,1012
H951__00150.1013,13.501312177423099,46.11460488,H951,_,00150,1013
H951__00150.1014,13.501522153515397,46.11431449,H951,_,00150,1014
H951__00150.1015,13.501780618983567,46.114211295,H951,_,00150,1015
H951__00150.1016,13.503342402268181,46.114251765000006,H951,_,00150,1016
H951__00150.1017,13.503485314186658,46.114443455,H951,_,00150,1017
H951__00150.1018,13.503729109723306,46.114351389999996,H951,_,00150,1018
H951__00150.1019,13.503712586069852,46.114566945,H951,_,00150,1019
H951__0001.102,13.540340018715082,46.144604475,H951,_,0001,102
H951__00250.102,13.548730943420654,46.104003235,H951,_,00250,102
H951__00240.102,13.544414767810935,46.09909619,H951,_,00240,102
H951__00230.102,13.53189903934988,46.10045976,H951,_,00230,102
H951__00220.102,13.56661657185185,46.112514625,H951,_,00220,102
H951__00210.102,13.545543648043648,46.11248547,H951,_,00210,102
H951__00200.102,13.535899391889462,46.109953974999996,H951,_,00200,102
H951__00180.102,13.545822619803287,46.119279785,H951,_,00180,102
H951__00170.102,13.528667317399094,46.115463645,H951,_,00170,102
H951__00160.102,13.509262550734483,46.11073226,H951,_,00160,102
H951__00150.102,13.500944126217261,46.118370435,H951,_,00150,102
H951__00140.102,13.566626029544928,46.135617755,H951,_,00140,102
H951__00130.102,13.558221525040247,46.12984847,H951,_,00130,102
H951__0011.102,13.535829799589528,46.13262808,H951,_,0011,102
H951__00100.102,13.537982843575755,46.12316776,H951,_,00100,102
H951__00090.102,13.517500768427034,46.123186355,H951,_,00090,102
H951__00080.102,13.568793280100845,46.14700793,H951,_,00080,102
H951__00060.102,13.552692219569103,46.136763880000004,H951,_,00060,102
H951__00050.102,13.53468537059727,46.135739584999996,H951,_,00050,102
H951__00040.102,13.519248431658806,46.13530593,H951,_,00040,102
H951__00030.102,13.56257546398823,46.149086355,H951,_,00030,102
H951__00020.102,13.544836143639287,46.147896105,H951,_,00020,102
H951__00150.1020,13.503433811417416,46.11457245,H951,_,00150,1020
H951__00150.1021,13.503586949946335,46.114751225,H951,_,00150,1021
H951__00150.1022,13.504022851284432,46.114765344999995,H951,_,00150,1022
H951__00150.1023,13.504306574260578,46.114707155,H951,_,00150,1023
H951__00150.1024,13.504089893757303,46.114773125,H951,_,00150,1024
H951__00150.1025,13.503874060648076,46.11492446,H951,_,00150,1025
H951__00150.1026,13.504287496045059,46.114925330000005,H951,_,00150,1026
H951__00150.1027,13.504673350916217,46.11492845,H951,_,00150,1027
H951__00150.1028,13.504369468960153,46.114926600000004,H951,_,00150,1028
H951__00150.1029,13.505011657945623,46.114952195,H951,_,00150,1029
H951__0001.103,13.540412769041161,46.144608985000005,H951,_,0001,103
H951__00250.103,13.548930910643037,46.10390916,H951,_,00250,103
H951__00240.103,13.545209564979967,46.099093365,H951,_,00240,103
H951__00230.103,13.532612269896388,46.100374225,H951,_,00230,103
H951__00220.103,13.567008106508851,46.112884414999996,H951,_,00220,103
H951__00210.103,13.54588568318187,46.11188734,H951,_,00210,103
H951__00200.103,13.536255283282008,46.110479035,H951,_,00200,103
H951__00180.103,13.545997111389646,46.118020615,H951,_,00180,103
H951__00170.103,13.529058281341957,46.11546471,H951,_,00170,103
H951__00160.103,13.509477240752695,46.11089726,H951,_,00160,103
H951__00150.103,13.502296847222848,46.11888413,H951,_,00150,103
H951__00140.103,13.56643031848952,46.135507185,H951,_,00140,103
H951__00130.103,13.558821703002064,46.129238195,H951,_,00130,103
H951__00120.103,13.55274969391234,46.127312505000006,H951,_,00120,103
H951__0011.103,13.535768560190187,46.13243515,H951,_,0011,103
H951__00100.103,13.539269072381288,46.123344665000005,H951,_,00100,103
H951__00090.103,13.519918290591363,46.12545374,H951,_,00090,103
H951__00080.103,13.569075361766384,46.146489724999995,H951,_,00080,103
H951__00060.103,13.553095998030187,46.137058265,H951,_,00060,103
H951__00050.103,13.535206739876195,46.135239725,H951,_,00050,103
