nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I315__00010.1,13.513992229234383,43.049042055,I315,_,00010,1
I315__00250.1,13.49436051848484,42.99607028,I315,_,00250,1
I315__00240.1,13.52104556973174,43.004861555,I315,_,00240,1
I315__00220.1,13.491205472789371,43.000674544999995,I315,_,00220,1
I315__00210.1,13.502344258140605,43.009365815,I315,_,00210,1
I315__00200.1,13.496394263586808,43.00928105,I315,_,00200,1
I315__00190.1,13.47781027804455,43.010656035,I315,_,00190,1
I315__00160.1,13.480476057613945,43.020097629999995,I315,_,00160,1
I315__00150.1,13.513092290692189,43.024664470000005,I315,_,00150,1
I315__00140.1,13.494751334332102,43.020306015,I315,_,00140,1
I315__00130.1,13.483879357394157,43.027274585,I315,_,00130,1
I315__00120.1,13.470664867817822,43.025512680000006,I315,_,00120,1
I315__00110.1,13.462644717674545,43.02676343,I315,_,00110,1
I315__00100.1,13.519392697289693,43.038449764999996,I315,_,00100,1
I315__00090.1,13.5102704341515,43.03517271,I315,_,00090,1
I315__00080.1,13.502889203999747,43.03552448,I315,_,00080,1
I315__00070.1,13.51092439863548,43.042262035,I315,_,00070,1
I315__00060.1,13.498032988013728,43.042878314999996,I315,_,00060,1
I315__00050.1,13.484169339804946,43.040402755,I315,_,00050,1
I315__00040.1,13.476927013360624,43.037232495,I315,_,00040,1
I315__00030.1,13.46746710456389,43.03719572999999,I315,_,00030,1
I315__00020.1,13.473205704138781,43.044774435,I315,_,00020,1
I315__00010.10,13.512366045415611,43.046958454999995,I315,_,00010,10
I315__00250.10,13.502042836449533,42.994524565,I315,_,00250,10
I315__00240.10,13.516015715796183,43.00340679,I315,_,00240,10
I315__00230.10,13.49482099285774,43.001327695,I315,_,00230,10
I315__00220.10,13.491177144912001,42.999151675,I315,_,00220,10
I315__00210.10,13.509006585869038,43.0101377,I315,_,00210,10
I315__00200.10,13.498830634506094,43.008219885,I315,_,00200,10
I315__00190.10,13.478125560598063,43.008896465,I315,_,00190,10
I315__00180.10,13.502861955224216,43.016439125000005,I315,_,00180,10
I315__00170.10,13.489777315368023,43.0156412,I315,_,00170,10
I315__00160.10,13.484483891708667,43.01940999,I315,_,00160,10
I315__00150.10,13.505168664634308,43.022457200000005,I315,_,00150,10
I315__00130.10,13.486297991533572,43.026410825,I315,_,00130,10
I315__00110.10,13.463887722358152,43.026348060000004,I315,_,00110,10
I315__00100.10,13.52308985881855,43.037882984999996,I315,_,00100,10
I315__00090.10,13.51264396419214,43.033424935,I315,_,00090,10
I315__00070.10,13.511501308994223,43.042118945,I315,_,00070,10
I315__00060.10,13.498556180241955,43.04173285,I315,_,00060,10
I315__00050.10,13.484523042697749,43.04003005,I315,_,00050,10
I315__00040.10,13.480204967014773,43.03719128,I315,_,00040,10
I315__00030.10,13.467250380195793,43.035439025,I315,_,00030,10
I315__00020.100,13.470846381798905,43.03985837,I315,_,00020,100
I315__00250.100,13.512187865008658,42.990786889999995,I315,_,00250,100
I315__00240.100,13.51697938025038,43.004187225,I315,_,00240,100
I315__00230.100,13.512342860804804,42.997700635,I315,_,00230,100
I315__00220.100,13.48246396189687,42.996974445,I315,_,00220,100
I315__00210.100,13.503556665937506,43.005648395,I315,_,00210,100
