nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I316__00010.1,7.902971115598129,44.704907445,I316,_,00010,1
I316__00150.1,7.922003538779055,44.688944155,I316,_,00150,1
I316__00100.1,7.911746616138283,44.69846509,I316,_,00100,1
I316__00070.1,7.956281317029873,44.701474525,I316,_,00070,1
I316__00060.1,7.952314861974688,44.71153763,I316,_,00060,1
I316__00050.1,7.940789938721381,44.71094738,I316,_,00050,1
I316__00040.1,7.931415543308496,44.708954085,I316,_,00040,1
I316__00030.1,7.929296509494211,44.706820275,I316,_,00030,1
I316__00020.1,7.925720372839682,44.70485809,I316,_,00020,1
I316__00020.10,7.919530878546553,44.70605133,I316,_,00020,10
I316__00140.10,7.91211629519538,44.692859955,I316,_,00140,10
I316__00130.10,7.969127835398018,44.693456819999994,I316,_,00130,10
I316__00110.10,7.927480448676023,44.689524660000004,I316,_,00110,10
I316__00100.10,7.914325805092764,44.698762095,I316,_,00100,10
I316__00090.10,7.926338392031653,44.696982614999996,I316,_,00090,10
I316__00080.10,7.943451949188404,44.703167405,I316,_,00080,10
I316__00070.10,7.959546181264375,44.702213650000004,I316,_,00070,10
I316__00060.10,7.957345111087073,44.710469705,I316,_,00060,10
I316__00050.10,7.941920681497143,44.710674929999996,I316,_,00050,10
I316__00040.10,7.932933354756172,44.709987995,I316,_,00040,10
I316__00030.10,7.930196974786248,44.708227935,I316,_,00030,10
I316__00020.100,7.926269715333385,44.707853965,I316,_,00020,100
I316__00120.100,7.950312734767868,44.693658455000005,I316,_,00120,100
I316__00110.100,7.934158068695639,44.689228005000004,I316,_,00110,100
I316__00100.100,7.918132407733815,44.697710744999995,I316,_,00100,100
I316__00080.100,7.946983589563301,44.70060092,I316,_,00080,100
I316__00070.100,7.958904691479873,44.698074915,I316,_,00070,100
I316__00060.100,7.9530695212398905,44.705734335,I316,_,00060,100
I316__00050.100,7.944838115413343,44.710243919999996,I316,_,00050,100
I316__00040.100,7.93523374838097,44.705987955,I316,_,00040,100
I316__00030.100,7.932698000989555,44.70304521,I316,_,00030,100
I316__00090.1000,7.932874878630184,44.693186775,I316,_,00090,1000
I316__00100.1000,7.918899315565838,44.694715465,I316,_,00100,1000
I316__00090.1001,7.9329461625294755,44.693228065,I316,_,00090,1001
I316__00090.1002,7.932971239785942,44.69320753,I316,_,00090,1002
I316__00090.1003,7.933115135727176,44.693186839999996,I316,_,00090,1003
I316__00090.1004,7.933198012901235,44.69318755,I316,_,00090,1004
I316__00090.1005,7.931188643674157,44.69330343,I316,_,00090,1005
I316__00090.1006,7.932157767602238,44.693124035,I316,_,00090,1006
I316__00020.101,7.926671648281819,44.70787182,I316,_,00020,101
I316__00120.101,7.950436407614291,44.693648385,I316,_,00120,101
