nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I376__00070.1,13.96093402996554,42.256457955,I376,_,00070,1
I376__00320.1,13.992791302620379,42.21204661,I376,_,00320,1
I376__00310.1,13.989286446235731,42.21210283,I376,_,00310,1
I376__00300.1,13.988906942371386,42.217918280000006,I376,_,00300,1
I376__00290.1,13.97684888178954,42.21483231,I376,_,00290,1
I376__00280.1,13.971305631751953,42.219430165000006,I376,_,00280,1
I376__00270.1,14.00190494803809,42.225089010000005,I376,_,00270,1
I376__00250.1,13.974582279947878,42.225410440000005,I376,_,00250,1
I376__00240.1,13.964411755516661,42.226428229999996,I376,_,00240,1
I376__00230.1,13.988117956085578,42.234889530000004,I376,_,00230,1
I376__00220.1,13.978613351851473,42.23535268,I376,_,00220,1
I376__00210.1,13.974007915257465,42.235278505,I376,_,00210,1
I376__00130.1,13.981269157829134,42.25133592,I376,_,00130,1
I376__00120.1,13.974921566791524,42.24679423,I376,_,00120,1
I376__00090.1,13.969938344003717,42.2566468,I376,_,00090,1
I376__00080.1,13.97029654228079,42.253069185,I376,_,00080,1
I376__00070.10,13.968296136289151,42.256637264999995,I376,_,00070,10
I376__00320.10,13.992902212871748,42.210476154999995,I376,_,00320,10
I376__00300.10,13.993628965236162,42.216341175,I376,_,00300,10
I376__00290.10,13.978647225323162,42.214415204999995,I376,_,00290,10
I376__00280.10,13.967821953569374,42.21333873,I376,_,00280,10
I376__00270.10,13.992830025771323,42.22791484,I376,_,00270,10
I376__00260.10,13.991399362342701,42.22485221,I376,_,00260,10
I376__00250.10,13.976025643701524,42.22627216,I376,_,00250,10
I376__00240.10,13.968933328865955,42.218149354999994,I376,_,00240,10
I376__00230.10,13.989992043015452,42.233788495,I376,_,00230,10
I376__00220.10,13.98117774168257,42.226268625,I376,_,00220,10
I376__00210.10,13.974709316534117,42.234502025,I376,_,00210,10
I376__00180.10,13.991671072505227,42.24410163,I376,_,00180,10
I376__00170.10,13.976952690862294,42.24154534,I376,_,00170,10
I376__00140.10,14.000054143064142,42.253037015000004,I376,_,00140,10
I376__00130.10,13.991762401958603,42.25088238,I376,_,00130,10
I376__00120.10,13.974451131746383,42.247386385,I376,_,00120,10
I376__00090.10,13.974448250497357,42.25750668,I376,_,00090,10
I376__00080.10,13.967588062537542,42.253052955,I376,_,00080,10
