nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I461__00010.1,12.857140370474538,43.529291595000004,I461,_,00010,1
I461__01400.1,12.76599229018381,43.37205539,I461,_,01400,1
I461__01390.1,12.769347878141446,43.37880999,I461,_,01390,1
I461__01380.1,12.753636979256754,43.382270704999996,I461,_,01380,1
I461__01370.1,12.827809644505377,43.386867105,I461,_,01370,1
I461__01360.1,12.819866491175688,43.39246174,I461,_,01360,1
I461__01350.1,12.805174466534135,43.38713048,I461,_,01350,1
I461__01340.1,12.81525739783427,43.395500055,I461,_,01340,1
I461__01330.1,12.800823764622626,43.393174845000004,I461,_,01330,1
I461__01320.1,12.786828831744186,43.388841915,I461,_,01320,1
I461__01310.1,12.77337031953932,43.387576010000004,I461,_,01310,1
I461__01300.1,12.760860367788094,43.390189515,I461,_,01300,1
I461__01290.1,12.754612232057102,43.390905555,I461,_,01290,1
I461__01280.1,12.854203651779681,43.39695431,I461,_,01280,1
I461__01270.1,12.848771475765883,43.397238715,I461,_,01270,1
I461__01260.1,12.839780240585668,43.401368385,I461,_,01260,1
I461__01250.1,12.825399071961273,43.39950967,I461,_,01250,1
I461__01240.1,12.804193237604373,43.393113875,I461,_,01240,1
I461__01230.1,12.79466800818123,43.398657845,I461,_,01230,1
I461__01220.1,12.770399466007898,43.394616105,I461,_,01220,1
I461__01210.1,12.764118636504524,43.396774985,I461,_,01210,1
I461__01200.1,12.875318528126058,43.403872989999996,I461,_,01200,1
I461__01190.1,12.862057410297666,43.40480936,I461,_,01190,1
I461__01180.1,12.844137003296192,43.40486807,I461,_,01180,1
I461__01170.1,12.818670290406509,43.405840835,I461,_,01170,1
I461__01160.1,12.796538606076897,43.404532180000004,I461,_,01160,1
I461__01150.1,12.799367141097568,43.401450755,I461,_,01150,1
I461__01140.1,12.787472596309833,43.404082425,I461,_,01140,1
I461__01130.1,12.771605816470824,43.40095558,I461,_,01130,1
I461__01120.1,12.877974168134415,43.413384054999995,I461,_,01120,1
I461__01110.1,12.86810319304651,43.417670965,I461,_,01110,1
I461__01100.1,12.862643480515018,43.41205508,I461,_,01100,1
I461__01090.1,12.851769863747577,43.419445644999996,I461,_,01090,1
I461__01080.1,12.8291475126837,43.41650328,I461,_,01080,1
I461__01060.1,12.80555724704426,43.41884078,I461,_,01060,1
I461__01050.1,12.786872358557023,43.41837189,I461,_,01050,1
I461__01040.1,12.783275280847118,43.415839520000006,I461,_,01040,1
I461__01020.1,12.857667768398052,43.423757535,I461,_,01020,1
I461__01010.1,12.850833032886682,43.419037020000005,I461,_,01010,1
I461__01000.1,12.816555479904386,43.420046854999995,I461,_,01000,1
I461__00990.1,12.795671234142322,43.421633025000006,I461,_,00990,1
I461__00980.1,12.785853199373339,43.422033705000004,I461,_,00980,1
I461__00970.1,12.859086876612501,43.430469225,I461,_,00970,1
I461__00940.1,12.836610754579352,43.430439015000005,I461,_,00940,1
I461__00930.1,12.816012732526016,43.42833203,I461,_,00930,1
I461__00920.1,12.813728501449274,43.4278914,I461,_,00920,1
I461__00910.1,12.795030866062035,43.42760285,I461,_,00910,1
I461__00900.1,12.78028104173365,43.43179689,I461,_,00900,1
I461__00890.1,12.773107698746031,43.43077511,I461,_,00890,1
I461__00880.1,12.885143940154428,43.43733427,I461,_,00880,1
I461__00860.1,12.86220384682856,43.43796625,I461,_,00860,1
I461__00850.1,12.854998637064323,43.434940725000004,I461,_,00850,1
I461__00830.1,12.837626000773067,43.436625195000005,I461,_,00830,1
I461__00820.1,12.812433375777246,43.439418270000004,I461,_,00820,1
I461__00810.1,12.802018260288563,43.43638176,I461,_,00810,1
I461__00800.1,12.798246727751437,43.434652285,I461,_,00800,1
I461__00790.1,12.790413009032203,43.43903547,I461,_,00790,1
I461__00780.1,12.790128854152062,43.4342417,I461,_,00780,1
I461__00770.1,12.77903947346147,43.437276945,I461,_,00770,1
I461__00760.1,12.773119233261246,43.43956354,I461,_,00760,1
I461__00750.1,12.894118875304965,43.442777745,I461,_,00750,1
I461__00740.1,12.853810300954205,43.44267164,I461,_,00740,1
I461__00720.1,12.80234150172719,43.443185740000004,I461,_,00720,1
I461__00710.1,12.78399278426285,43.44713298,I461,_,00710,1
I461__00700.1,12.777646736017026,43.44649204,I461,_,00700,1
I461__00690.1,12.776769112150928,43.45197375,I461,_,00690,1
I461__00680.1,12.886448956508403,43.45008893,I461,_,00680,1
I461__00670.1,12.876440645661948,43.45283737,I461,_,00670,1
I461__00650.1,12.855165567932303,43.45762848,I461,_,00650,1
I461__00640.1,12.843217349187777,43.456607524999995,I461,_,00640,1
I461__00630.1,12.834526750139103,43.45294564,I461,_,00630,1
I461__00620.1,12.823673281672644,43.456588435,I461,_,00620,1
I461__00610.1,12.796187582025123,43.4510726,I461,_,00610,1
I461__00600.1,12.779228766192197,43.453431120000005,I461,_,00600,1
I461__00590.1,12.79296220303374,43.461026135,I461,_,00590,1
I461__00580.1,12.771932313339875,43.45887757,I461,_,00580,1
I461__00570.1,12.88220909860202,43.46098685,I461,_,00570,1
I461__00550.1,12.866170781908064,43.466155415,I461,_,00550,1
I461__00540.1,12.861281900782327,43.46572715,I461,_,00540,1
I461__00520.1,12.82155634728383,43.460751085,I461,_,00520,1
I461__00510.1,12.810916249944583,43.46030365,I461,_,00510,1
I461__00500.1,12.809514608504767,43.465464215,I461,_,00500,1
I461__00490.1,12.804158908477472,43.46722012,I461,_,00490,1
I461__00480.1,12.785941123985758,43.46744742,I461,_,00480,1
