nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I497__00010.1,10.276284608485732,45.055122035,I497,_,00010,1
I497__00190.1,10.307286838857149,45.0319889,I497,_,00190,1
I497__00180.1,10.329870864479147,45.037641685,I497,_,00180,1
I497__00170.1,10.302257469781217,45.0457243,I497,_,00170,1
I497__00160.1,10.291924175184942,45.040348699999996,I497,_,00160,1
I497__00130.1,10.31411381014938,45.04613531,I497,_,00130,1
I497__00120.1,10.30820548229007,45.05302978,I497,_,00120,1
I497__00100.1,10.302922088707732,45.05429639,I497,_,00100,1
I497__00090.1,10.294777695831481,45.056494799999996,I497,_,00090,1
I497__00080.1,10.294221776136766,45.055472574999996,I497,_,00080,1
I497__00070.1,10.331461718009278,45.063755900000004,I497,_,00070,1
I497__00060.1,10.314091026995806,45.063264454999995,I497,_,00060,1
I497__00050.1,10.309593425870233,45.06392554,I497,_,00050,1
I497__00040.1,10.301645264455,45.066772815,I497,_,00040,1
I497__00030.1,10.286052212130613,45.066627870000005,I497,_,00030,1
I497__00020.1,10.283570074455337,45.066508535,I497,_,00020,1
I497__00010.10,10.278694718483244,45.052087815,I497,_,00010,10
I497__00180.10,10.317089494120532,45.034595825,I497,_,00180,10
I497__00170.10,10.301722860282302,45.04219075,I497,_,00170,10
I497__00160.10,10.295004516011211,45.039181765,I497,_,00160,10
I497__00150.10,10.342729798948493,45.044032279999996,I497,_,00150,10
I497__00140.10,10.342343255786268,45.053353474999994,I497,_,00140,10
I497__00130.10,10.32133028906348,45.048040459999996,I497,_,00130,10
I497__00110.10,10.307984746028978,45.048835780000005,I497,_,00110,10
I497__00100.10,10.303375983769008,45.05432218,I497,_,00100,10
I497__00090.10,10.295751381011158,45.05652653,I497,_,00090,10
I497__00070.10,10.342167030471327,45.06312485,I497,_,00070,10
I497__00040.10,10.297777599389795,45.064625234999994,I497,_,00040,10
I497__00030.10,10.29660048446216,45.066485740000005,I497,_,00030,10
I497__00030.100,10.291652735788436,45.05744079,I497,_,00030,100
I497__00170.100,10.312297645571245,45.04239823,I497,_,00170,100
I497__00160.100,10.300199622893825,45.03521187,I497,_,00160,100
I497__00150.100,10.326220561127514,45.045700890000006,I497,_,00150,100
