nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I540__0001.1,14.482437789938889,40.918490434999995,I540,_,0001,1
I540__00050.1,14.478302543225148,40.899014820000005,I540,_,00050,1
I540__00040.1,14.474838328114346,40.911836019999996,I540,_,00040,1
I540__00040.10,14.476061562732907,40.910884615,I540,_,00040,10
I540__00050.10,14.472906627090074,40.896592665,I540,_,00050,10
I540__00020.100,14.492233283078612,40.912724735,I540,_,00020,100
I540__00050.100,14.47567251491337,40.890273315,I540,_,00050,100
I540__00040.100,14.47082610227061,40.902538115,I540,_,00040,100
I540__00030.100,14.479096889209938,40.900018765,I540,_,00030,100
I540__00030.1000,14.48095066769728,40.90735047,I540,_,00030,1000
I540__00010.1001,14.485518649481293,40.916160585,I540,_,00010,1001
I540__00040.1001,14.469033464541887,40.901331635,I540,_,00040,1001
I540__00010.1002,14.48526453645048,40.91611917,I540,_,00010,1002
I540__00040.1002,14.468917507967959,40.901173355,I540,_,00040,1002
I540__00030.1002,14.480347261088667,40.906665765,I540,_,00030,1002
I540__00040.1003,14.472005958329524,40.898270645,I540,_,00040,1003
I540__00050.1003,14.471103286762878,40.890756825,I540,_,00050,1003
I540__0001.1004,14.48088914494655,40.915476255,I540,_,0001,1004
I540__00050.1004,14.471501140281365,40.890966635,I540,_,00050,1004
I540__00040.1004,14.47197410667026,40.898129525,I540,_,00040,1004
I540__00030.1004,14.479848849213184,40.906353965,I540,_,00030,1004
I540__0001.1005,14.480914736804461,40.91543878,I540,_,0001,1005
I540__00030.1006,14.479627708930165,40.906205625,I540,_,00030,1006
I540__00040.1006,14.471903625389835,40.89888486,I540,_,00040,1006
I540__0001.1007,14.480973704221825,40.915267029999995,I540,_,0001,1007
I540__00040.1007,14.47179988639807,40.89833294,I540,_,00040,1007
I540__0001.1008,14.481801445713025,40.91522574,I540,_,0001,1008
I540__00050.1008,14.470956602040562,40.89014179,I540,_,00050,1008
I540__00040.1008,14.472149896285654,40.89843938,I540,_,00040,1008
I540__00030.1008,14.479426300150116,40.90606998,I540,_,00030,1008
I540__00030.1009,14.47924451252531,40.906228850000005,I540,_,00030,1009
I540__00050.1009,14.47100036751529,40.890086405,I540,_,00050,1009
I540__00040.1009,14.472326800679692,40.8982495,I540,_,00040,1009
I540__00030.101,14.475371200570663,40.90527322,I540,_,00030,101
I540__00050.101,14.475618093764677,40.890162945,I540,_,00050,101
I540__00040.101,14.470346546404057,40.902456815,I540,_,00040,101
I540__0001.1010,14.481861039560197,40.915149445,I540,_,0001,1010
I540__00040.1010,14.472163720722222,40.898425965,I540,_,00040,1010
I540__00030.1010,14.479495030914787,40.906031784999996,I540,_,00030,1010
I540__00040.1011,14.47265690879621,40.89823566,I540,_,00040,1011
I540__00050.1011,14.471012431324127,40.889970285000004,I540,_,00050,1011
I540__0001.1012,14.481613607739856,40.915124135,I540,_,0001,1012
I540__00040.1012,14.472467711644061,40.898517569999996,I540,_,00040,1012
I540__00030.1012,14.479800158557886,40.906237335,I540,_,00030,1012
I540__0001.1013,14.481667939380111,40.915163469999996,I540,_,0001,1013
I540__00050.1013,14.474099793311252,40.889508570000004,I540,_,00050,1013
I540__00040.1013,14.472897059576036,40.898360205,I540,_,00040,1013
I540__00030.1014,14.480923550220634,40.906799375000006,I540,_,00030,1014
I540__00040.1014,14.472818094289472,40.898320145,I540,_,00040,1014
I540__0001.1015,14.490644808491012,40.917734455,I540,_,0001,1015
I540__00050.1015,14.472605374832021,40.89567004,I540,_,00050,1015
I540__00040.1015,14.473241092556545,40.907196455000005,I540,_,00040,1015
I540__0001.1016,14.490850323112785,40.91778377,I540,_,0001,1016
I540__00030.1016,14.481089647951311,40.906818295,I540,_,00030,1016
I540__00050.1017,14.471923886343204,40.895190495,I540,_,00050,1017
I540__0001.1018,14.489250751900261,40.917298880000004,I540,_,0001,1018
I540__00050.1018,14.472863015769107,40.890177429999994,I540,_,00050,1018
I540__00040.1018,14.471830442125238,40.9037086,I540,_,00040,1018
I540__00030.1018,14.480948444708769,40.90662366,I540,_,00030,1018
I540__0001.1019,14.489123929858398,40.91702747,I540,_,0001,1019
I540__00040.1019,14.47019598192399,40.90234703,I540,_,00040,1019
I540__00030.1019,14.481165520780193,40.906324385000005,I540,_,00030,1019
I540__0001.102,14.484422181658136,40.917557125,I540,_,0001,102
I540__00040.102,14.476110134319594,40.902767005,I540,_,00040,102
I540__00030.102,14.479004419228112,40.900039725,I540,_,00030,102
I540__00020.102,14.491824689059964,40.912166245,I540,_,00020,102
I540__0001.1020,14.489067528165881,40.91715919,I540,_,0001,1020
I540__00040.1020,14.468895795320368,40.9019258,I540,_,00040,1020
I540__00030.1020,14.480820586714298,40.906412415000005,I540,_,00030,1020
I540__00030.1021,14.481745979206757,40.90568462,I540,_,00030,1021
I540__00050.1021,14.474234034607111,40.891040535,I540,_,00050,1021
I540__00030.1022,14.480652319221017,40.906085985000004,I540,_,00030,1022
I540__00050.1022,14.472751030459111,40.89028449,I540,_,00050,1022
I540__00040.1022,14.476254297104916,40.90658795,I540,_,00040,1022
I540__0001.1023,14.488802661953335,40.91639123,I540,_,0001,1023
I540__00050.1023,14.473140192311586,40.890519330000004,I540,_,00050,1023
I540__00040.1023,14.47611151323942,40.906787035,I540,_,00040,1023
I540__00040.1024,14.475904606151207,40.907075195000004,I540,_,00040,1024
I540__00050.1025,14.474121983718462,40.891113675,I540,_,00050,1025
I540__00030.1026,14.480094293416137,40.90651277,I540,_,00030,1026
I540__00050.1026,14.476943042578043,40.90027285,I540,_,00050,1026
I540__0001.1027,14.48852253779081,40.91637277,I540,_,0001,1027
I540__00050.1027,14.476883022468613,40.900444480000004,I540,_,00050,1027
I540__00040.1027,14.476363176440803,40.90664785,I540,_,00040,1027
I540__00040.1028,14.476223408293794,40.906838300000004,I540,_,00040,1028
I540__00050.1028,14.476766532221546,40.90077516,I540,_,00050,1028
I540__0001.1029,14.489368525138564,40.91566844,I540,_,0001,1029
I540__00050.1029,14.476928411765282,40.900869145,I540,_,00050,1029
I540__00040.1029,14.476011798925388,40.90712498,I540,_,00040,1029
I540__00030.103,14.485588894493215,40.910333890000004,I540,_,00030,103
I540__00040.103,14.470420135489892,40.90234595,I540,_,00040,103
I540__0001.1030,14.489329707780595,40.915868055,I540,_,0001,1030
I540__00050.1030,14.477622393583026,40.900392415,I540,_,00050,1030
I540__00030.1030,14.478053956200807,40.902072239999995,I540,_,00030,1030
I540__0001.1031,14.49118433670114,40.916455645,I540,_,0001,1031
I540__00050.1031,14.477700002224157,40.90023031,I540,_,00050,1031
I540__00030.1031,14.47712076930318,40.902569725,I540,_,00030,1031
I540__0001.1032,14.491193025488556,40.916441745,I540,_,0001,1032
I540__00040.1032,14.476448087010343,40.90669194,I540,_,00040,1032
I540__00030.1032,14.477583002491695,40.902213235000005,I540,_,00030,1032
I540__00010.1033,14.486798785028402,40.91698755,I540,_,00010,1033
I540__00050.1033,14.478084379270044,40.894350215,I540,_,00050,1033
I540__00040.1033,14.476317294755608,40.906864075,I540,_,00040,1033
I540__00030.1034,14.47969381211992,40.906676865,I540,_,00030,1034
I540__00050.1034,14.469881983282932,40.892289545,I540,_,00050,1034
I540__00040.1034,14.476090866289997,40.907160649999994,I540,_,00040,1034
I540__00050.1035,14.482193489067264,40.888735565000005,I540,_,00050,1035
I540__0001.1036,14.492290663418022,40.91670405,I540,_,0001,1036
I540__00050.1036,14.482031843878314,40.888849035,I540,_,00050,1036
I540__00030.1036,14.479563860506989,40.907044825,I540,_,00030,1036
I540__0001.1037,14.492286720777125,40.91651179,I540,_,0001,1037
I540__00050.1037,14.48253930373344,40.88906994,I540,_,00050,1037
I540__00040.1037,14.476503909333935,40.90672165,I540,_,00040,1037
I540__00030.1037,14.479575692702182,40.90754399,I540,_,00030,1037
I540__00030.1038,14.477687120983816,40.908751390000006,I540,_,00030,1038
I540__00050.1038,14.482331940145029,40.889105935,I540,_,00050,1038
I540__00040.1038,14.476363529136243,40.90690195,I540,_,00040,1038
I540__00010.1039,14.480723801541227,40.92012752,I540,_,00010,1039
I540__00050.1039,14.477613725835283,40.893058515,I540,_,00050,1039
I540__00040.1039,14.476143769604436,40.907184459999996,I540,_,00040,1039
I540__00030.1039,14.478393910925458,40.908027285,I540,_,00030,1039
I540__00020.104,14.493223494914494,40.91179382,I540,_,00020,104
I540__00050.104,14.473247423629587,40.88979183,I540,_,00050,104
I540__00040.104,14.470160511323295,40.90239848,I540,_,00040,104
I540__00030.104,14.478853905180648,40.89999129,I540,_,00030,104
I540__00010.1040,14.482262365903331,40.918661565,I540,_,00010,1040
I540__00030.1040,14.480022852038854,40.904320170000005,I540,_,00030,1040
I540__00010.1041,14.479116633072803,40.91373129,I540,_,00010,1041
I540__00010.1042,14.479061335802822,40.913404295,I540,_,00010,1042
I540__00050.1042,14.48354272383487,40.88825747,I540,_,00050,1042
I540__00040.1042,14.476584207131301,40.906768135,I540,_,00040,1042
I540__00040.1043,14.476446420839672,40.90694003,I540,_,00040,1043
I540__00010.1044,14.479033622060623,40.913080595,I540,_,00010,1044
I540__00050.1044,14.470179791602863,40.891138389999995,I540,_,00050,1044
I540__00040.1044,14.476221596400851,40.907220885,I540,_,00040,1044
I540__00030.1044,14.48441133987157,40.910849944999995,I540,_,00030,1044
I540__00010.1045,14.479020580251738,40.91301256,I540,_,00010,1045
I540__00030.1045,14.485501288106244,40.90923739,I540,_,00030,1045
I540__00030.1046,14.485328488372607,40.90944054,I540,_,00030,1046
I540__00050.1046,14.470349027327796,40.89112127,I540,_,00050,1046
I540__00030.1047,14.486945268409682,40.90881236,I540,_,00030,1047
I540__00050.1047,14.472047033552801,40.889949345,I540,_,00050,1047
I540__00040.1047,14.469093618914979,40.903859685,I540,_,00040,1047
I540__00030.1048,14.4868846603688,40.908879549999995,I540,_,00030,1048
I540__00050.1048,14.47234310599454,40.890112115,I540,_,00050,1048
I540__00040.1048,14.468652384956156,40.90442212,I540,_,00040,1048
I540__00050.105,14.474780357128033,40.890028825,I540,_,00050,105
I540__00030.1050,14.478075377792116,40.90888929,I540,_,00030,1050
I540__00050.1050,14.47149956235238,40.89135947,I540,_,00050,1050
I540__00040.1050,14.470668307853892,40.90234889,I540,_,00040,1050
I540__00030.1051,14.477650560320214,40.90954424,I540,_,00030,1051
I540__00050.1051,14.469242165744213,40.892391155,I540,_,00050,1051
I540__00040.1051,14.469595656458285,40.903899519999996,I540,_,00040,1051
I540__00030.1053,14.481228704194777,40.90806847,I540,_,00030,1053
I540__00030.1054,14.486042420680246,40.909312035,I540,_,00030,1054
I540__00030.1055,14.486206714583513,40.90911914,I540,_,00030,1055
I540__00050.1056,14.466692172391024,40.896817014999996,I540,_,00050,1056
I540__00040.1057,14.473168460490196,40.906865499999995,I540,_,00040,1057
