nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I582__00010.1,9.071655826949069,39.605868904999994,I582,_,00010,1
I582__00180.1,9.101091317708638,39.554755529999994,I582,_,00180,1
I582__00170.1,9.08579563237586,39.553895145,I582,_,00170,1
I582__00160.1,9.104083023488542,39.564442665,I582,_,00160,1
I582__0013.1,9.100186318784154,39.56888756,I582,_,0013,1
I582__00120.1,9.117691572820426,39.58392279,I582,_,00120,1
I582__00110.1,9.099653414635604,39.587833579999995,I582,_,00110,1
I582__00100.1,9.087819935981845,39.580592315000004,I582,_,00100,1
I582__00090.1,9.080181781268331,39.58924185,I582,_,00090,1
I582__00080.1,9.1262112369491,39.59638993,I582,_,00080,1
I582__00070.1,9.111725322810376,39.593639229999994,I582,_,00070,1
I582__00060.1,9.084563664464454,39.59541566,I582,_,00060,1
I582__00050.1,9.111587298122206,39.602352780000004,I582,_,00050,1
I582__00040.1,9.104819653086938,39.600612115,I582,_,00040,1
I582__00030.1,9.087308681539602,39.59985069,I582,_,00030,1
I582__00020.1,9.075569708566729,39.599380319999995,I582,_,00020,1
I582__00010.10,9.07745709951562,39.602627825,I582,_,00010,10
I582__00170.10,9.089891432524325,39.553096115,I582,_,00170,10
I582__00160.10,9.102851262351123,39.558413005,I582,_,00160,10
I582__00150.10,9.090571946814038,39.56216105,I582,_,00150,10
I582__00140.10,9.118063594002066,39.574613604999996,I582,_,00140,10
I582__00110.10,9.10823327217977,39.58573206,I582,_,00110,10
I582__00100.10,9.09442902849422,39.578901015,I582,_,00100,10
I582__00090.10,9.089754081696242,39.587835655,I582,_,00090,10
I582__00070.10,9.111529831575446,39.59205652,I582,_,00070,10
I582__00060.10,9.09989681304043,39.59423973,I582,_,00060,10
I582__00050.10,9.11490051983123,39.599811360000004,I582,_,00050,10
I582__00040.10,9.105259462672553,39.599754114999996,I582,_,00040,10
I582__00030.10,9.095043304200146,39.59890665,I582,_,00030,10
