nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I592__00010.1,12.038573089669438,46.47949154,I592,_,00010,1
I592__00310.1,12.0941285816495,46.435461775,I592,_,00310,1
I592__00300.1,12.05623636395306,46.436861085000004,I592,_,00300,1
I592__00290.1,12.055208741840058,46.425468030000005,I592,_,00290,1
I592__00280.1,12.042705152263434,46.43066345,I592,_,00280,1
I592__00270.1,12.067836341408919,46.4367764,I592,_,00270,1
I592__00260.1,12.075634385380482,46.438918619999995,I592,_,00260,1
I592__00250.1,12.073625673553718,46.44067793,I592,_,00250,1
I592__00230.1,12.05931324188106,46.44525565,I592,_,00230,1
I592__00220.1,12.048012120581461,46.443183725,I592,_,00220,1
I592__00210.1,12.027187721405376,46.445044875,I592,_,00210,1
I592__00200.1,12.107274700402037,46.45240385,I592,_,00200,1
I592__00190.1,12.084711448851568,46.454312385,I592,_,00190,1
I592__00180.1,12.067828192309907,46.451702420000004,I592,_,00180,1
I592__00170.1,12.059996813528759,46.44631801,I592,_,00170,1
I592__00160.1,12.05339459835972,46.447996435,I592,_,00160,1
I592__00150.1,12.059769025930027,46.451981175,I592,_,00150,1
I592__00140.1,12.045692255912213,46.44743371,I592,_,00140,1
I592__00130.1,12.04397944646928,46.4513631,I592,_,00130,1
I592__00120.1,12.039606482249773,46.455416695,I592,_,00120,1
I592__00110.1,12.036859213503792,46.44696914,I592,_,00110,1
I592__00100.1,12.0382386035077,46.452722645,I592,_,00100,1
I592__00090.1,12.034778089903273,46.446716835000004,I592,_,00090,1
I592__00080.1,12.028054466251934,46.449048434999995,I592,_,00080,1
I592__00070.1,12.032597431250183,46.454374655,I592,_,00070,1
I592__00060.1,12.033895657616835,46.457798325,I592,_,00060,1
I592__00050.1,12.07271873545761,46.466400539999995,I592,_,00050,1
I592__00040.1,12.058030277500453,46.465623910000005,I592,_,00040,1
I592__00030.1,12.030858051060266,46.468201565,I592,_,00030,1
I592__00020.1,12.058279138256843,46.47705518,I592,_,00020,1
I592__00010.10,12.040734781720477,46.479111765,I592,_,00010,10
I592__00310.10,12.104767348338122,46.431761484999996,I592,_,00310,10
I592__00300.10,12.068836433770763,46.43235774,I592,_,00300,10
I592__00290.10,12.055827957414222,46.424914535,I592,_,00290,10
I592__00280.10,12.046858283179176,46.429414475,I592,_,00280,10
I592__00270.10,12.069025257646492,46.435604585,I592,_,00270,10
I592__00260.10,12.07773703372282,46.43846624,I592,_,00260,10
I592__00250.10,12.076301885775052,46.439690255,I592,_,00250,10
I592__00240.10,12.065132435181383,46.442074275,I592,_,00240,10
I592__00230.10,12.056950781512803,46.441434775,I592,_,00230,10
I592__00220.10,12.040747396428012,46.43746261,I592,_,00220,10
I592__00210.10,12.029854623291673,46.43433991,I592,_,00210,10
I592__00200.10,12.115297006683473,46.448662490000004,I592,_,00200,10
I592__00190.10,12.10031911086957,46.456333915,I592,_,00190,10
I592__00180.10,12.078631864242057,46.44973467,I592,_,00180,10
I592__00170.10,12.060339153469057,46.444464839999995,I592,_,00170,10
I592__00160.10,12.05365913882963,46.447745225,I592,_,00160,10
I592__00150.10,12.059248548138747,46.451659635,I592,_,00150,10
I592__00140.10,12.047669229079297,46.44678315,I592,_,00140,10
I592__00130.10,12.044802625982602,46.45032021,I592,_,00130,10
I592__00120.10,12.041018696736284,46.454547865,I592,_,00120,10
I592__00110.10,12.0383521498646,46.44679433,I592,_,00110,10
I592__00100.10,12.039721393758615,46.45250047,I592,_,00100,10
I592__00080.10,12.030938554968351,46.449861,I592,_,00080,10
I592__00070.10,12.03551985664927,46.4537666,I592,_,00070,10
I592__00060.10,12.036040077079807,46.45789915,I592,_,00060,10
I592__00050.10,12.06730073682844,46.45954983,I592,_,00050,10
I592__00040.10,12.053078634846063,46.460478789999996,I592,_,00040,10
I592__00030.10,12.03136588746305,46.467342865,I592,_,00030,10
I592__00020.10,12.045148183888616,46.477406110000004,I592,_,00020,10
I592__00030.100,12.035451965126448,46.46043175,I592,_,00030,100
I592__00280.100,12.050791866941601,46.42381373,I592,_,00280,100
I592__00270.100,12.074138971875538,46.434992315,I592,_,00270,100
I592__00260.100,12.070286777881545,46.43639083,I592,_,00260,100
I592__00250.100,12.06749908654503,46.43826644,I592,_,00250,100
I592__00240.100,12.065986109918303,46.439377555,I592,_,00240,100
I592__00230.100,12.064944170969092,46.437845620000004,I592,_,00230,100
I592__00170.100,12.061678709200734,46.443935135000004,I592,_,00170,100
I592__00160.100,12.055524003477062,46.446124755,I592,_,00160,100
I592__00150.100,12.05948985667529,46.449748225,I592,_,00150,100
I592__00140.100,12.052723038207018,46.44664077,I592,_,00140,100
I592__00130.100,12.044930234855801,46.4497262,I592,_,00130,100
I592__00120.100,12.042318261778368,46.453052265,I592,_,00120,100
I592__00110.100,12.041421900016994,46.44395256,I592,_,00110,100
I592__00100.100,12.039711435665723,46.451383515,I592,_,00100,100
I592__00070.100,12.037745844808466,46.45237592,I592,_,00070,100
I592__00030.101,12.033778074716764,46.459892155,I592,_,00030,101
I592__00280.101,12.05195523266961,46.429418115000004,I592,_,00280,101
I592__00270.101,12.074615205802228,46.43480701,I592,_,00270,101
I592__00260.101,12.070022781318176,46.436365925000004,I592,_,00260,101
I592__00240.101,12.065911039244888,46.439316495,I592,_,00240,101
I592__00230.101,12.060049613141937,46.43878231,I592,_,00230,101
I592__00160.101,12.05753809734242,46.446078535,I592,_,00160,101
I592__00150.101,12.054800409129658,46.44999387,I592,_,00150,101
I592__00140.101,12.052905203438847,46.446679925,I592,_,00140,101
I592__00120.101,12.042624964235966,46.45310826,I592,_,00120,101
I592__00110.101,12.041712150588737,46.443884749999995,I592,_,00110,101
I592__00080.101,12.0327855489059,46.44887219,I592,_,00080,101
I592__00070.101,12.037599347429541,46.45235373,I592,_,00070,101
I592__00060.101,12.034402814926006,46.45540838,I592,_,00060,101
I592__00030.102,12.034349061859803,46.459905660000004,I592,_,00030,102
I592__00280.102,12.051856943591783,46.429076699999996,I592,_,00280,102
I592__00270.102,12.079741599103635,46.435459155000004,I592,_,00270,102
I592__00260.102,12.070371209174013,46.43634682,I592,_,00260,102
I592__00240.102,12.065945248713433,46.43915754,I592,_,00240,102
I592__00230.102,12.058406223128781,46.437352215000004,I592,_,00230,102
I592__00160.102,12.058114790019498,46.446092035,I592,_,00160,102
I592__00150.102,12.05552162285942,46.450119945,I592,_,00150,102
I592__00140.102,12.053133578714672,46.44664105,I592,_,00140,102
I592__00130.102,12.044903806539526,46.44969944,I592,_,00130,102
I592__00120.102,12.042667612472108,46.452809375,I592,_,00120,102
I592__00110.102,12.041952599284517,46.44365545,I592,_,00110,102
I592__00070.102,12.03769355764323,46.452322975,I592,_,00070,102
I592__00060.102,12.034575352629396,46.45545387,I592,_,00060,102
I592__00030.103,12.036789473517347,46.460704925,I592,_,00030,103
I592__00270.103,12.079526256170945,46.435271225,I592,_,00270,103
I592__00260.103,12.070574495716395,46.436361829999996,I592,_,00260,103
I592__00250.103,12.069023276863415,46.437976750000004,I592,_,00250,103
I592__00230.103,12.058870982576547,46.43747056,I592,_,00230,103
I592__00160.103,12.057506765928247,46.445727145,I592,_,00160,103
I592__00150.103,12.055925291797301,46.450257915,I592,_,00150,103
I592__00120.103,12.042853056760421,46.452939895,I592,_,00120,103
I592__00110.103,12.041326939063275,46.442113355000004,I592,_,00110,103
I592__00100.103,12.039477391292342,46.451152175,I592,_,00100,103
I592__00080.103,12.032794024927716,46.448734455,I592,_,00080,103
I592__00070.103,12.037758918889303,46.45231052,I592,_,00070,103
I592__00060.103,12.034720305660997,46.454777379999996,I592,_,00060,103
I592__00030.104,12.037765868915692,46.46094038,I592,_,00030,104
I592__00280.104,12.05131533569782,46.430215625,I592,_,00280,104
I592__00260.104,12.070756550834453,46.436375075,I592,_,00260,104
I592__00250.104,12.068726673367298,46.43785201,I592,_,00250,104
I592__00230.104,12.059479518891077,46.437367255,I592,_,00230,104
I592__00170.104,12.062059293681095,46.44409263,I592,_,00170,104
I592__00150.104,12.055957647745824,46.450317444999996,I592,_,00150,104
I592__00120.104,12.04303318104808,46.45290817,I592,_,00120,104
I592__00110.104,12.042199985785304,46.443220305,I592,_,00110,104
I592__00070.104,12.038055595101227,46.452269619999996,I592,_,00070,104
I592__00060.104,12.035054191179597,46.454984665,I592,_,00060,104
I592__00030.105,12.038879666405736,46.461270995,I592,_,00030,105
I592__00280.105,12.048711701694742,46.4287886,I592,_,00280,105
I592__00270.105,12.067257364132974,46.436258115,I592,_,00270,105
I592__00250.105,12.06725651397992,46.438267595,I592,_,00250,105
I592__00230.105,12.060467900274343,46.43727016,I592,_,00230,105
I592__00170.105,12.061710823624416,46.444303125000005,I592,_,00170,105
I592__00160.105,12.05529696049253,46.44557474,I592,_,00160,105
I592__00150.105,12.056765475682328,46.450180845000006,I592,_,00150,105
I592__00140.105,12.042879432977546,46.44587771,I592,_,00140,105
I592__00120.105,12.043441467610727,46.453220630000004,I592,_,00120,105
I592__00110.105,12.042461785846044,46.44308014,I592,_,00110,105
I592__00080.105,12.032852954273002,46.4489322,I592,_,00080,105
I592__00070.105,12.030697309975961,46.45252795,I592,_,00070,105
I592__00060.105,12.03522669089153,46.4551558,I592,_,00060,105
I592__00030.106,12.036746783342318,46.460538220000004,I592,_,00030,106
I592__00280.106,12.048727252195498,46.428406995,I592,_,00280,106
I592__00270.106,12.06764754216842,46.436469735,I592,_,00270,106
I592__00250.106,12.06779742359413,46.438018685,I592,_,00250,106
I592__00240.106,12.063407694359938,46.44351839,I592,_,00240,106
I592__00230.106,12.061365356882984,46.437164165,I592,_,00230,106
I592__00170.106,12.061555713945689,46.44454501,I592,_,00170,106
I592__00150.106,12.057148428479241,46.450173145,I592,_,00150,106
I592__00140.106,12.043002042424275,46.44612868,I592,_,00140,106
I592__00120.106,12.043338211381393,46.45267766,I592,_,00120,106
I592__00110.106,12.04279137767687,46.443906425,I592,_,00110,106
I592__00070.106,12.030732027906476,46.45220588,I592,_,00070,106
I592__00060.106,12.035196867122217,46.455403270000005,I592,_,00060,106
I592__00030.107,12.039033756020043,46.46109461,I592,_,00030,107
I592__00280.107,12.049531201642097,46.42939394,I592,_,00280,107
I592__00270.107,12.067585977306148,46.436512345,I592,_,00270,107
I592__00250.107,12.067203860203369,46.43819044999999,I592,_,00250,107
I592__00230.107,12.062715662470676,46.43743246,I592,_,00230,107
I592__00170.107,12.06190486986119,46.444661655000004,I592,_,00170,107
I592__00150.107,12.057500003463158,46.45018744,I592,_,00150,107
I592__00140.107,12.043487113481135,46.44585892,I592,_,00140,107
I592__00130.107,12.045733193804942,46.449817595,I592,_,00130,107
I592__00120.107,12.043649546695288,46.452483459999996,I592,_,00120,107
I592__00110.107,12.043196776972811,46.44306682,I592,_,00110,107
I592__00100.107,12.039451521431804,46.45095378,I592,_,00100,107
I592__00080.107,12.032993701919947,46.44899289,I592,_,00080,107
I592__00070.107,12.031556736115892,46.452162404999996,I592,_,00070,107
I592__00030.108,12.036996622986585,46.46042828,I592,_,00030,108
I592__00280.108,12.049649461280922,46.428654050000006,I592,_,00280,108
I592__00270.108,12.067624189792367,46.436493325,I592,_,00270,108
I592__00250.108,12.067088904269976,46.438166705,I592,_,00250,108
I592__00240.108,12.065243664582049,46.44174479,I592,_,00240,108
I592__00230.108,12.064178057137664,46.437285645,I592,_,00230,108
I592__00150.108,12.05680433592807,46.450111715000006,I592,_,00150,108
I592__00140.108,12.044456058477936,46.4461193,I592,_,00140,108
I592__00130.108,12.046024481183185,46.449932895,I592,_,00130,108
I592__00120.108,12.043998578723706,46.45236386,I592,_,00120,108
