nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I607__00010.1,10.177841708754048,45.26774933,I607,_,00010,1
I607__00140.1,10.221541104171456,45.238149595,I607,_,00140,1
I607__00130.1,10.194866657277668,45.23581712,I607,_,00130,1
I607__00120.1,10.203464309349947,45.245901669999995,I607,_,00120,1
I607__00110.1,10.192650201313738,45.246538675,I607,_,00110,1
I607__00080.1,10.170176839537394,45.250598554999996,I607,_,00080,1
I607__00070.1,10.152830353216823,45.246321464999994,I607,_,00070,1
I607__00050.1,10.201264030014425,45.253460765,I607,_,00050,1
I607__00040.1,10.18188707984881,45.25251848,I607,_,00040,1
I607__00030.1,10.18920331444481,45.26225171,I607,_,00030,1
I607__00020.1,10.165970080184426,45.259220604999996,I607,_,00020,1
I607__00010.10,10.175661180005125,45.26442339,I607,_,00010,10
I607__00140.10,10.21847075913183,45.237625495,I607,_,00140,10
I607__00130.10,10.199926310716194,45.234898115,I607,_,00130,10
I607__00120.10,10.206870650888646,45.244071175,I607,_,00120,10
I607__00110.10,10.198319254337555,45.245260545,I607,_,00110,10
I607__00100.10,10.181800223113127,45.241126025,I607,_,00100,10
I607__00090.10,10.176190469962616,45.244269595000006,I607,_,00090,10
I607__00070.10,10.160017421018024,45.245123289999995,I607,_,00070,10
I607__00060.10,10.15659724053224,45.2500612,I607,_,00060,10
I607__00050.10,10.203950471360983,45.25099345,I607,_,00050,10
I607__00040.10,10.185381144946867,45.251500295,I607,_,00040,10
I607__00030.10,10.183794721593802,45.257983440000004,I607,_,00030,10
I607__00020.10,10.167672234820134,45.256222105,I607,_,00020,10
I607__00020.100,10.178551649157047,45.253969964999996,I607,_,00020,100
I607__00140.100,10.216196233050878,45.229708375,I607,_,00140,100
I607__00130.100,10.205244669687517,45.23641644,I607,_,00130,100
I607__00120.100,10.205281303545497,45.24048097,I607,_,00120,100
I607__00110.100,10.197999081336066,45.24142095,I607,_,00110,100
I607__00100.100,10.187762132181962,45.24219008,I607,_,00100,100
I607__00090.100,10.177962873339437,45.24319276,I607,_,00090,100
I607__00070.100,10.16585741122806,45.242873185,I607,_,00070,100
I607__00060.100,10.164656232530373,45.24896512,I607,_,00060,100
I607__00040.100,10.192361631259235,45.248425335,I607,_,00040,100
I607__00060.101,10.165566156263086,45.24917953,I607,_,00060,101
I607__00140.101,10.21655298250743,45.230221225,I607,_,00140,101
I607__00120.101,10.204406003522742,45.23996135,I607,_,00120,101
I607__00110.101,10.198175668117486,45.241626159999996,I607,_,00110,101
I607__00100.101,10.188408892805272,45.241206905,I607,_,00100,101
I607__00080.101,10.172918283909162,45.24658531,I607,_,00080,101
I607__00070.101,10.165760559351213,45.242450745,I607,_,00070,101
I607__00020.102,10.176373776968099,45.252941754999995,I607,_,00020,102
I607__00140.102,10.216621807913393,45.229960365,I607,_,00140,102
I607__00120.102,10.204727062798359,45.24006353,I607,_,00120,102
I607__00110.102,10.198357878627718,45.241833119999995,I607,_,00110,102
I607__00100.102,10.18577256450519,45.24106175,I607,_,00100,102
I607__00080.102,10.17310594913215,45.243943945,I607,_,00080,102
I607__00070.102,10.153230486228885,45.24633514,I607,_,00070,102
I607__00060.102,10.167315079104934,45.249569435,I607,_,00060,102
I607__00020.103,10.179905795551127,45.257472145,I607,_,00020,103
I607__00140.103,10.216723806132332,45.229756135,I607,_,00140,103
I607__00130.103,10.19829927309576,45.231040005,I607,_,00130,103
I607__00110.103,10.19912289566062,45.241853649999996,I607,_,00110,103
I607__00100.103,10.187161257130342,45.239854660000006,I607,_,00100,103
I607__00090.103,10.177690405577732,45.242914855,I607,_,00090,103
I607__00080.103,10.173224455307732,45.243935925,I607,_,00080,103
I607__00070.103,10.166269967760416,45.24239978,I607,_,00070,103
I607__00060.103,10.167296891130238,45.249200305,I607,_,00060,103
I607__00040.103,10.192717369042128,45.247258215,I607,_,00040,103
I607__00040.104,10.195530416570577,45.24877228,I607,_,00040,104
I607__00140.104,10.214165481017357,45.22876115,I607,_,00140,104
I607__00130.104,10.200948417964135,45.229305190000005,I607,_,00130,104
I607__00120.104,10.204940520032588,45.240062425,I607,_,00120,104
I607__00110.104,10.199907880195367,45.241854544999995,I607,_,00110,104
I607__00100.104,10.187437271030277,45.239662655000004,I607,_,00100,104
I607__00080.104,10.173193721171362,45.24380187,I607,_,00080,104
I607__00060.104,10.1686687114181,45.24959102,I607,_,00060,104
I607__00040.105,10.198871889805595,45.248322204999994,I607,_,00040,105
I607__00140.105,10.21404208002956,45.227657005,I607,_,00140,105
I607__00130.105,10.199037325728751,45.228938835,I607,_,00130,105
I607__00120.105,10.205045073377338,45.239843985,I607,_,00120,105
I607__00110.105,10.201259321337913,45.242110835,I607,_,00110,105
I607__00100.105,10.18657415974614,45.239653184999995,I607,_,00100,105
I607__00080.105,10.173339800561468,45.24391542,I607,_,00080,105
I607__00070.105,10.166229278864126,45.24260097,I607,_,00070,105
I607__00060.105,10.168979202941774,45.249335555,I607,_,00060,105
I607__00020.106,10.16850358784275,45.256843615,I607,_,00020,106
I607__00140.106,10.214322979168134,45.228450179999996,I607,_,00140,106
I607__00130.106,10.21182768407504,45.23696474,I607,_,00130,106
I607__00110.106,10.194651573386468,45.241852495,I607,_,00110,106
I607__00100.106,10.187000111952587,45.239797535,I607,_,00100,106
I607__00090.106,10.177654358636463,45.242798545,I607,_,00090,106
I607__00080.106,10.173273672139043,45.243883845,I607,_,00080,106
I607__00070.106,10.167399450229523,45.24248431,I607,_,00070,106
I607__00060.106,10.168887915959527,45.24899141,I607,_,00060,106
I607__00040.106,10.19026799731406,45.248383090000004,I607,_,00040,106
I607__00060.107,10.1697202715784,45.24911922,I607,_,00060,107
I607__00140.107,10.214162058596655,45.227600155000005,I607,_,00140,107
I607__00130.107,10.212253376574061,45.23693681,I607,_,00130,107
I607__00110.107,10.1947259514974,45.240791355,I607,_,00110,107
I607__00100.107,10.186713650853623,45.239140215,I607,_,00100,107
I607__00080.107,10.173461296766781,45.243885845,I607,_,00080,107
I607__00070.107,10.166923750506292,45.242324530000005,I607,_,00070,107
I607__00020.108,10.166368967033875,45.256793365,I607,_,00020,108
I607__00140.108,10.214483530406948,45.228574415,I607,_,00140,108
I607__00130.108,10.212816334700758,45.236763714999995,I607,_,00130,108
I607__00110.108,10.195106662639674,45.240825005,I607,_,00110,108
