nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I653__00010.1,13.005481058024376,43.47845089,I653,_,00010,1
I653__00460.1,13.06435040406227,43.395416780000005,I653,_,00460,1
I653__00450.1,13.065777450656919,43.399203735,I653,_,00450,1
I653__00440.1,13.057215731351352,43.401385239999996,I653,_,00440,1
I653__00430.1,13.076106799145748,43.40725465,I653,_,00430,1
I653__00420.1,13.063431112977472,43.40201535,I653,_,00420,1
I653__00410.1,13.062090644658245,43.41470754,I653,_,00410,1
I653__00400.1,13.060089751540588,43.42103526,I653,_,00400,1
I653__00390.1,13.075952568369084,43.42587012,I653,_,00390,1
I653__00380.1,13.055213546135692,43.426909045,I653,_,00380,1
I653__00370.1,13.020340401308122,43.427870725000005,I653,_,00370,1
I653__00340.1,13.052703636440064,43.433634345,I653,_,00340,1
I653__00330.1,13.045414736752598,43.437203355,I653,_,00330,1
I653__00320.1,13.031901632019657,43.439968035,I653,_,00320,1
I653__00300.1,13.003002660550983,43.434342085,I653,_,00300,1
I653__00290.1,12.98572025301041,43.433906640000004,I653,_,00290,1
I653__00270.1,13.075696129145879,43.44004371,I653,_,00270,1
I653__00260.1,13.051565326665386,43.440796285000005,I653,_,00260,1
I653__00250.1,13.03272123711709,43.445253585,I653,_,00250,1
I653__00240.1,13.015750019889971,43.444019295000004,I653,_,00240,1
I653__00230.1,13.001482238495512,43.449235115,I653,_,00230,1
I653__00220.1,12.994627614810913,43.442491575,I653,_,00220,1
I653__00200.1,13.066174544207515,43.447248825,I653,_,00200,1
I653__00190.1,13.059244847032211,43.44271354,I653,_,00190,1
I653__00170.1,13.044366729187736,43.454416120000005,I653,_,00170,1
I653__00160.1,13.021226379437286,43.45100492,I653,_,00160,1
I653__00150.1,13.01360289579775,43.448981090000004,I653,_,00150,1
I653__00140.1,13.011496384863003,43.457237289999995,I653,_,00140,1
I653__00130.1,12.999164446314948,43.464439355,I653,_,00130,1
I653__00120.1,12.990682263503796,43.46070773,I653,_,00120,1
I653__00110.1,12.987919301847196,43.459178879999996,I653,_,00110,1
I653__00100.1,13.056122680972603,43.449743444999996,I653,_,00100,1
I653__00090.1,13.046884910659987,43.45584327500001,I653,_,00090,1
I653__00080.1,13.036187386045677,43.464884194999996,I653,_,00080,1
I653__00070.1,13.021362951113836,43.462247765,I653,_,00070,1
I653__00060.1,13.017967878750069,43.467260525,I653,_,00060,1
I653__00050.1,13.005564914379896,43.466854299999994,I653,_,00050,1
I653__00040.1,12.991566833423928,43.4727168,I653,_,00040,1
I653__00030.1,13.019735563496386,43.47224804,I653,_,00030,1
I653__00020.1,13.006287554341343,43.479914745,I653,_,00020,1
I653__00010.10,13.003187685180006,43.476603895,I653,_,00010,10
I653__00460.10,13.066889971217055,43.395429295,I653,_,00460,10
I653__00450.10,13.071461903062968,43.397973765,I653,_,00450,10
I653__00440.10,13.062681193567574,43.40157279,I653,_,00440,10
I653__00430.10,13.07788527568416,43.405571845,I653,_,00430,10
I653__00420.10,13.06370495205012,43.40197294,I653,_,00420,10
I653__00410.10,13.063878939585909,43.413128465,I653,_,00410,10
I653__00400.10,13.060238411025168,43.42082844,I653,_,00400,10
I653__00390.10,13.074767353099697,43.424899894999996,I653,_,00390,10
I653__00380.10,13.058895542179826,43.425659745000004,I653,_,00380,10
I653__00370.10,13.023785295935872,43.42634104,I653,_,00370,10
I653__00360.10,13.086523482296775,43.434716305,I653,_,00360,10
I653__00350.10,13.0694972910292,43.432349255,I653,_,00350,10
I653__00340.10,13.052663361832343,43.43192469,I653,_,00340,10
I653__00330.10,13.048566423239524,43.436375905,I653,_,00330,10
I653__00320.10,13.032692302136214,43.436085685,I653,_,00320,10
I653__00300.10,13.006603230871276,43.43441391,I653,_,00300,10
I653__00290.10,12.987506611397624,43.42853968,I653,_,00290,10
I653__00280.10,13.084989025877768,43.444970850000004,I653,_,00280,10
I653__00260.10,13.05472548572947,43.44191412,I653,_,00260,10
I653__00250.10,13.035944793014902,43.444088140000005,I653,_,00250,10
I653__00240.10,13.014474707999014,43.443153460000005,I653,_,00240,10
I653__00230.10,13.007945923010901,43.44744576,I653,_,00230,10
I653__00220.10,12.99105072179983,43.436480215,I653,_,00220,10
I653__00210.10,12.9938246423219,43.44523753,I653,_,00210,10
I653__00200.10,13.067723778971457,43.447472239999996,I653,_,00200,10
I653__00190.10,13.060604122844168,43.44369865,I653,_,00190,10
I653__00180.10,13.048663970314415,43.452886285000005,I653,_,00180,10
I653__00170.10,13.046844718237928,43.452815715,I653,_,00170,10
I653__00160.10,13.025560305117972,43.45032712,I653,_,00160,10
