nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I787__00020.1,11.85315043299905,44.385305565,I787,_,00020,1
I787__00280.1,11.83212508794332,44.3391492,I787,_,00280,1
I787__00250.1,11.864206320357322,44.351980095,I787,_,00250,1
I787__00240.1,11.840797684189285,44.352080445,I787,_,00240,1
I787__00220.1,11.824243511952464,44.352866594999995,I787,_,00220,1
I787__00200.1,11.80114347625139,44.359668745,I787,_,00200,1
I787__00090.1,11.853466505757144,44.368781690000006,I787,_,00090,1
I787__00080.1,11.842639441118102,44.371593595,I787,_,00080,1
I787__00010.10,11.845271476913803,44.374844955,I787,_,00010,10
I787__00300.10,11.842534887459912,44.32595608,I787,_,00300,10
I787__00240.10,11.840264508834057,44.34802564,I787,_,00240,10
I787__00210.10,11.81326699852163,44.350211155,I787,_,00210,10
I787__00190.10,11.871517321237015,44.356076035,I787,_,00190,10
I787__0018.10,11.84465958685746,44.356262595,I787,_,0018,10
I787__00170.10,11.840823201823316,44.360922095,I787,_,00170,10
I787__00130.10,11.800353431975534,44.365416855,I787,_,00130,10
I787__00100.10,11.854164351253905,44.35646073,I787,_,00100,10
I787__00090.10,11.857258637671766,44.367038699999995,I787,_,00090,10
I787__00080.10,11.839660390967357,44.367508,I787,_,00080,10
I787__00040.10,11.80667436721415,44.37738761,I787,_,00040,10
I787__00020.10,11.852211117527439,44.382637775,I787,_,00020,10
I787__00020.100,11.857340375978389,44.374396090000005,I787,_,00020,100
I787__00290.100,11.84850623481379,44.333557835,I787,_,00290,100
I787__00280.100,11.833661215155761,44.33701138,I787,_,00280,100
I787__00270.100,11.846567356266592,44.339517779999994,I787,_,00270,100
I787__00260.100,11.834103380057474,44.339791274999996,I787,_,00260,100
I787__00250.100,11.859495179368693,44.349018425,I787,_,00250,100
I787__00220.100,11.820177489795213,44.34418203,I787,_,00220,100
I787__00200.100,11.800744500046196,44.35892856,I787,_,00200,100
I787__00140.100,11.815244313155592,44.369179169999995,I787,_,00140,100
I787__00130.100,11.805500111990279,44.36347981,I787,_,00130,100
I787__00090.100,11.848627114640747,44.35990724,I787,_,00090,100
I787__0008.100,11.845650936986608,44.360541275,I787,_,0008,100
I787__00060.100,11.829806567527175,44.36959538,I787,_,00060,100
I787__00040.100,11.810200964379757,44.37648832,I787,_,00040,100
I787__00180.1001,11.856031845857597,44.350790645000004,I787,_,00180,1001
I787__0018.1004,11.84402041612005,44.357655890000004,I787,_,0018,1004
I787__00180.1005,11.840908119104627,44.354514095,I787,_,00180,1005
I787__00180.1006,11.852907326616656,44.350218475,I787,_,00180,1006
I787__00180.1007,11.852593779684742,44.352153405,I787,_,00180,1007
I787__00180.1008,11.852407635134561,44.352232105,I787,_,00180,1008
I787__00020.101,11.85356439806745,44.37314501,I787,_,00020,101
I787__00290.101,11.850589017794421,44.337460395,I787,_,00290,101
I787__00280.101,11.833626225846881,44.337002395,I787,_,00280,101
I787__00240.101,11.858442586414025,44.34858626,I787,_,00240,101
I787__00210.101,11.813167041150525,44.353168069999995,I787,_,00210,101
I787__00140.101,11.815644587748373,44.369008835,I787,_,00140,101
I787__00110.101,11.869885882430879,44.36328029,I787,_,00110,101
I787__00100.101,11.853189505806126,44.35811312,I787,_,00100,101
I787__00090.101,11.84904688331519,44.359718470000004,I787,_,00090,101
I787__0008.101,11.845696224622227,44.36052035,I787,_,0008,101
I787__00070.101,11.8330046397971,44.36757318,I787,_,00070,101
I787__00050.101,11.815724087487641,44.372487465000006,I787,_,00050,101
I787__00040.101,11.81395324492854,44.375477745,I787,_,00040,101
I787__00030.101,11.858197623899024,44.37061309,I787,_,00030,101
I787__00180.1010,11.859610334443133,44.353330575,I787,_,00180,1010
I787__00180.1011,11.859193519182679,44.353418035000004,I787,_,00180,1011
I787__00180.1012,11.859011527967887,44.351969875,I787,_,00180,1012
I787__00180.1013,11.857919455836806,44.351769605,I787,_,00180,1013
I787__00180.1014,11.8568005660239,44.35188978,I787,_,00180,1014
I787__00180.1015,11.85637624230759,44.35141813,I787,_,00180,1015
I787__00180.1016,11.857201148283885,44.35094723,I787,_,00180,1016
I787__00180.1017,11.857194850381578,44.351081865,I787,_,00180,1017
I787__00180.1018,11.85057112060645,44.354823985,I787,_,00180,1018
I787__0018.1019,11.84545431156111,44.358131935,I787,_,0018,1019
I787__00010.102,11.844343675928599,44.375432135,I787,_,00010,102
I787__00290.102,11.854208274484774,44.334138890000006,I787,_,00290,102
I787__00280.102,11.828703572770301,44.335840880000006,I787,_,00280,102
I787__00270.102,11.85031440351921,44.34219544,I787,_,00270,102
I787__00200.102,11.801569211484555,44.35852831,I787,_,00200,102
I787__00190.102,11.866382411927216,44.35462042,I787,_,00190,102
I787__00170.102,11.838890562762224,44.361534075,I787,_,00170,102
I787__00140.102,11.815191086340814,44.36673904,I787,_,00140,102
I787__00130.102,11.799767595004049,44.364799335,I787,_,00130,102
I787__00120.102,11.807612947430302,44.37381657,I787,_,00120,102
I787__00090.102,11.848855770665631,44.35979682,I787,_,00090,102
I787__0008.102,11.845729678226592,44.36048005,I787,_,0008,102
I787__00060.102,11.831629356545676,44.378287310000005,I787,_,00060,102
I787__00050.102,11.816085175118289,44.37239109,I787,_,00050,102
I787__00040.102,11.80630496841892,44.374266495,I787,_,00040,102
I787__00030.102,11.856239522951277,44.370732724999996,I787,_,00030,102
I787__00020.102,11.856419204471948,44.372890725,I787,_,00020,102
I787__00180.1020,11.851775921471464,44.3521985,I787,_,00180,1020
I787__00180.1021,11.851427505464093,44.352218325,I787,_,00180,1021
I787__00180.1022,11.85158503467428,44.352414155000005,I787,_,00180,1022
I787__00180.1023,11.851958400780465,44.35242572,I787,_,00180,1023
I787__00180.1024,11.851685968554698,44.352540155,I787,_,00180,1024
I787__00180.1025,11.844175872791176,44.353813745,I787,_,00180,1025
I787__00180.1026,11.844275232981694,44.353766535,I787,_,00180,1026
I787__00180.1027,11.844697952782802,44.353666785,I787,_,00180,1027
I787__00180.1028,11.844584174522847,44.35347186,I787,_,00180,1028
I787__00180.1029,11.845039982048885,44.35342926,I787,_,00180,1029
I787__00030.103,11.856493491199533,44.370524364999994,I787,_,00030,103
I787__00280.103,11.844663963166445,44.33592589,I787,_,00280,103
I787__00270.103,11.847280984472146,44.343745965,I787,_,00270,103
I787__00240.103,11.857345382530323,44.349277015,I787,_,00240,103
I787__00230.103,11.833318983902227,44.34724818,I787,_,00230,103
I787__00220.103,11.82048849551012,44.345540080000006,I787,_,00220,103
I787__00190.103,11.865577006027387,44.353607795,I787,_,00190,103
I787__00180.103,11.8507924589634,44.355392615,I787,_,00180,103
I787__00140.103,11.8113324734332,44.367870374999995,I787,_,00140,103
I787__00130.103,11.799107422226278,44.363984355,I787,_,00130,103
I787__00090.103,11.848967275644764,44.360029485,I787,_,00090,103
I787__0008.103,11.845790575063527,44.36046308,I787,_,0008,103
I787__00050.103,11.814745180173864,44.372831105,I787,_,00050,103
I787__00040.103,11.805143166290271,44.373464655,I787,_,00040,103
I787__00180.1030,11.844916287184638,44.35307872,I787,_,00180,1030
I787__00180.1031,11.845121696976712,44.352993665,I787,_,00180,1031
I787__00180.1032,11.845353590499666,44.352909445,I787,_,00180,1032
I787__00180.1039,11.845382434768524,44.353618125,I787,_,00180,1039
I787__00030.104,11.855594611202914,44.37083317,I787,_,00030,104
I787__00270.104,11.847740595481383,44.343531545000005,I787,_,00270,104
I787__00210.104,11.81123967590782,44.345738575,I787,_,00210,104
I787__00200.104,11.809023641881279,44.354214895,I787,_,00200,104
I787__00190.104,11.867547947326557,44.35315558,I787,_,00190,104
I787__00140.104,11.81213953637424,44.367724929999994,I787,_,00140,104
I787__00130.104,11.797938571865231,44.362252495,I787,_,00130,104
I787__00120.104,11.80436140360102,44.363915495,I787,_,00120,104
I787__00090.104,11.849175888347768,44.359930559999995,I787,_,00090,104
I787__0008.104,11.845869787178948,44.36042045,I787,_,0008,104
I787__00060.104,11.836448092377495,44.377456315,I787,_,00060,104
I787__00050.104,11.815247000979978,44.372496145,I787,_,00050,104
I787__00040.104,11.80734451626969,44.375874595,I787,_,00040,104
I787__00180.1040,11.84580948270359,44.353082825,I787,_,00180,1040
I787__00180.1041,11.844792868351924,44.352980275,I787,_,00180,1041
I787__00180.1044,11.844570315085921,44.353373989999994,I787,_,00180,1044
I787__00180.1045,11.844396232505993,44.353281624999994,I787,_,00180,1045
I787__00180.1046,11.844681761343402,44.35316256,I787,_,00180,1046
I787__00180.1047,11.844797096145854,44.35311831,I787,_,00180,1047
