nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I876__00010.1,12.29663469051866,46.21688241,I876,_,00010,1
I876__00090.1,12.374064104034643,46.221574860000004,I876,_,00090,1
I876__00080.1,12.3387023980186,46.215803745,I876,_,00080,1
I876__00070.1,12.338754490836152,46.210515889999996,I876,_,00070,1
I876__00060.1,12.30271970213813,46.197666055,I876,_,00060,1
I876__0005.1,12.301202038342758,46.208601095,I876,_,0005,1
I876__00040.1,12.312107955465196,46.211527610000005,I876,_,00040,1
I876__00030.1,12.306163116220867,46.217529345,I876,_,00030,1
I876__00020.1,12.301642232670714,46.21781189,I876,_,00020,1
I876__00010.10,12.298479348814976,46.214693805,I876,_,00010,10
I876__00080.10,12.347924199525593,46.210289700000004,I876,_,00080,10
I876__00070.10,12.31206181035288,46.204004265,I876,_,00070,10
I876__0005.10,12.301035225409855,46.207980899999995,I876,_,0005,10
I876__00040.10,12.312955325718788,46.206218145,I876,_,00040,10
I876__00030.10,12.308624900081586,46.21698771,I876,_,00030,10
I876__00020.10,12.301635831948804,46.21603745,I876,_,00020,10
I876__0002.100,12.303074761655083,46.215301435,I876,_,0002,100
I876__00030.100,12.307609622540559,46.20772645,I876,_,00030,100
I876__00050.1000,12.302670312794785,46.202562439999994,I876,_,00050,1000
I876__0005.1002,12.304027170634361,46.20402312,I876,_,0005,1002
I876__0005.1003,12.304150621961174,46.203995414999994,I876,_,0005,1003
I876__0005.1004,12.304283927774112,46.203998195,I876,_,0005,1004
I876__0005.1005,12.30409076641813,46.204140775,I876,_,0005,1005
I876__0005.1006,12.303847203118442,46.20403623,I876,_,0005,1006
I876__0005.1007,12.30387677936917,46.20459979,I876,_,0005,1007
I876__0005.1008,12.303789340305489,46.205507804999996,I876,_,0005,1008
I876__0005.1009,12.303795073535241,46.205334730000004,I876,_,0005,1009
I876__0002.101,12.303149081761003,46.21530041,I876,_,0002,101
I876__0005.101,12.300958210602834,46.20632571,I876,_,0005,101
I876__00030.101,12.308166335350872,46.207924934999994,I876,_,00030,101
I876__0005.1010,12.303803448668376,46.20453506,I876,_,0005,1010
I876__0005.1011,12.303840139350118,46.204511925000006,I876,_,0005,1011
I876__0005.1012,12.303624910048727,46.204208765000004,I876,_,0005,1012
