nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I886__00010.1,7.5241650639418705,45.455448665,I886,_,00010,1
I886__00450.1,7.519262245881254,45.380996319999994,I886,_,00450,1
I886__00440.1,7.509931193724693,45.38111762,I886,_,00440,1
I886__00430.1,7.497894145846637,45.382495385,I886,_,00430,1
I886__00420.1,7.491416206277224,45.38040828,I886,_,00420,1
I886__00410.1,7.5043003433424875,45.396539759999996,I886,_,00410,1
I886__00400.1,7.508206574533471,45.395486385,I886,_,00400,1
I886__00390.1,7.5119806040818515,45.394116464999996,I886,_,00390,1
I886__00380.1,7.520614088887344,45.39546552,I886,_,00380,1
I886__00370.1,7.52195037179691,45.395163945,I886,_,00370,1
I886__00360.1,7.524084833598794,45.391892029999994,I886,_,00360,1
I886__00350.1,7.53109351069627,45.385240235,I886,_,00350,1
I886__00340.1,7.544923258289675,45.40056627,I886,_,00340,1
I886__00330.1,7.549753522261363,45.402791269999994,I886,_,00330,1
I886__00320.1,7.553055668207566,45.41394808,I886,_,00320,1
I886__00310.1,7.549462684533118,45.409955055,I886,_,00310,1
I886__00300.1,7.534207996816447,45.405080145,I886,_,00300,1
I886__00290.1,7.525548976466031,45.40387153,I886,_,00290,1
I886__00280.1,7.511065028056796,45.40356846,I886,_,00280,1
I886__00270.1,7.511065873947553,45.407161439999996,I886,_,00270,1
I886__00260.1,7.532466976423557,45.40978851,I886,_,00260,1
I886__00240.1,7.5416362235736685,45.424617194999996,I886,_,00240,1
I886__00230.1,7.534911555077079,45.42318799,I886,_,00230,1
I886__00220.1,7.533170275213726,45.41915482,I886,_,00220,1
I886__00210.1,7.541458246279237,45.414695644999995,I886,_,00210,1
I886__00200.1,7.534157047208899,45.4149673,I886,_,00200,1
I886__00190.1,7.52851324633178,45.416163350000005,I886,_,00190,1
I886__00180.1,7.521627190593168,45.413719865000004,I886,_,00180,1
I886__00170.1,7.511010352906647,45.409624140000005,I886,_,00170,1
I886__00160.1,7.511467817274301,45.411552834999995,I886,_,00160,1
I886__00150.1,7.525810938499102,45.420037255,I886,_,00150,1
I886__00140.1,7.527922912146051,45.424241589999994,I886,_,00140,1
I886__00130.1,7.533083782075746,45.4284721,I886,_,00130,1
I886__00120.1,7.54438744652999,45.43377823,I886,_,00120,1
I886__00110.1,7.550477783421329,45.428182415,I886,_,00110,1
I886__00090.1,7.555603747712846,45.433668895,I886,_,00090,1
I886__00080.1,7.544557419997004,45.43943076,I886,_,00080,1
I886__00070.1,7.53793132603165,45.43877042,I886,_,00070,1
I886__00060.1,7.529672212450555,45.438983225,I886,_,00060,1
I886__00050.1,7.535888764543417,45.442683775,I886,_,00050,1
I886__00040.1,7.5409900512485795,45.446619235,I886,_,00040,1
I886__00030.1,7.538369999851181,45.451435565,I886,_,00030,1
I886__00020.1,7.526922230983674,45.452207395,I886,_,00020,1
I886__00010.10,7.528557157899254,45.453610555,I886,_,00010,10
I886__00450.10,7.522333259076367,45.37954676,I886,_,00450,10
I886__00440.10,7.5135585044419475,45.38113366,I886,_,00440,10
I886__00430.10,7.501730065357682,45.38117572,I886,_,00430,10
I886__00410.10,7.505438355429318,45.395184189999995,I886,_,00410,10
I886__00400.10,7.5106121843033815,45.394991285,I886,_,00400,10
I886__00390.10,7.515546244854306,45.39131811,I886,_,00390,10
I886__00380.10,7.520814998926884,45.39331679,I886,_,00380,10
I886__00370.10,7.5228433239437535,45.395567305,I886,_,00370,10
I886__00360.10,7.527054102352537,45.390017764999996,I886,_,00360,10
I886__00350.10,7.533154550996455,45.38483686,I886,_,00350,10
I886__00340.10,7.545054744667617,45.39932652,I886,_,00340,10
I886__00330.10,7.553075411955847,45.403097065,I886,_,00330,10
I886__00320.10,7.553625994313635,45.412752535,I886,_,00320,10
I886__00310.10,7.548584447065796,45.40908376,I886,_,00310,10
I886__00300.10,7.53618827650543,45.402530755,I886,_,00300,10
I886__00290.10,7.527657629045059,45.403179355,I886,_,00290,10
I886__00280.10,7.51229859842335,45.403350700000004,I886,_,00280,10
I886__00270.10,7.5124761598876955,45.407312185,I886,_,00270,10
I886__00250.10,7.559383517185561,45.42175916,I886,_,00250,10
I886__00240.10,7.541996599866989,45.422413355,I886,_,00240,10
I886__00230.10,7.535265679904807,45.421954325,I886,_,00230,10
I886__00220.10,7.535186002813818,45.4181168,I886,_,00220,10
I886__00200.10,7.533980499891587,45.411952575,I886,_,00200,10
I886__00190.10,7.529638373278228,45.415882515,I886,_,00190,10
I886__00180.10,7.521472662101418,45.41020586,I886,_,00180,10
I886__00170.10,7.5116203995472794,45.408264375,I886,_,00170,10
I886__00160.10,7.5133732932787405,45.413602845,I886,_,00160,10
I886__00150.10,7.526370876570484,45.419786075,I886,_,00150,10
I886__00140.10,7.530914059972684,45.42453905,I886,_,00140,10
I886__00130.10,7.533708582148142,45.427618005,I886,_,00130,10
I886__00120.10,7.544974799062277,45.431922615000005,I886,_,00120,10
I886__00110.10,7.551448166397828,45.427959595,I886,_,00110,10
I886__00090.10,7.556205485902989,45.43248256,I886,_,00090,10
I886__00080.10,7.54598507789047,45.436255875,I886,_,00080,10
I886__00070.10,7.543101186989878,45.43793805,I886,_,00070,10
I886__00060.10,7.531453065536832,45.438696115,I886,_,00060,10
I886__00050.10,7.535919812923863,45.44242048,I886,_,00050,10
I886__00040.10,7.540592734333335,45.444699729999996,I886,_,00040,10
I886__00030.10,7.538709837976125,45.450415095,I886,_,00030,10
