nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I996__09010.1,9.302835031584294,45.82894444,I996,_,09010,1
I996__09020.10,9.304628512811579,45.82950602,I996,_,09020,10
I996__09020.1003,9.317453859102791,45.822712195,I996,_,09020,1003
I996__09030.1006,9.31763871582758,45.82213093,I996,_,09030,1006
I996__09030.1008,9.31761857076958,45.822015155,I996,_,09030,1008
I996__09030.1009,9.319140985410094,45.819111660000004,I996,_,09030,1009
I996__09030.1010,9.310799145234565,45.81877395,I996,_,09030,1010
I996__09030.1011,9.310687954581688,45.81873865,I996,_,09030,1011
I996__0903.1013,9.309502486682625,45.818872150000004,I996,_,0903,1013
I996__09030.1014,9.308895197569047,45.818071474999996,I996,_,09030,1014
I996__09030.1015,9.308228010665953,45.81861988,I996,_,09030,1015
I996__0903.1016,9.308993140527743,45.819985345,I996,_,0903,1016
I996__09030.1017,9.317692095205022,45.813946225,I996,_,09030,1017
I996__09030.1018,9.317737977737561,45.814838455,I996,_,09030,1018
I996__09030.1019,9.318273788352045,45.815350105,I996,_,09030,1019
I996__09040.1020,9.320188809710027,45.816806355,I996,_,09040,1020
I996__09020.1021,9.308598436676398,45.823941415,I996,_,09020,1021
I996__0903.1023,9.310634023304779,45.81974617,I996,_,0903,1023
I996__0903.1024,9.3106811718629,45.8196888,I996,_,0903,1024
I996__09030.1025,9.312309214033313,45.821499915000004,I996,_,09030,1025
I996__09030.1026,9.312203109506154,45.821636775,I996,_,09030,1026
I996__09030.1027,9.315351610619246,45.813919085,I996,_,09030,1027
I996__09030.1028,9.308196680668612,45.817661595000004,I996,_,09030,1028
I996__09010.1029,9.30308754285602,45.829101415,I996,_,09010,1029
I996__09030.1030,9.309518697211544,45.81780988,I996,_,09030,1030
I996__09030.1031,9.309901568047206,45.81778292,I996,_,09030,1031
I996__09040.1033,9.319582328006256,45.8174545,I996,_,09040,1033
I996__09040.1034,9.319210371157787,45.81730836,I996,_,09040,1034
I996__09040.1036,9.321562244563307,45.82023825,I996,_,09040,1036
I996__09040.1037,9.322248050994858,45.820400765,I996,_,09040,1037
I996__09040.1038,9.32271861408838,45.82051106,I996,_,09040,1038
I996__09040.1039,9.323743274277229,45.820713705,I996,_,09040,1039
I996__09040.1040,9.323651339608716,45.820444205,I996,_,09040,1040
I996__09040.1041,9.320989478891303,45.81799667,I996,_,09040,1041
I996__09040.1042,9.32137396269722,45.817960395,I996,_,09040,1042
I996__09040.1043,9.322873677461114,45.818151485,I996,_,09040,1043
I996__09040.1044,9.323031932594992,45.817966444999996,I996,_,09040,1044
I996__09040.1045,9.321490513937242,45.818564120000005,I996,_,09040,1045
I996__09040.1046,9.321623755439218,45.81868953,I996,_,09040,1046
I996__09040.1047,9.322341893925838,45.817523484999995,I996,_,09040,1047
I996__09040.1048,9.322902447042072,45.817611075,I996,_,09040,1048
