nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L088A_00010.1,9.348086236206708,40.951142884999996,L088,A,00010,1
L088C_00260.1,9.41237294226412,40.881174775000005,L088,C,00260,1
L088C_00250.1,9.363119749609954,40.874241645,L088,C,00250,1
L088C_00210.1,9.411187019693976,40.892155900000006,L088,C,00210,1
L088C_00190.1,9.360217838194696,40.888843435,L088,C,00190,1
L088C_00150.1,9.39606849713558,40.906171845,L088,C,00150,1
L088C_00130.1,9.383456561898335,40.89943783,L088,C,00130,1
L088B_00240.1,9.3097110732732,40.852555984999995,L088,B,00240,1
L088B_00220.1,9.331109145160287,40.86952327,L088,B,00220,1
L088A_00170.1,9.310448553566648,40.88079312,L088,A,00170,1
L088A_00100.1,9.295309849173385,40.895957749999994,L088,A,00100,1
L088A_00090.1,9.360213493283492,40.91405118,L088,A,00090,1
L088A_00080.1,9.319390001194314,40.914364265,L088,A,00080,1
L088A_00060.1,9.367122470874993,40.934998675,L088,A,00060,1
L088A_00050.1,9.35301424246525,40.93712282,L088,A,00050,1
L088A_00020.1,9.36251583319267,40.945579589999994,L088,A,00020,1
L088A_00040.10,9.334622735584622,40.926314165,L088,A,00040,10
L088C_00200.10,9.384987353567162,40.890640905,L088,C,00200,10
L088C_00190.10,9.355347932186842,40.886522215,L088,C,00190,10
L088C_0018.10,9.352744463539842,40.87566423,L088,C,0018,10
L088C_00150.10,9.396527339462736,40.90512664,L088,C,00150,10
L088C_00140.10,9.387440591547488,40.90629686,L088,C,00140,10
L088B_00240.10,9.325404863292107,40.85155478,L088,B,00240,10
L088B_00230.10,9.35334786483132,40.862298655000004,L088,B,00230,10
L088B_00220.10,9.329665205019818,40.86356148,L088,B,00220,10
L088A_00170.10,9.333922783886234,40.876060375,L088,A,00170,10
L088A_00120.10,9.33586317554063,40.897730905,L088,A,00120,10
L088A_00110.10,9.330290686539175,40.888662025,L088,A,00110,10
L088A_00100.10,9.303030317513768,40.892142885,L088,A,00100,10
L088A_00080.10,9.342526160619869,40.9161192,L088,A,00080,10
L088A_00070.10,9.300960593140477,40.90662158,L088,A,00070,10
L088A_00060.10,9.379058946142045,40.933950145,L088,A,00060,10
L088A_00050.10,9.358533985956967,40.934366275,L088,A,00050,10
L088A_00030.100,9.390011138319597,40.933089235,L088,A,00030,100
L088C_00270.100,9.375364560711528,40.859003689999994,L088,C,00270,100
L088C_00200.100,9.390090449261482,40.885053305,L088,C,00200,100
L088C_0018.100,9.351913578406833,40.875765055,L088,C,0018,100
L088C_00130.100,9.356987149911003,40.890631245,L088,C,00130,100
L088B_00230.100,9.346101580990096,40.859798325,L088,B,00230,100
L088A_00160.100,9.311344185386261,40.873993479999996,L088,A,00160,100
L088A_00120.100,9.337144724689288,40.88140065,L088,A,00120,100
L088A_00100.100,9.30739486400417,40.891281805000006,L088,A,00100,100
L088A_00090.100,9.352888415358912,40.90275072,L088,A,00090,100
L088A_00080.100,9.341891785692784,40.904403815,L088,A,00080,100
L088A_00070.100,9.29508650851874,40.90786368,L088,A,00070,100
L088A_00060.100,9.383063678484707,40.910679195,L088,A,00060,100
L088A_00050.100,9.355992986464749,40.930184195,L088,A,00050,100
L088A_00060.1000,9.370356626756799,40.933039199999996,L088,A,00060,1000
L088C_00180.1000,9.357189184298107,40.87152307,L088,C,00180,1000
L088C_00180.1002,9.357338215707708,40.871378455,L088,C,00180,1002
L088C_00180.1003,9.356747857133493,40.871118609999996,L088,C,00180,1003
L088C_00180.1004,9.35710508125851,40.871113065,L088,C,00180,1004
L088C_00180.1005,9.357453385146574,40.871268395,L088,C,00180,1005
L088C_00180.1006,9.356892638813736,40.871012995,L088,C,00180,1006
L088C_00180.1008,9.357853642950666,40.871438255,L088,C,00180,1008
L088C_00180.1009,9.357501622354857,40.87128819,L088,C,00180,1009
L088A_00030.101,9.390255748801849,40.933256975000006,L088,A,00030,101
L088C_00260.101,9.404657984017323,40.87966857,L088,C,00260,101
L088C_00200.101,9.393772676757877,40.883213365,L088,C,00200,101
L088C_0018.101,9.352711935493044,40.875496725000005,L088,C,0018,101
L088C_00140.101,9.385956699701627,40.90425124,L088,C,00140,101
L088C_00130.101,9.35761422168455,40.891681375,L088,C,00130,101
L088B_00230.101,9.344914374490354,40.85782681,L088,B,00230,101
L088B_00220.101,9.346665163456915,40.864589714999994,L088,B,00220,101
L088A_00160.101,9.311473445102653,40.874085925,L088,A,00160,101
L088A_00100.101,9.307993696006164,40.890770655,L088,A,00100,101
L088A_00090.101,9.353012888288987,40.90317223,L088,A,00090,101
L088A_00080.101,9.34692890801665,40.90392413,L088,A,00080,101
L088A_00060.101,9.385157673371351,40.911171409999994,L088,A,00060,101
L088A_00040.101,9.335747607863091,40.92200316,L088,A,00040,101
L088C_00180.1010,9.356943988615617,40.87136466,L088,C,00180,1010
L088C_00180.1013,9.357716078911505,40.871548634999996,L088,C,00180,1013
L088C_00180.1014,9.357376656782236,40.871401245,L088,C,00180,1014
L088C_00180.1015,9.357268570406905,40.871053805,L088,C,00180,1015
L088C_00180.1016,9.357578868401928,40.871165360000006,L088,C,00180,1016
L088C_00180.1018,9.357629559099141,40.871124890000004,L088,C,00180,1018
L088C_00180.1019,9.357247611711069,40.87108762,L088,C,00180,1019
L088A_00030.102,9.39109912008468,40.932455405,L088,A,00030,102
L088C_00270.102,9.38237940288565,40.858259239999995,L088,C,00270,102
L088C_00260.102,9.403464735973067,40.867328395,L088,C,00260,102
L088C_00200.102,9.389629803755124,40.884882345,L088,C,00200,102
L088C_0018.102,9.351998273846208,40.8749643,L088,C,0018,102
L088C_00150.102,9.39397323792912,40.90294494,L088,C,00150,102
L088C_00140.102,9.384947928061123,40.90486636,L088,C,00140,102
L088C_00130.102,9.35569487876622,40.89003735,L088,C,00130,102
L088B_00230.102,9.341562065292125,40.859177675,L088,B,00230,102
L088B_00220.102,9.332691981541558,40.86728065,L088,B,00220,102
L088A_00160.102,9.310343794425885,40.876263195,L088,A,00160,102
L088A_00120.102,9.337860375031944,40.880317344999995,L088,A,00120,102
L088A_00100.102,9.30759854914632,40.890778865,L088,A,00100,102
L088A_00090.102,9.354188983188138,40.90061437,L088,A,00090,102
L088A_00080.102,9.347362311770429,40.90385033,L088,A,00080,102
L088A_00070.102,9.309179787662925,40.905911195,L088,A,00070,102
L088C_0018.1020,9.35232579515,40.874438945,L088,C,0018,1020
L088C_0018.1021,9.35229362623459,40.874521665,L088,C,0018,1021
L088C_00180.1027,9.352817515144322,40.873971374999996,L088,C,00180,1027
L088C_00180.1028,9.352634800573277,40.873987715,L088,C,00180,1028
L088C_0018.1029,9.356647135350359,40.87776977,L088,C,0018,1029
L088A_00030.103,9.391225343699276,40.93250136,L088,A,00030,103
L088C_00250.103,9.357404977531848,40.867864765,L088,C,00250,103
L088C_00200.103,9.393155914713741,40.883015465,L088,C,00200,103
L088C_00190.103,9.356734657321002,40.87624448,L088,C,00190,103
L088C_0018.103,9.3517958416214,40.875263704999995,L088,C,0018,103
L088C_00150.103,9.393811013585069,40.903093645,L088,C,00150,103
L088C_00140.103,9.383775103608645,40.905638795,L088,C,00140,103
L088C_00130.103,9.354802024696905,40.88915082,L088,C,00130,103
L088B_00230.103,9.344356918570993,40.858779979999994,L088,B,00230,103
L088B_00220.103,9.315185112757462,40.85443372,L088,B,00220,103
L088A_00160.103,9.31040617044422,40.876063085,L088,A,00160,103
L088A_00120.103,9.340289918273552,40.879906885,L088,A,00120,103
L088A_00100.103,9.30760857026127,40.891329515,L088,A,00100,103
L088A_00090.103,9.353468307290587,40.902720020000004,L088,A,00090,103
L088A_00080.103,9.347461185260311,40.90379845,L088,A,00080,103
L088A_00050.103,9.3669466306232,40.93283511,L088,A,00050,103
L088A_00040.103,9.342529780454202,40.93377944,L088,A,00040,103
L088C_00180.1031,9.34426805374129,40.86976954,L088,C,00180,1031
L088C_00180.1032,9.343819704560413,40.869608905,L088,C,00180,1032
L088C_0018.1033,9.351939097608309,40.876843550000004,L088,C,0018,1033
L088C_0018.1034,9.351881102783018,40.877059695,L088,C,0018,1034
L088C_0018.1035,9.351944555040555,40.877044600000005,L088,C,0018,1035
L088C_0018.1036,9.351993154405644,40.876951285000004,L088,C,0018,1036
L088C_0018.1037,9.352026810066844,40.876838495,L088,C,0018,1037
L088C_0018.1039,9.352051055991828,40.876753145,L088,C,0018,1039
L088A_00010.104,9.352274542801513,40.94140599,L088,A,00010,104
L088C_00270.104,9.403495983774402,40.858403355,L088,C,00270,104
L088C_00250.104,9.366292609017012,40.8639863,L088,C,00250,104
L088C_00200.104,9.393334765756645,40.882507020000006,L088,C,00200,104
L088C_00190.104,9.35639127503605,40.875626775,L088,C,00190,104
L088C_0018.104,9.352184770200862,40.875012295000005,L088,C,0018,104
L088C_00150.104,9.394355633974369,40.902465325,L088,C,00150,104
L088C_00130.104,9.380048831642188,40.89420791,L088,C,00130,104
L088B_00230.104,9.347152340864202,40.858733385,L088,B,00230,104
L088B_00220.104,9.32795696115052,40.851957315,L088,B,00220,104
L088A_00160.104,9.31043560448784,40.876263949999995,L088,A,00160,104
L088A_00120.104,9.340162306258627,40.879496435,L088,A,00120,104
L088A_00100.104,9.301754409822195,40.89103856,L088,A,00100,104
L088A_00080.104,9.34796819571514,40.90390107,L088,A,00080,104
L088A_00070.104,9.308855202588111,40.898387830000004,L088,A,00070,104
L088A_00060.104,9.386025060695408,40.91155259,L088,A,00060,104
L088A_00040.104,9.342972077488866,40.933739735,L088,A,00040,104
L088A_00030.104,9.391352482114385,40.932723555,L088,A,00030,104
L088C_0018.1041,9.35211806487484,40.87697884,L088,C,0018,1041
L088C_0018.1043,9.350837304056972,40.876458535,L088,C,0018,1043
L088C_0018.1044,9.350888986759017,40.876463720000004,L088,C,0018,1044
L088C_0018.1045,9.351033983157851,40.8764836,L088,C,0018,1045
L088C_00180.1049,9.353446141481374,40.87276419,L088,C,00180,1049
L088A_00030.105,9.391436319923788,40.932439055,L088,A,00030,105
L088C_00270.105,9.399077296048514,40.857132875000005,L088,C,00270,105
L088C_00260.105,9.406218975271974,40.870000295,L088,C,00260,105
L088C_00250.105,9.358094148159264,40.863914925,L088,C,00250,105
L088C_00190.105,9.356642524313497,40.875564385000004,L088,C,00190,105
L088C_00150.105,9.396613953646703,40.901534345,L088,C,00150,105
L088C_00140.105,9.390022575149446,40.906183909999996,L088,C,00140,105
L088C_00130.105,9.380263116526567,40.893593734999996,L088,C,00130,105
L088B_00230.105,9.359575059452855,40.85612229,L088,B,00230,105
L088A_00120.105,9.343713087206734,40.88922797,L088,A,00120,105
L088A_00100.105,9.299764411060856,40.889354065,L088,A,00100,105
L088A_00090.105,9.36057030847411,40.900304520000006,L088,A,00090,105
L088A_00080.105,9.34734759575491,40.904064855,L088,A,00080,105
L088A_00050.105,9.374416209474438,40.923973855,L088,A,00050,105
L088C_00180.1050,9.353154076462221,40.8724361,L088,C,00180,1050
L088C_00180.1051,9.351574124595206,40.87355327,L088,C,00180,1051
L088C_00190.1051,9.35566190687615,40.87811117,L088,C,00190,1051
L088C_00180.1052,9.351897205533092,40.873075154999995,L088,C,00180,1052
L088C_00180.1055,9.352855622263291,40.873274515,L088,C,00180,1055
L088C_00190.1055,9.356013694199255,40.87805358,L088,C,00190,1055
L088C_00180.1056,9.352977822684954,40.872945315,L088,C,00180,1056
L088C_00180.1057,9.353236845081277,40.872858455,L088,C,00180,1057
L088C_00180.1058,9.352918755662884,40.872595345,L088,C,00180,1058
L088C_00190.1058,9.356081339174734,40.87783537,L088,C,00190,1058
L088C_0018.1059,9.351701047935142,40.877743195,L088,C,0018,1059
L088A_00040.106,9.342251682243457,40.93315191,L088,A,00040,106
L088C_00270.106,9.41071896617335,40.858349355,L088,C,00270,106
L088C_00260.106,9.39794543092226,40.871494965,L088,C,00260,106
L088C_00250.106,9.366390134074734,40.862960755,L088,C,00250,106
L088C_00200.106,9.377663603336334,40.87452926,L088,C,00200,106
L088C_00150.106,9.405991993760903,40.900728545,L088,C,00150,106
L088C_00130.106,9.37594283804269,40.887185435,L088,C,00130,106
L088B_00230.106,9.361180445923925,40.856354695,L088,B,00230,106
L088B_00220.106,9.314842447405926,40.863222205,L088,B,00220,106
L088A_00160.106,9.311807204625103,40.87252978,L088,A,00160,106
L088A_00120.106,9.33318799418627,40.88651042,L088,A,00120,106
L088A_00100.106,9.303578228364753,40.88988757,L088,A,00100,106
L088A_00080.106,9.347988616074085,40.90340797,L088,A,00080,106
L088A_00060.106,9.389249408291764,40.9104039,L088,A,00060,106
L088A_00050.106,9.35706442842993,40.92487775,L088,A,00050,106
L088C_0018.1060,9.355682880074163,40.87625867,L088,C,0018,1060
L088C_00190.1061,9.356606486287564,40.873118745,L088,C,00190,1061
L088C_00190.1062,9.352138594362282,40.87833479,L088,C,00190,1062
L088C_00190.1063,9.355256145976512,40.877954475,L088,C,00190,1063
L088C_00180.1064,9.354978283973185,40.872560719999996,L088,C,00180,1064
L088C_0018.1065,9.354601098051553,40.87618656,L088,C,0018,1065
L088C_0018.1066,9.356170395652565,40.876837445,L088,C,0018,1066
L088C_0018.1067,9.356336845690995,40.87682853,L088,C,0018,1067
L088C_0018.1068,9.356277698074102,40.87671295,L088,C,0018,1068
L088C_00180.1069,9.356916033112118,40.872144335,L088,C,00180,1069
L088A_00030.107,9.391144795747774,40.93235835,L088,A,00030,107
L088C_00260.107,9.400637194488697,40.87136811,L088,C,00260,107
L088C_00200.107,9.37978663110432,40.87484578,L088,C,00200,107
L088C_0018.107,9.35251310451465,40.875261665,L088,C,0018,107
L088C_00130.107,9.360246938286188,40.894523285000005,L088,C,00130,107
L088B_00230.107,9.357666739450096,40.85518289,L088,B,00230,107
L088A_00120.107,9.340937240984648,40.89380397,L088,A,00120,107
L088A_00100.107,9.302393710983926,40.89031263,L088,A,00100,107
L088A_00080.107,9.347976493262088,40.903552375000004,L088,A,00080,107
L088A_00060.107,9.38112014928143,40.907064004999995,L088,A,00060,107
L088A_00040.107,9.335051615123678,40.93379786,L088,A,00040,107
L088C_0018.1070,9.351018104635045,40.876686995,L088,C,0018,1070
L088C_0018.1071,9.353044344110256,40.877019595,L088,C,0018,1071
L088C_00190.1072,9.352573883941243,40.878619855,L088,C,00190,1072
L088C_00190.1073,9.357364994541847,40.872189375000005,L088,C,00190,1073
L088C_00180.1075,9.34925592133223,40.8715368,L088,C,00180,1075
L088C_00190.1075,9.340708702050907,40.87986886,L088,C,00190,1075
L088C_00190.1076,9.340577082229231,40.87947511,L088,C,00190,1076
L088C_00190.1077,9.340894883050144,40.8793576,L088,C,00190,1077
L088C_00180.1078,9.349238997262898,40.872795124999996,L088,C,00180,1078
L088A_00030.108,9.389422885364361,40.933216834999996,L088,A,00030,108
L088C_00260.108,9.403033911906594,40.871132779999996,L088,C,00260,108
L088C_00200.108,9.380231629649428,40.87411582,L088,C,00200,108
L088C_0018.108,9.352158253415716,40.875304955000004,L088,C,0018,108
L088C_00130.108,9.361587136045292,40.8921735,L088,C,00130,108
L088B_00230.108,9.358943707957835,40.85521185,L088,B,00230,108
L088B_00220.108,9.31397940252852,40.860696329999996,L088,B,00220,108
L088A_00170.108,9.315190134236767,40.869278800000004,L088,A,00170,108
L088A_00160.108,9.312133964917955,40.87252978,L088,A,00160,108
L088A_00120.108,9.351368912441506,40.894781975,L088,A,00120,108
L088A_00090.108,9.353132162023464,40.90100276,L088,A,00090,108
L088A_00060.108,9.381574062259054,40.907158105,L088,A,00060,108
L088A_00050.108,9.36352650832473,40.923918945,L088,A,00050,108
