nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L100__00030.1,11.729791034740108,45.38754127,L100,_,00030,1
L100__00280.1,11.694418632516605,45.329267905,L100,_,00280,1
L100__00270.1,11.681333095164227,45.331894805000005,L100,_,00270,1
L100__00260.1,11.669452255548244,45.33351603,L100,_,00260,1
L100__00250.1,11.690349894201027,45.33539072,L100,_,00250,1
L100__00240.1,11.679654329697424,45.341068925,L100,_,00240,1
L100__00230.1,11.662938862527959,45.342501325,L100,_,00230,1
L100__00220.1,11.680389535800748,45.347657385000005,L100,_,00220,1
L100__00210.1,11.672444236706013,45.348477105,L100,_,00210,1
L100__00190.1,11.675009956699398,45.35764681,L100,_,00190,1
L100__00180.1,11.655370188745383,45.358413905,L100,_,00180,1
L100__00160.1,11.677196492527962,45.366269015,L100,_,00160,1
L100__00130.1,11.680535135106762,45.370112135,L100,_,00130,1
L100__00120.1,11.749642381932391,45.357343885,L100,_,00120,1
L100__00110.1,11.72543247171555,45.349004664999995,L100,_,00110,1
L100__00100.1,11.736756327154136,45.355937755,L100,_,00100,1
L100__00090.1,11.723676195751153,45.355544065000004,L100,_,00090,1
L100__00080.1,11.732650179885475,45.363998925000004,L100,_,00080,1
L100__00070.1,11.766977783880344,45.37956658,L100,_,00070,1
L100__00060.1,11.752356420958122,45.373311505000004,L100,_,00060,1
L100__00050.1,11.72881881280102,45.372481045,L100,_,00050,1
L100__00040.1,11.743601422493878,45.379441465,L100,_,00040,1
L100__00040.10,11.75176260057093,45.380158855000005,L100,_,00040,10
L100__00280.10,11.692619175497757,45.32788523,L100,_,00280,10
L100__00270.10,11.684127473923049,45.33152398,L100,_,00270,10
L100__00260.10,11.676734870847458,45.332718645,L100,_,00260,10
L100__00250.10,11.68781111598281,45.333644215,L100,_,00250,10
L100__00240.10,11.686421197027784,45.339030320000006,L100,_,00240,10
L100__00230.10,11.66642763919602,45.343065485,L100,_,00230,10
L100__00220.10,11.680054932760079,45.347677855,L100,_,00220,10
L100__00210.10,11.672652040863598,45.34805221,L100,_,00210,10
L100__00200.10,11.70073955210505,45.355088705,L100,_,00200,10
L100__00190.10,11.683379919267814,45.357006565000006,L100,_,00190,10
L100__00180.10,11.665342281297828,45.358739345000004,L100,_,00180,10
