nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L189__00020.1,12.75119716969824,42.223432105,L189,_,00020,1
L189__00090.1,12.759777882920979,42.192714605,L189,_,00090,1
L189__00080.1,12.773282605840551,42.204826795,L189,_,00080,1
L189__00070.1,12.76641106415844,42.21177673,L189,_,00070,1
L189__00040.1,12.731008291960563,42.218021955,L189,_,00040,1
L189__00030.1,12.763992829311633,42.2182745,L189,_,00030,1
L189__00030.10,12.766395988477974,42.217517830000006,L189,_,00030,10
L189__00090.10,12.770249284535804,42.19742115,L189,_,00090,10
L189__00070.10,12.766477711158213,42.21085778,L189,_,00070,10
L189__00060.10,12.762203494926494,42.212876455,L189,_,00060,10
L189__00050.10,12.748977123436559,42.21240261,L189,_,00050,10
L189__00040.10,12.734676132744706,42.215725899999995,L189,_,00040,10
L189__00010.100,12.737781133062908,42.217687315,L189,_,00010,100
L189__00090.100,12.76764742691249,42.198680679999995,L189,_,00090,100
L189__00080.100,12.764823485808364,42.20074177,L189,_,00080,100
L189__00070.100,12.769645676523822,42.207195455000004,L189,_,00070,100
L189__00060.100,12.754381074802303,42.208847094999996,L189,_,00060,100
L189__00040.100,12.747246546612885,42.211934725000006,L189,_,00040,100
L189__00030.100,12.768437612307494,42.214083020000004,L189,_,00030,100
L189__00020.100,12.762128632662336,42.220574815,L189,_,00020,100
L189__00020.101,12.763812603188828,42.220869414999996,L189,_,00020,101
L189__00090.101,12.76818133601896,42.198609755,L189,_,00090,101
L189__00080.101,12.765643442854252,42.200771675,L189,_,00080,101
L189__00070.101,12.76951314038073,42.206713969999996,L189,_,00070,101
L189__00060.101,12.754701438933315,42.20990038,L189,_,00060,101
L189__00050.101,12.75002401003569,42.212283209999995,L189,_,00050,101
L189__00040.101,12.74736571681298,42.211935215,L189,_,00040,101
L189__00030.101,12.768871745121764,42.21389809,L189,_,00030,101
L189__00020.102,12.763122589415122,42.22037298,L189,_,00020,102
L189__00090.102,12.767890275908684,42.19744061,L189,_,00090,102
L189__00080.102,12.766060627580117,42.201024675,L189,_,00080,102
L189__00060.102,12.754890006352008,42.209405805,L189,_,00060,102
L189__00050.102,12.750361288005585,42.212261915,L189,_,00050,102
L189__00040.102,12.736325666214286,42.21115641,L189,_,00040,102
L189__00030.102,12.769307257570887,42.214187475,L189,_,00030,102
L189__00010.103,12.73982685412636,42.217010415000004,L189,_,00010,103
L189__00090.103,12.767975437905708,42.19814334,L189,_,00090,103
L189__00060.103,12.755029858654613,42.20876848499999,L189,_,00060,103
L189__00050.103,12.75059076866006,42.212300465,L189,_,00050,103
L189__00040.103,12.736096246890437,42.210471545000004,L189,_,00040,103
L189__00030.103,12.768988375829936,42.213512365,L189,_,00030,103
L189__00020.103,12.762426087000168,42.22027291,L189,_,00020,103
L189__00030.104,12.769509690841728,42.21410901,L189,_,00030,104
L189__00090.104,12.772341192784209,42.19305035,L189,_,00090,104
L189__00070.104,12.770215228033962,42.206753725,L189,_,00070,104
L189__00060.104,12.75511744957818,42.208712335,L189,_,00060,104
L189__00050.104,12.750766640051696,42.21236705,L189,_,00050,104
L189__00040.104,12.736278577528218,42.2106731,L189,_,00040,104
L189__00030.105,12.768862610139852,42.213208945,L189,_,00030,105
L189__00090.105,12.773146920048115,42.194326415,L189,_,00090,105
L189__00080.105,12.766131766919692,42.200154635000004,L189,_,00080,105
L189__00070.105,12.770525693225734,42.20761508,L189,_,00070,105
L189__00060.105,12.755203186222431,42.208698565,L189,_,00060,105
L189__00050.105,12.750904350179255,42.21232666,L189,_,00050,105
L189__00040.105,12.736498150807753,42.21075236,L189,_,00040,105
L189__00010.106,12.739624234438608,42.21695392,L189,_,00010,106
L189__00090.106,12.773733433252023,42.19422213,L189,_,00090,106
L189__00080.106,12.76698605799796,42.200916425,L189,_,00080,106
L189__00070.106,12.771194318936645,42.207722085,L189,_,00070,106
L189__00060.106,12.755307149830783,42.20870047,L189,_,00060,106
L189__00050.106,12.751256847608044,42.212405255,L189,_,00050,106
L189__00040.106,12.736621971076161,42.211345140000006,L189,_,00040,106
L189__00030.106,12.7700241483578,42.214172344999994,L189,_,00030,106
L189__00010.107,12.739378289050034,42.216224305,L189,_,00010,107
L189__00090.107,12.773644321940008,42.194005989999994,L189,_,00090,107
L189__00080.107,12.766678667918818,42.200371555000004,L189,_,00080,107
L189__00070.107,12.770805182948507,42.207094225000006,L189,_,00070,107
L189__00060.107,12.755491383373437,42.208910114999995,L189,_,00060,107
L189__00050.107,12.751304925778037,42.2124472,L189,_,00050,107
L189__00040.107,12.737193922135422,42.210778815,L189,_,00040,107
L189__00030.107,12.769683998010933,42.21397277,L189,_,00030,107
L189__00010.108,12.739872251592672,42.21620087,L189,_,00010,108
L189__00090.108,12.772812270329217,42.19249851,L189,_,00090,108
L189__00080.108,12.766461401394292,42.20000949,L189,_,00080,108
L189__00070.108,12.771728825730701,42.207449205,L189,_,00070,108
L189__00050.108,12.751425154142073,42.212542889999995,L189,_,00050,108
L189__00040.108,12.736720422095415,42.210326075,L189,_,00040,108
L189__00030.108,12.769439347759924,42.213823625,L189,_,00030,108
L189__00020.108,12.75202817119936,42.216750669999996,L189,_,00020,108
L189__00010.109,12.737507761022602,42.21661363,L189,_,00010,109
L189__00080.109,12.767359376573902,42.20066534,L189,_,00080,109
L189__00070.109,12.771238980501238,42.206678775,L189,_,00070,109
L189__00060.109,12.755730148478253,42.209209855,L189,_,00060,109
L189__00050.109,12.751659722252459,42.212583445,L189,_,00050,109
L189__00040.109,12.736614117624097,42.209844175,L189,_,00040,109
L189__00030.109,12.769946982199945,42.213915295,L189,_,00030,109
L189__00020.109,12.753869655667351,42.21857429,L189,_,00020,109
L189__00010.11,12.746794885004434,42.22088757,L189,_,00010,11
L189__00080.11,12.774592068960581,42.204134855,L189,_,00080,11
L189__00070.11,12.766824745716963,42.210510455,L189,_,00070,11
L189__00060.11,12.762572908741245,42.212788360000005,L189,_,00060,11
L189__00030.11,12.766205316535057,42.217067215,L189,_,00030,11
L189__00010.110,12.737876864411753,42.21624635,L189,_,00010,110
L189__00090.110,12.783966113017584,42.188302005,L189,_,00090,110
L189__00060.110,12.75607777068867,42.209671560000004,L189,_,00060,110
L189__00050.110,12.751638649223613,42.212523274999995,L189,_,00050,110
L189__00040.110,12.737980128160633,42.210241475000004,L189,_,00040,110
L189__00030.110,12.770370960713484,42.214251024999996,L189,_,00030,110
L189__00020.110,12.754417811880884,42.218073829999994,L189,_,00020,110
L189__00010.111,12.73953587263378,42.21562682,L189,_,00010,111
L189__00090.111,12.784893809538913,42.189292725,L189,_,00090,111
L189__00070.111,12.771941931754824,42.205881785,L189,_,00070,111
L189__00060.111,12.756439763647347,42.209763890000005,L189,_,00060,111
L189__00050.111,12.751745473747645,42.212535245,L189,_,00050,111
L189__00030.111,12.77026778750538,42.213934120000005,L189,_,00030,111
L189__00020.111,12.754292397580391,42.224794110000005,L189,_,00020,111
L189__00010.112,12.73826769161133,42.215571190000006,L189,_,00010,112
L189__00090.112,12.783496612385244,42.18829493,L189,_,00090,112
