nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L213__00010.1,18.01500173362803,40.525704335,L213,_,00010,1
L213__00290.1,18.073514948849194,40.538840775,L213,_,00290,1
L213__00280.1,18.060731694617942,40.46721332,L213,_,00280,1
L213__00270.1,18.064454198130882,40.475079655,L213,_,00270,1
L213__00260.1,18.07316164920448,40.484292865,L213,_,00260,1
L213__00240.1,18.0507822933913,40.486281455,L213,_,00240,1
L213__00230.1,18.042724284530227,40.48660241,L213,_,00230,1
L213__00210.1,18.055050960129,40.494177235,L213,_,00210,1
L213__00200.1,18.040804494424492,40.492689655,L213,_,00200,1
L213__00180.1,18.063005288959967,40.50368646,L213,_,00180,1
L213__00170.1,18.05278541478552,40.50555329,L213,_,00170,1
L213__00160.1,18.039498999785167,40.50709429,L213,_,00160,1
L213__00130.1,18.011481094625957,40.506169695,L213,_,00130,1
L213__00110.1,18.068559450633053,40.512240265,L213,_,00110,1
L213__00090.1,18.030563653062778,40.515383095000004,L213,_,00090,1
L213__00080.1,18.01186488858638,40.513325835,L213,_,00080,1
L213__0007.1,18.08454204086391,40.515724219999996,L213,_,0007,1
L213__00040.1,18.05865946940279,40.52794146,L213,_,00040,1
L213__00030.1,18.045117841923116,40.522951545,L213,_,00030,1
L213__00020.1,18.027017354503368,40.522594635,L213,_,00020,1
L213__00010.10,18.01751432496762,40.518720415000004,L213,_,00010,10
L213__00290.10,18.07568648709688,40.538162555,L213,_,00290,10
L213__00280.10,18.06567154445792,40.46613847,L213,_,00280,10
L213__00270.10,18.06430742803709,40.47149005,L213,_,00270,10
L213__00260.10,18.06909410309148,40.476817405000006,L213,_,00260,10
L213__00240.10,18.050790404055668,40.486025409999996,L213,_,00240,10
L213__00230.10,18.045964723984717,40.486473294999996,L213,_,00230,10
L213__00220.10,18.068548281918105,40.486930584999996,L213,_,00220,10
L213__00210.10,18.055235235701595,40.493215129999996,L213,_,00210,10
L213__00200.10,18.04223956868416,40.490866530000005,L213,_,00200,10
L213__00190.10,18.07895927561537,40.500397219999996,L213,_,00190,10
L213__00180.10,18.064294016221574,40.50262465,L213,_,00180,10
L213__00170.10,18.058547902671297,40.5069696,L213,_,00170,10
L213__00160.10,18.047658310902637,40.508901675,L213,_,00160,10
L213__00150.10,18.022096598866554,40.49844263,L213,_,00150,10
L213__00140.10,18.025447941867483,40.505495145,L213,_,00140,10
L213__00130.10,18.012447881216353,40.50528477,L213,_,00130,10
L213__00120.10,18.077938375254746,40.501513455,L213,_,00120,10
L213__00110.10,18.070767606886953,40.51126448,L213,_,00110,10
L213__00100.10,18.049252469450582,40.51525124,L213,_,00100,10
L213__00090.10,18.033041120323094,40.514201275000005,L213,_,00090,10
L213__00080.10,18.0123797485301,40.511237185,L213,_,00080,10
L213__00050.10,18.072355373805394,40.52547914,L213,_,00050,10
L213__00040.10,18.056100342558093,40.522706369999995,L213,_,00040,10
L213__00030.10,18.04616444815713,40.52364148,L213,_,00030,10
L213__00020.10,18.039323092103764,40.522541145000005,L213,_,00020,10
L213__00010.100,18.018126941470836,40.51907733,L213,_,00010,100
L213__00290.100,18.073563478453693,40.537052375,L213,_,00290,100
L213__00280.100,18.070073846830283,40.465570505,L213,_,00280,100
L213__00260.100,18.077282038982055,40.481309115,L213,_,00260,100
L213__00240.100,18.05253558672414,40.485878885000005,L213,_,00240,100
L213__00230.100,18.046599993256688,40.48471273,L213,_,00230,100
L213__00220.100,18.080220389199248,40.488179215,L213,_,00220,100
L213__00210.100,18.05680882567195,40.489761455,L213,_,00210,100
L213__00190.100,18.073929937433363,40.495526475000005,L213,_,00190,100
L213__00180.100,18.06628690453227,40.50153743,L213,_,00180,100
L213__00160.100,18.05112131950751,40.50773701,L213,_,00160,100
L213__00150.100,18.02173743211544,40.492093170000004,L213,_,00150,100
L213__00140.100,18.02785547037539,40.500599629999996,L213,_,00140,100
L213__00130.100,18.021216638821265,40.500490705,L213,_,00130,100
L213__00120.100,18.086068633552095,40.503564284999996,L213,_,00120,100
L213__00110.100,18.071919456135024,40.508259755,L213,_,00110,100
L213__00100.100,18.0570920113423,40.50934357,L213,_,00100,100
L213__00090.100,18.034635265835135,40.512595945,L213,_,00090,100
L213__00080.100,18.02574187743717,40.515208445,L213,_,00080,100
L213__00060.100,18.082581589666862,40.522035795,L213,_,00060,100
L213__00030.100,18.044222191411937,40.514901179999995,L213,_,00030,100
L213__00020.100,18.027992578290196,40.51682438,L213,_,00020,100
L213__00040.1000,18.07141408490031,40.53367872,L213,_,00040,1000
L213__00290.1000,18.072989344524153,40.53495042,L213,_,00290,1000
L213__00230.1000,18.04764931010845,40.480864605,L213,_,00230,1000
L213__00070.1000,18.09377349369846,40.515515465,L213,_,00070,1000
L213__0005.1000,18.07100259871062,40.529697715,L213,_,0005,1000
L213__00040.1001,18.071332260321764,40.53360336,L213,_,00040,1001
L213__00290.1001,18.07308136304099,40.534988735,L213,_,00290,1001
L213__0005.1001,18.071066899265904,40.52982645,L213,_,0005,1001
L213__0005.1002,18.0722420297217,40.530239835,L213,_,0005,1002
L213__00290.1002,18.072300605598993,40.535680525000004,L213,_,00290,1002
L213__00230.1002,18.05434390911743,40.479403454999996,L213,_,00230,1002
L213__00200.1002,18.048607585962902,40.491919795,L213,_,00200,1002
L213__00070.1002,18.09374386487896,40.51573709,L213,_,00070,1002
L213__00040.1003,18.0708156964526,40.534935295,L213,_,00040,1003
L213__00200.1003,18.045132569471168,40.487128435,L213,_,00200,1003
L213__0005.1003,18.074151735193453,40.530741355,L213,_,0005,1003
L213__00040.1004,18.055434926576943,40.52809894,L213,_,00040,1004
L213__00290.1004,18.072869193911913,40.536832435,L213,_,00290,1004
L213__00230.1004,18.052268070885205,40.476727425,L213,_,00230,1004
L213__00200.1004,18.042405344574085,40.48837148,L213,_,00200,1004
L213__0005.1004,18.074792829442995,40.52689989,L213,_,0005,1004
L213__00040.1005,18.0543308461727,40.527705585,L213,_,00040,1005
L213__00290.1005,18.072441984440516,40.535021130000004,L213,_,00290,1005
L213__00210.1005,18.054871316865658,40.48637277,L213,_,00210,1005
L213__00070.1005,18.09366816451709,40.51567684,L213,_,00070,1005
L213__0005.1005,18.074719241016012,40.526805985,L213,_,0005,1005
L213__00040.1006,18.06278685166307,40.531693204999996,L213,_,00040,1006
L213__00290.1006,18.070992039850083,40.53502095,L213,_,00290,1006
L213__0005.1006,18.074648512387135,40.526716635,L213,_,0005,1006
L213__00040.1007,18.06004975342758,40.53213028,L213,_,00040,1007
L213__00290.1007,18.07104519415629,40.534983964999995,L213,_,00290,1007
L213__00210.1007,18.05481502581594,40.493609625000005,L213,_,00210,1007
L213__00070.1007,18.093181073837727,40.514111775,L213,_,00070,1007
L213__0005.1007,18.074247941554873,40.528027585000004,L213,_,0005,1007
L213__00040.1008,18.06392878259112,40.530576569999994,L213,_,00040,1008
L213__00290.1008,18.07110815449252,40.534962539999995,L213,_,00290,1008
L213__00230.1008,18.048875862590222,40.482567125,L213,_,00230,1008
L213__00070.1008,18.09348856004076,40.51358786,L213,_,00070,1008
L213__0005.1008,18.077229111111627,40.5286464,L213,_,0005,1008
L213__00040.1009,18.06316740950402,40.52978878,L213,_,00040,1009
L213__00290.1009,18.071129722576984,40.534916475,L213,_,00290,1009
L213__00230.1009,18.048798363390254,40.47979193,L213,_,00230,1009
L213__00210.1009,18.056563660215417,40.486624570000004,L213,_,00210,1009
L213__00200.1009,18.042612093000585,40.49443986,L213,_,00200,1009
L213__0007.1009,18.08386792311805,40.515625815,L213,_,0007,1009
L213__0005.1009,18.076360724632394,40.528188175,L213,_,0005,1009
L213__00010.101,18.01810675857781,40.51903442,L213,_,00010,101
L213__00260.101,18.076742668803163,40.48119107,L213,_,00260,101
L213__00240.101,18.05213211179648,40.485691579999994,L213,_,00240,101
L213__00230.101,18.047146284398405,40.485055015,L213,_,00230,101
L213__00210.101,18.057184712612248,40.49019342,L213,_,00210,101
L213__00190.101,18.0750556722338,40.495174000000006,L213,_,00190,101
