nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L235__00010.1,8.759776033801655,40.525627310000004,L235,_,00010,1
L235__00360.1,8.850551433128832,40.49752194,L235,_,00360,1
L235__00350.1,8.846024751129386,40.491659905000006,L235,_,00350,1
L235__00340.1,8.833078361198304,40.498767275000006,L235,_,00340,1
L235__00330.1,8.804325788260869,40.50465918,L235,_,00330,1
L235__00310.1,8.793578315240545,40.486545335,L235,_,00310,1
L235__00300.1,8.784143022144415,40.491006575,L235,_,00300,1
L235__00290.1,8.768073016593744,40.48633297,L235,_,00290,1
L235__00260.1,8.75780659855042,40.49331945,L235,_,00260,1
L235__00250.1,8.772462347798701,40.49485387,L235,_,00250,1
L235__00240.1,8.761556815690701,40.49586366,L235,_,00240,1
L235__00230.1,8.755081160121563,40.502417730000005,L235,_,00230,1
L235__00220.1,8.757328064945852,40.5084254,L235,_,00220,1
L235__00210.1,8.752105387772998,40.510968129999995,L235,_,00210,1
L235__00200.1,8.748833679605902,40.51615859,L235,_,00200,1
L235__00190.1,8.760094682876066,40.515475545,L235,_,00190,1
L235__00180.1,8.758550645266975,40.51425038,L235,_,00180,1
L235__00160.1,8.777923536753569,40.501200350000005,L235,_,00160,1
L235__00150.1,8.796992811174622,40.495988510000004,L235,_,00150,1
L235__00130.1,8.781336571871808,40.505476135,L235,_,00130,1
L235__00120.1,8.786076754264755,40.510135275,L235,_,00120,1
L235__00110.1,8.792270221330657,40.510246925000004,L235,_,00110,1
L235__00100.1,8.801441672866682,40.515371305,L235,_,00100,1
L235__00090.1,8.81243852449628,40.512043045,L235,_,00090,1
L235__00080.1,8.816135726903923,40.51044569,L235,_,00080,1
L235__00050.1,8.801954676886394,40.519169255,L235,_,00050,1
L235__00040.1,8.78125571651714,40.52017934,L235,_,00040,1
L235__00030.1,8.77227885618834,40.525458605,L235,_,00030,1
L235__00020.1,8.764196350865674,40.52507143,L235,_,00020,1
L235__00010.10,8.75984326064108,40.52252645,L235,_,00010,10
L235__00360.10,8.850813090313887,40.49643953,L235,_,00360,10
L235__00350.10,8.845857279377725,40.488957049999996,L235,_,00350,10
L235__00340.10,8.833443698774932,40.497374305,L235,_,00340,10
L235__00330.10,8.80633345926384,40.503237565000006,L235,_,00330,10
L235__00320.10,8.801548689503075,40.49159278,L235,_,00320,10
L235__00310.10,8.786331842865707,40.482161195,L235,_,00310,10
L235__00300.10,8.78531213429853,40.48860873,L235,_,00300,10
L235__00290.10,8.772893252081257,40.48667999,L235,_,00290,10
L235__00280.10,8.76424782744286,40.485674239999994,L235,_,00280,10
L235__00270.10,8.759232671467299,40.488747935000006,L235,_,00270,10
L235__00260.10,8.760552694352109,40.491783705,L235,_,00260,10
L235__00250.10,8.776332139814688,40.493335585,L235,_,00250,10
L235__00240.10,8.763365391769579,40.495204215,L235,_,00240,10
L235__00230.10,8.758624733277557,40.502100999999996,L235,_,00230,10
L235__00220.10,8.765542094892545,40.50743294,L235,_,00220,10
L235__00210.10,8.750791728809288,40.51018421,L235,_,00210,10
L235__00200.10,8.755734289114724,40.51608922,L235,_,00200,10
