nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L521__00010.1,8.946295240432669,39.304464325,L521,_,00010,1
L521__00690.1,8.907604385727625,39.17220824,L521,_,00690,1
L521__00680.1,8.904315041319144,39.184780415,L521,_,00680,1
L521__00670.1,8.881681700152386,39.173281625,L521,_,00670,1
L521__00660.1,8.850234623371769,39.161893055,L521,_,00660,1
L521__00650.1,8.853160223160163,39.172298045,L521,_,00650,1
L521__00640.1,8.91008647294029,39.194783075000004,L521,_,00640,1
L521__00620.1,8.86316676431774,39.18098963,L521,_,00620,1
L521__00610.1,8.969876786036174,39.19447488,L521,_,00610,1
L521__00600.1,8.957433349284894,39.198233075000005,L521,_,00600,1
L521__00590.1,8.966624392148603,39.201224405000005,L521,_,00590,1
L521__00580.1,8.949256419526199,39.20698323,L521,_,00580,1
L521__00570.1,8.953557054739303,39.197561435,L521,_,00570,1
L521__00560.1,8.939930477353819,39.20009676,L521,_,00560,1
L521__00550.1,8.920995965644039,39.208721389999994,L521,_,00550,1
L521__00540.1,8.895359502394742,39.210496125,L521,_,00540,1
L521__00530.1,8.879029010903723,39.213690584999995,L521,_,00530,1
L521__00520.1,8.858397526956178,39.207138885,L521,_,00520,1
L521__00490.1,8.922772446365528,39.217345730000005,L521,_,00490,1
L521__00460.1,8.880031062367564,39.229282205000004,L521,_,00460,1
L521__00450.1,8.861529211202175,39.227867615,L521,_,00450,1
L521__00440.1,8.974566286560165,39.250089474999996,L521,_,00440,1
L521__00400.1,8.901207208499159,39.241781814999996,L521,_,00400,1
L521__00380.1,8.873530838656613,39.240518300000005,L521,_,00380,1
L521__00370.1,8.961484932727156,39.25537778,L521,_,00370,1
L521__00330.1,8.941218819981806,39.26054312,L521,_,00330,1
L521__00310.1,8.928891457330526,39.264178439999995,L521,_,00310,1
L521__00280.1,8.878803165220637,39.253287885,L521,_,00280,1
L521__00270.1,8.88450862317895,39.26344252,L521,_,00270,1
L521__00260.1,8.974823864661564,39.276094035,L521,_,00260,1
L521__00240.1,8.931533426735585,39.27171643,L521,_,00240,1
L521__00220.1,8.910275493893717,39.270556375,L521,_,00220,1
L521__00210.1,8.88318133716756,39.2703219,L521,_,00210,1
L521__00190.1,8.955874727862152,39.27764038,L521,_,00190,1
L521__00180.1,8.943990810187245,39.277813495000004,L521,_,00180,1
L521__00170.1,8.937320586614554,39.282462914999996,L521,_,00170,1
L521__00160.1,8.916687103218432,39.28111551,L521,_,00160,1
L521__00150.1,8.905620986930648,39.27812593,L521,_,00150,1
L521__00140.1,8.89155111987914,39.27980324,L521,_,00140,1
L521__00130.1,8.97436692966896,39.28778799,L521,_,00130,1
L521__00090.1,8.909714801919026,39.28959817,L521,_,00090,1
L521__00070.1,8.967751733329113,39.2964828,L521,_,00070,1
L521__00050.1,8.947049421601923,39.296720005,L521,_,00050,1
L521__00040.1,8.936734648273823,39.297435039999996,L521,_,00040,1
L521__00020.1,8.940263802967902,39.30209291,L521,_,00020,1
L521__00010.10,8.945400473862541,39.30349407,L521,_,00010,10
L521__00690.10,8.904896484549827,39.169146455,L521,_,00690,10
L521__00680.10,8.903791151379576,39.177991649999996,L521,_,00680,10
L521__00670.10,8.883412588730787,39.162595235,L521,_,00670,10
L521__00660.10,8.866894541169664,39.158276085,L521,_,00660,10
L521__00650.10,8.846246430957166,39.162458665,L521,_,00650,10
L521__00640.10,8.907257118184923,39.189157515,L521,_,00640,10
L521__00630.10,8.88119994368056,39.18036025,L521,_,00630,10
L521__00610.10,8.96683867128986,39.191517024999996,L521,_,00610,10
L521__00590.10,8.971135972486618,39.194368815000004,L521,_,00590,10
L521__00580.10,8.963073109622242,39.199761769999995,L521,_,00580,10
L521__00550.10,8.912896149188366,39.198170860000005,L521,_,00550,10
L521__00540.10,8.913284812419892,39.206818055,L521,_,00540,10
L521__00530.10,8.885823036813296,39.207339700000006,L521,_,00530,10
L521__00520.10,8.860025025609652,39.204912965000005,L521,_,00520,10
L521__00490.10,8.941346162234922,39.217094755000005,L521,_,00490,10
L521__00480.10,8.929674926268973,39.22691709,L521,_,00480,10
L521__00450.10,8.871971252093779,39.217500185000006,L521,_,00450,10
L521__00430.10,8.962290793081493,39.25197421,L521,_,00430,10
L521__00420.10,8.934974330679205,39.24209315,L521,_,00420,10
L521__00410.10,8.928049569339919,39.228621935,L521,_,00410,10
L521__00400.10,8.890816112874278,39.235012425,L521,_,00400,10
L521__00390.10,8.879555576651104,39.23279896,L521,_,00390,10
L521__00380.10,8.872319133808602,39.231439699999996,L521,_,00380,10
L521__00370.10,8.965836115752325,39.25592849,L521,_,00370,10
L521__00360.10,8.970164532429584,39.262891194999995,L521,_,00360,10
L521__00340.10,8.95110958830701,39.262001615,L521,_,00340,10
L521__00330.10,8.944567915179132,39.25873058,L521,_,00330,10
L521__00280.10,8.883088040907147,39.251983429999996,L521,_,00280,10
L521__00240.10,8.932768318305401,39.271101470000005,L521,_,00240,10
L521__00230.10,8.926400343764046,39.27180501,L521,_,00230,10
L521__00220.10,8.897976483404026,39.26318681,L521,_,00220,10
L521__00200.10,8.966099828572155,39.28097314,L521,_,00200,10
L521__00180.10,8.933037024583598,39.27604265,L521,_,00180,10
L521__00160.10,8.92149938266875,39.279018835,L521,_,00160,10
L521__00150.10,8.911433667922948,39.277085764999995,L521,_,00150,10
L521__00140.10,8.889504057255765,39.278900785000005,L521,_,00140,10
L521__0012.10,8.957702237527123,39.289294905000006,L521,_,0012,10
L521__00110.10,8.940826392471028,39.28326785,L521,_,00110,10
L521__00080.10,8.901751875722255,39.287625515,L521,_,00080,10
L521__00060.10,8.954836898682032,39.302935485000006,L521,_,00060,10
L521__00030.10,8.915035400987417,39.290836495,L521,_,00030,10
L521__00010.100,8.948056230336643,39.301813890000005,L521,_,00010,100
L521__00640.100,8.921357312162232,39.176404309999995,L521,_,00640,100
L521__00610.100,8.970027403586462,39.189869805,L521,_,00610,100
L521__00600.100,8.95487624390935,39.192993425,L521,_,00600,100
L521__00570.100,8.946105179312786,39.202926665,L521,_,00570,100
L521__00550.100,8.932504543442278,39.195974625,L521,_,00550,100
L521__00530.100,8.887547663794354,39.208985525,L521,_,00530,100
L521__00480.100,8.93291905962953,39.22716926,L521,_,00480,100
L521__00470.100,8.893302751966708,39.220228705,L521,_,00470,100
L521__00450.100,8.871086533226304,39.227901555,L521,_,00450,100
L521__00420.100,8.92886946943375,39.242671825,L521,_,00420,100
L521__00400.100,8.887341710403604,39.233915415,L521,_,00400,100
L521__00390.100,8.89383859031839,39.245302285,L521,_,00390,100
L521__00360.100,8.974504412229729,39.262809175,L521,_,00360,100
L521__00350.100,8.964739772634784,39.256102014999996,L521,_,00350,100
L521__00340.100,8.955408649836542,39.26300147,L521,_,00340,100
L521__00310.100,8.925453851576506,39.25628229,L521,_,00310,100
L521__00270.100,8.88273017196217,39.254675915,L521,_,00270,100
L521__00260.100,8.9596544802531,39.26787525,L521,_,00260,100
L521__00250.100,8.939569358946512,39.263274445,L521,_,00250,100
L521__00230.100,8.916193736672577,39.271532664999995,L521,_,00230,100
L521__00220.100,8.896990671601142,39.260848045,L521,_,00220,100
L521__00210.100,8.887479947000001,39.261633425,L521,_,00210,100
L521__00190.100,8.95280785682473,39.27679064,L521,_,00190,100
L521__00170.100,8.933885039539135,39.278798644999995,L521,_,00170,100
L521__00160.100,8.911317249222943,39.274582305,L521,_,00160,100
L521__00150.100,8.904219211238253,39.270574374999995,L521,_,00150,100
L521__00140.100,8.885344231710114,39.27307084,L521,_,00140,100
L521__0012.100,8.955592496205263,39.28747739000001,L521,_,0012,100
L521__00100.100,8.934387029996966,39.287401125,L521,_,00100,100
L521__00090.100,8.908105747763923,39.279874050000004,L521,_,00090,100
L521__00080.100,8.90274513792561,39.280110750000006,L521,_,00080,100
L521__00070.100,8.965468925481442,39.288872855,L521,_,00070,100
L521__00040.100,8.943723134297887,39.29526065,L521,_,00040,100
L521__00020.100,8.940867192754649,39.30153963,L521,_,00020,100
L521__00040.1000,8.936175612006934,39.29347964,L521,_,00040,1000
L521__00370.1000,8.971327271446885,39.253775954999995,L521,_,00370,1000
L521__0012.1000,8.960394733951613,39.28853203,L521,_,0012,1000
L521__00110.1000,8.957487407907916,39.2846634,L521,_,00110,1000
L521__00060.1000,8.960167144092006,39.29561943,L521,_,00060,1000
L521__00050.1000,8.950428737944312,39.294592800000004,L521,_,00050,1000
L521__00010.1001,8.944488950528221,39.29927735,L521,_,00010,1001
L521__0012.1001,8.960393335027465,39.288486535000004,L521,_,0012,1001
L521__00060.1001,8.960121436519717,39.296050685,L521,_,00060,1001
L521__00040.1001,8.935567942663203,39.293606464999996,L521,_,00040,1001
L521__00010.1002,8.943934752731542,39.300728475,L521,_,00010,1002
L521__00110.1002,8.957609295924456,39.2844101,L521,_,00110,1002
L521__00060.1002,8.960239266372325,39.295908815000004,L521,_,00060,1002
L521__00040.1002,8.935136130835481,39.293732765,L521,_,00040,1002
L521__00010.1003,8.944059010643636,39.300936625000006,L521,_,00010,1003
L521__0012.1003,8.960536748444927,39.288511935,L521,_,0012,1003
L521__00110.1003,8.956773976958965,39.284894305,L521,_,00110,1003
L521__00060.1003,8.960315226380832,39.295746879999996,L521,_,00060,1003
L521__00040.1003,8.93617839830263,39.293965654999994,L521,_,00040,1003
L521__00040.1004,8.940669161970352,39.293155925,L521,_,00040,1004
L521__00060.1004,8.960365127524009,39.295856455,L521,_,00060,1004
L521__00040.1005,8.940338988644802,39.29317517,L521,_,00040,1005
L521__0012.1005,8.960578839500723,39.288601935,L521,_,0012,1005
L521__00060.1005,8.959304599605371,39.29591196,L521,_,00060,1005
L521__00050.1005,8.950917724757929,39.294153945000005,L521,_,00050,1005
L521__00010.1006,8.943316203167308,39.29841534,L521,_,00010,1006
L521__0012.1006,8.960908219553776,39.288351395,L521,_,0012,1006
L521__00040.1006,8.940076475506963,39.293273535,L521,_,00040,1006
L521__00010.1007,8.944675007603134,39.297520605,L521,_,00010,1007
L521__00040.1007,8.939836386778644,39.293333884999996,L521,_,00040,1007
L521__00010.1008,8.948846671454751,39.29678376,L521,_,00010,1008
L521__00120.1008,8.960861650051456,39.284227810000004,L521,_,00120,1008
L521__00060.1008,8.959014564446074,39.295220799999996,L521,_,00060,1008
L521__00040.1008,8.93953117457444,39.29314144,L521,_,00040,1008
L521__00060.1009,8.959575459587843,39.295697450000006,L521,_,00060,1009
L521__00120.1009,8.960780835604144,39.28386545,L521,_,00120,1009
L521__00110.1009,8.957013170946539,39.28454433,L521,_,00110,1009
L521__00020.101,8.940397435994608,39.301636439999996,L521,_,00020,101
L521__00640.101,8.92130010045003,39.17674681,L521,_,00640,101
L521__00610.101,8.96819062068404,39.18954368,L521,_,00610,101
L521__00600.101,8.954284597322903,39.191613325,L521,_,00600,101
L521__00570.101,8.949865264999273,39.2013207,L521,_,00570,101
L521__00550.101,8.932379350460206,39.19579725,L521,_,00550,101
L521__00530.101,8.8906729560535,39.20902579,L521,_,00530,101
L521__00470.101,8.898210806936284,39.222952505,L521,_,00470,101
L521__00450.101,8.868789612037066,39.227597255,L521,_,00450,101
