nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L532__00020.1,15.896299394854424,40.698305625,L532,_,00020,1
L532__00410.1,15.943186533275238,40.647682985,L532,_,00410,1
L532__00390.1,15.966540303877562,40.650525325000004,L532,_,00390,1
L532__00380.1,15.933795721303735,40.654773160000005,L532,_,00380,1
L532__00370.1,15.967682490649171,40.661819005,L532,_,00370,1
L532__00360.1,15.963558284969912,40.66024892,L532,_,00360,1
L532__00350.1,15.958112017046473,40.663426564999995,L532,_,00350,1
L532__00340.1,15.937911847241242,40.65963151,L532,_,00340,1
L532__00330.1,15.92060961125303,40.659240409999995,L532,_,00330,1
L532__00320.1,15.916192192550733,40.661022875,L532,_,00320,1
L532__00310.1,15.89743788285138,40.659568975,L532,_,00310,1
L532__00280.1,15.958126034156702,40.669898245,L532,_,00280,1
L532__00270.1,15.942030275875114,40.663876385,L532,_,00270,1
L532__00260.1,15.924318939397006,40.667975685,L532,_,00260,1
L532__00250.1,15.942031591387549,40.671730075,L532,_,00250,1
L532__00240.1,15.933038688961702,40.673127635,L532,_,00240,1
L532__00230.1,15.921718709503782,40.668655035,L532,_,00230,1
L532__00220.1,15.917829820344448,40.668713295,L532,_,00220,1
L532__00210.1,15.916047045432403,40.672722655,L532,_,00210,1
L532__00190.1,15.885074852505102,40.670270114999994,L532,_,00190,1
L532__00180.1,15.918685067328607,40.677109145,L532,_,00180,1
L532__00160.1,15.927354320363696,40.681667385,L532,_,00160,1
L532__00140.1,15.906959565005833,40.678844915,L532,_,00140,1
L532__00130.1,15.897948934958816,40.678130595,L532,_,00130,1
L532__00110.1,15.878200146106199,40.685760545,L532,_,00110,1
L532__00090.1,15.941093561031266,40.69122931,L532,_,00090,1
L532__00080.1,15.931666914264706,40.690717925,L532,_,00080,1
L532__00070.1,15.90228391511721,40.68703458,L532,_,00070,1
L532__00050.1,15.940171488347861,40.700371335,L532,_,00050,1
L532__00030.1,15.908455691609504,40.69279127,L532,_,00030,1
L532__00010.10,15.876464833986894,40.701004315000006,L532,_,00010,10
L532__00380.10,15.933362287964826,40.652823745,L532,_,00380,10
L532__00360.10,15.964764317204208,40.659032385,L532,_,00360,10
L532__00350.10,15.959594855674428,40.65911583,L532,_,00350,10
L532__00330.10,15.919906753364682,40.65815804,L532,_,00330,10
L532__00320.10,15.91842595957188,40.661544320000004,L532,_,00320,10
L532__00270.10,15.946989229156257,40.664595629999994,L532,_,00270,10
L532__00260.10,15.925949016454766,40.66633631,L532,_,00260,10
L532__00250.10,15.94446584220886,40.666988455,L532,_,00250,10
L532__00240.10,15.926618252409241,40.670227589999996,L532,_,00240,10
L532__00230.10,15.921288481545753,40.668619945,L532,_,00230,10
L532__00220.10,15.918150407256878,40.66832856,L532,_,00220,10
L532__00210.10,15.91633794020709,40.6706882,L532,_,00210,10
L532__00180.10,15.918806817097053,40.674561870000005,L532,_,00180,10
L532__00170.10,15.943876527819874,40.680556335,L532,_,00170,10
L532__00150.10,15.910762627882264,40.681246715,L532,_,00150,10
L532__00140.10,15.909612358496439,40.67817961,L532,_,00140,10
L532__00120.10,15.886694641019535,40.682123995,L532,_,00120,10
L532__00100.10,15.94862866667397,40.68393212,L532,_,00100,10
L532__00090.10,15.943644870326752,40.691188045000004,L532,_,00090,10
L532__00050.10,15.93706056596302,40.697500855,L532,_,00050,10
L532__00040.10,15.930516211212776,40.693666715000006,L532,_,00040,10
L532__00030.10,15.909677609353022,40.6918444,L532,_,00030,10
L532__00020.10,15.901651212197745,40.695688520000004,L532,_,00020,10
L532__00020.100,15.899609937482772,40.697728375,L532,_,00020,100
L532__00410.100,15.94171347743563,40.642765735,L532,_,00410,100
L532__00400.100,15.93389299683827,40.646881844999996,L532,_,00400,100
L532__00390.100,15.97408744489164,40.652562259999996,L532,_,00390,100
L532__00380.100,15.933874696816527,40.650444995,L532,_,00380,100
L532__00370.100,15.972307624362728,40.656774975,L532,_,00370,100
L532__00360.100,15.963357764558099,40.650157355000005,L532,_,00360,100
L532__00350.100,15.95416080280485,40.658876625000005,L532,_,00350,100
L532__00330.100,15.932718369360014,40.65736603,L532,_,00330,100
L532__00320.100,15.919631641791774,40.65927537,L532,_,00320,100
L532__00310.100,15.900703660640009,40.65635794000001,L532,_,00310,100
L532__00300.100,15.895465521387639,40.6560068,L532,_,00300,100
L532__00290.100,15.882405902042652,40.658581760000004,L532,_,00290,100
L532__00280.100,15.959929979743078,40.67002788,L532,_,00280,100
L532__00270.100,15.951760858797646,40.663854895,L532,_,00270,100
L532__00260.100,15.923505379773518,40.659178565000005,L532,_,00260,100
L532__00250.100,15.943155054358204,40.66481385,L532,_,00250,100
L532__00230.100,15.923548738286176,40.666103915,L532,_,00230,100
L532__00220.100,15.918883707010977,40.668456809999995,L532,_,00220,100
L532__00210.100,15.9156413689517,40.669070445,L532,_,00210,100
L532__00180.100,15.921475542818845,40.671711834999996,L532,_,00180,100
L532__00170.100,15.941024427286202,40.680215555000004,L532,_,00170,100
L532__00160.100,15.932770960011643,40.674706615000005,L532,_,00160,100
L532__00140.100,15.911291606528685,40.67342403,L532,_,00140,100
L532__00130.100,15.900709394149182,40.672620235,L532,_,00130,100
L532__0010.100,15.95994198391363,40.67255557,L532,_,0010,100
L532__00090.100,15.944269959579525,40.685543045,L532,_,00090,100
L532__00080.100,15.935245874617346,40.686014279999995,L532,_,00080,100
