nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L653__00010.1,12.719194184017242,43.102247875,L653,_,00010,1
L653__00450.1,12.78357931600345,43.03408228,L653,_,00450,1
L653__00430.1,12.792851764685352,43.0430928,L653,_,00430,1
L653__00420.1,12.780049543169124,43.04068985000001,L653,_,00420,1
L653__00410.1,12.770022392992782,43.047925135,L653,_,00410,1
L653__00400.1,12.767079100535968,43.041075475,L653,_,00400,1
L653__00390.1,12.758883839977177,43.03929117,L653,_,00390,1
L653__00380.1,12.758761573946341,43.046485704999995,L653,_,00380,1
L653__00370.1,12.744012570209511,43.04725673,L653,_,00370,1
L653__00360.1,12.735161210701158,43.043114465,L653,_,00360,1
L653__00350.1,12.71771585654114,43.045568105,L653,_,00350,1
L653__00340.1,12.787931086788095,43.049849374999994,L653,_,00340,1
L653__00330.1,12.789778052075624,43.058461625,L653,_,00330,1
L653__00320.1,12.784373029959761,43.05632456,L653,_,00320,1
L653__00310.1,12.779049016255321,43.04923711,L653,_,00310,1
L653__00300.1,12.768299575563438,43.056837494999996,L653,_,00300,1
L653__00290.1,12.757712208201063,43.052439590000006,L653,_,00290,1
L653__00280.1,12.740778661205466,43.05415465,L653,_,00280,1
L653__00270.1,12.732452739314645,43.051298755000005,L653,_,00270,1
L653__00260.1,12.72089019058583,43.054134595,L653,_,00260,1
L653__00250.1,12.788745589680184,43.068292535,L653,_,00250,1
L653__00240.1,12.769465467909807,43.063964670000004,L653,_,00240,1
L653__00230.1,12.75527382229389,43.061218464999996,L653,_,00230,1
L653__00220.1,12.759776548557447,43.067842569999996,L653,_,00220,1
L653__00210.1,12.746732374317276,43.068981730000004,L653,_,00210,1
L653__00200.1,12.730348379203004,43.06289909,L653,_,00200,1
L653__00190.1,12.72903052375528,43.066969099999994,L653,_,00190,1
L653__00170.1,12.72039482857421,43.074448745,L653,_,00170,1
L653__00160.1,12.786929868898403,43.077606625,L653,_,00160,1
L653__00150.1,12.777828798439785,43.07331018,L653,_,00150,1
L653__00140.1,12.767206741324966,43.07393038,L653,_,00140,1
L653__00130.1,12.747989184430331,43.074680735,L653,_,00130,1
L653__00120.1,12.740697654329384,43.075036845,L653,_,00120,1
L653__00110.1,12.735234408110479,43.076114024999995,L653,_,00110,1
L653__00100.1,12.728996642295838,43.08036594,L653,_,00100,1
L653__00090.1,12.781778932998353,43.083020239999996,L653,_,00090,1
L653__00080.1,12.764567241578906,43.081136154999996,L653,_,00080,1
L653__00070.1,12.75439019415624,43.087726795,L653,_,00070,1
L653__00040.1,12.727687228425523,43.089779485,L653,_,00040,1
L653__00030.1,12.71752169572252,43.08846379,L653,_,00030,1
L653__00020.1,12.725013256895474,43.096158110000005,L653,_,00020,1
L653__00010.10,12.717676325337209,43.0980912,L653,_,00010,10
L653__00450.10,12.783973615510444,43.033216895,L653,_,00450,10
L653__00440.10,12.779435193845002,43.03257509,L653,_,00440,10
L653__00430.10,12.787532431465245,43.035248554999995,L653,_,00430,10
L653__00420.10,12.781192147944633,43.03874524,L653,_,00420,10
L653__00410.10,12.769969657115713,43.04723176500001,L653,_,00410,10
L653__00400.10,12.768288603260832,43.037264615,L653,_,00400,10
L653__00390.10,12.757942101089743,43.038045625,L653,_,00390,10
L653__00380.10,12.760092793789813,43.045783459999996,L653,_,00380,10
L653__00370.10,12.753186092310521,43.047043335,L653,_,00370,10
L653__00360.10,12.734506113057428,43.041606555,L653,_,00360,10
L653__00350.10,12.728571198668458,43.045539305000005,L653,_,00350,10
L653__00340.10,12.78572978300111,43.047580915,L653,_,00340,10
L653__00330.10,12.796895865570624,43.057759295,L653,_,00330,10
L653__00320.10,12.78203998206094,43.05498016,L653,_,00320,10
L653__00310.10,12.777432002433073,43.048915859999994,L653,_,00310,10
L653__00300.10,12.777195889484304,43.056099759999995,L653,_,00300,10
L653__00290.10,12.761999607134886,43.052697955,L653,_,00290,10
L653__00280.10,12.743027289736006,43.054593815000004,L653,_,00280,10
L653__00270.10,12.736790046812214,43.051111575,L653,_,00270,10
L653__00260.10,12.728820623211234,43.0526636,L653,_,00260,10
L653__00250.10,12.792676142406384,43.067277114999996,L653,_,00250,10
L653__00240.10,12.776445928546256,43.064521209999995,L653,_,00240,10
L653__00230.10,12.75778884587972,43.06079052,L653,_,00230,10
L653__00220.10,12.762065832755049,43.067805945,L653,_,00220,10
L653__00210.10,12.74749211212746,43.06743514,L653,_,00210,10
L653__00200.10,12.731338693426142,43.059910545,L653,_,00200,10
L653__00190.10,12.733030292154586,43.064537015,L653,_,00190,10
L653__00170.10,12.71671040003705,43.071670145,L653,_,00170,10
L653__00160.10,12.783092184557745,43.07672005,L653,_,00160,10
L653__00150.10,12.780427894050058,43.072344375,L653,_,00150,10
L653__00140.10,12.773246738036413,43.072690775,L653,_,00140,10
L653__00130.10,12.749076693414773,43.07401729,L653,_,00130,10
L653__00120.10,12.745378968696336,43.074004759999994,L653,_,00120,10
L653__00110.10,12.735860597817068,43.074101825,L653,_,00110,10
L653__00100.10,12.72567395086291,43.07770209,L653,_,00100,10
L653__00090.10,12.78096487721049,43.081831065,L653,_,00090,10
L653__00070.10,12.749695757217218,43.08460424,L653,_,00070,10
L653__00050.10,12.738411086825423,43.089858425,L653,_,00050,10
L653__00040.10,12.73614013965094,43.091299879999994,L653,_,00040,10
L653__00030.10,12.721457560231384,43.08706109,L653,_,00030,10
L653__00020.10,12.732255544996754,43.095890350000005,L653,_,00020,10
L653__00050.100,12.74433738431006,43.084106434999995,L653,_,00050,100
L653__00450.100,12.783370177807697,43.03083029,L653,_,00450,100
L653__00440.100,12.781792632678926,43.029126755,L653,_,00440,100
L653__00390.100,12.763773006808162,43.038559095,L653,_,00390,100
L653__00380.100,12.758881285446892,43.043508425,L653,_,00380,100
L653__00370.100,12.753265723335822,43.044328465,L653,_,00370,100
L653__00360.100,12.728213192991312,43.038788975,L653,_,00360,100
L653__00320.100,12.780409531877941,43.04858069,L653,_,00320,100
L653__00310.100,12.787709007630863,43.042315555,L653,_,00310,100
L653__00290.100,12.763134255339523,43.047089310000004,L653,_,00290,100
L653__00270.100,12.733395153947436,43.045466239999996,L653,_,00270,100
L653__00260.100,12.724528815066055,43.04512381,L653,_,00260,100
L653__00240.100,12.780228227656465,43.056793279999994,L653,_,00240,100
L653__00220.100,12.758149442941287,43.064172565,L653,_,00220,100
L653__00210.100,12.742699209778074,43.06351014,L653,_,00210,100
L653__00200.100,12.72801727093017,43.05496948,L653,_,00200,100
L653__00180.100,12.722373518663776,43.0565002,L653,_,00180,100
L653__00170.100,12.715147466259083,43.066419284999995,L653,_,00170,100
L653__00160.100,12.793151488921591,43.073090195,L653,_,00160,100
L653__00150.100,12.777423572029006,43.065330665000005,L653,_,00150,100
L653__00140.100,12.768133238454773,43.0715444,L653,_,00140,100
L653__00120.100,12.73608722458036,43.066069275000004,L653,_,00120,100
L653__00090.100,12.77844753307738,43.07585263,L653,_,00090,100
L653__00080.100,12.772632910342466,43.077866584999995,L653,_,00080,100
L653__00070.100,12.75714281300835,43.081041275000004,L653,_,00070,100
L653__00060.100,12.749174600586695,43.077265354999994,L653,_,00060,100
L653__00080.1001,12.764582199337486,43.075495995,L653,_,00080,1001
L653__00370.1001,12.751770306841877,43.04152735,L653,_,00370,1001
L653__00220.1001,12.76099240267947,43.06760104,L653,_,00220,1001
L653__00210.1002,12.747822031350227,43.05883247,L653,_,00210,1002
L653__00280.1002,12.753876391940363,43.04968726,L653,_,00280,1002
L653__00220.1002,12.760917737211013,43.068107444999995,L653,_,00220,1002
L653__00210.1003,12.742196587807733,43.063586515,L653,_,00210,1003
L653__00280.1003,12.7539630464852,43.049677855,L653,_,00280,1003
L653__00220.1003,12.760235403363259,43.06862027,L653,_,00220,1003
L653__00080.1004,12.765480310712983,43.075734425,L653,_,00080,1004
L653__00220.1004,12.760139558408296,43.068402425,L653,_,00220,1004
L653__00210.1004,12.741930290541745,43.063679725,L653,_,00210,1004
L653__00080.1005,12.775601725149516,43.079843735,L653,_,00080,1005
L653__00280.1005,12.754245136674315,43.049773345000006,L653,_,00280,1005
L653__00210.1005,12.748217303555961,43.05866742,L653,_,00210,1005
L653__00080.1006,12.775387698662946,43.08056379,L653,_,00080,1006
L653__00280.1006,12.754437905891834,43.04964606,L653,_,00280,1006
L653__00210.1006,12.748212398691011,43.059235255,L653,_,00210,1006
L653__00080.1007,12.765022869242475,43.075827024999995,L653,_,00080,1007
L653__00280.1007,12.7536669380431,43.050035019999996,L653,_,00280,1007
L653__00210.1007,12.744173058858504,43.065888715,L653,_,00210,1007
L653__00070.1008,12.754356943873157,43.075216725000004,L653,_,00070,1008
L653__00280.1008,12.753804754697747,43.0499409,L653,_,00280,1008
L653__00210.1008,12.744107096346495,43.06595574,L653,_,00210,1008
