nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L702__00040.1,10.317208845160348,43.82267885500001,L702,_,00040,1
L702__00390.1,10.32800831595032,43.769314789999996,L702,_,00390,1
L702__00380.1,10.307036415316409,43.764945235,L702,_,00380,1
L702__00350.1,10.390890291965908,43.794254589999994,L702,_,00350,1
L702__00330.1,10.389073156538139,43.783180185,L702,_,00330,1
L702__00320.1,10.382634087312404,43.783155609999994,L702,_,00320,1
L702__00300.1,10.38223110001499,43.79312933,L702,_,00300,1
L702__00290.1,10.369720209940294,43.789884215,L702,_,00290,1
L702__00270.1,10.342603601763336,43.77492041,L702,_,00270,1
L702__00250.1,10.396437386850902,43.80055408,L702,_,00250,1
L702__00240.1,10.37501091788229,43.80124643,L702,_,00240,1
L702__00230.1,10.367911368898607,43.803336765,L702,_,00230,1
L702__00220.1,10.35370417946335,43.796609215000004,L702,_,00220,1
L702__00210.1,10.348356679273493,43.78808714,L702,_,00210,1
L702__00180.1,10.297033692098477,43.779974205,L702,_,00180,1
L702__00160.1,10.276493934020337,43.777556925,L702,_,00160,1
L702__00150.1,10.38840699161459,43.808143365,L702,_,00150,1
L702__00140.1,10.373903761902394,43.80642976,L702,_,00140,1
L702__00130.1,10.364509114518572,43.80577404,L702,_,00130,1
L702__00120.1,10.34025642141037,43.8137957,L702,_,00120,1
L702__00110.1,10.301410287901948,43.79019862,L702,_,00110,1
L702__00100.1,10.266791947477792,43.790004005,L702,_,00100,1
L702__00080.1,10.404619805647453,43.820790465,L702,_,00080,1
L702__00070.1,10.387931220405072,43.817226925,L702,_,00070,1
L702__00060.1,10.370484743379322,43.81369972,L702,_,00060,1
L702__00050.1,10.353112997070234,43.8146872,L702,_,00050,1
L702__00010.10,10.275751678557665,43.810306374999996,L702,_,00010,10
L702__00410.10,10.326785171625858,43.75139877,L702,_,00410,10
L702__00400.10,10.321552894794024,43.759463435,L702,_,00400,10
L702__00380.10,10.308690965825008,43.7686968,L702,_,00380,10
L702__00370.10,10.303879564025067,43.760196245,L702,_,00370,10
L702__00360.10,10.403539523704277,43.792023154999995,L702,_,00360,10
L702__00350.10,10.397060723107995,43.79375768,L702,_,00350,10
L702__00330.10,10.389524729246496,43.78294109,L702,_,00330,10
L702__00320.10,10.382873319011724,43.78293425,L702,_,00320,10
L702__00310.10,10.388156815305177,43.786261405000005,L702,_,00310,10
L702__00300.10,10.389215308589824,43.792456465,L702,_,00300,10
L702__00290.10,10.371729636738774,43.78893932,L702,_,00290,10
L702__00270.10,10.345575510880723,43.77420212,L702,_,00270,10
L702__00260.10,10.339096930301253,43.775026435,L702,_,00260,10
L702__00250.10,10.398590636169526,43.800957839999995,L702,_,00250,10
L702__00240.10,10.382330119333997,43.800618685,L702,_,00240,10
L702__00230.10,10.369750536109038,43.801836795,L702,_,00230,10
L702__00220.10,10.35219295185324,43.794750660000005,L702,_,00220,10
L702__00210.10,10.356161308873915,43.78678703,L702,_,00210,10
L702__00200.10,10.346710359271,43.78779505999999,L702,_,00200,10
L702__00180.10,10.303652951863784,43.775359955,L702,_,00180,10
L702__00160.10,10.284295257918384,43.7760606,L702,_,00160,10
L702__00150.10,10.391150079774622,43.80782168,L702,_,00150,10
L702__00140.10,10.374055527070418,43.806052645,L702,_,00140,10
L702__00130.10,10.366076264157847,43.804621275,L702,_,00130,10
L702__00120.10,10.339370492065779,43.791053755,L702,_,00120,10
L702__00110.10,10.316003586696938,43.787955905000004,L702,_,00110,10
L702__00100.10,10.274151724756829,43.778894605000005,L702,_,00100,10
L702__00090.10,10.406580236521352,43.826006844999995,L702,_,00090,10
L702__00070.10,10.392616830707968,43.817614840000005,L702,_,00070,10
L702__00060.10,10.376008336966388,43.81307746,L702,_,00060,10
L702__00050.10,10.361819607945247,43.81174281,L702,_,00050,10
L702__00020.10,10.291763630258849,43.822814495,L702,_,00020,10
L702__00010.100,10.266480845108177,43.816614875,L702,_,00010,100
L702__00400.100,10.313007291059494,43.758764555,L702,_,00400,100
L702__00360.100,10.40795796590201,43.792324359999995,L702,_,00360,100
L702__00350.100,10.395995019254888,43.789145250000004,L702,_,00350,100
L702__00340.100,10.39672717302988,43.781016075,L702,_,00340,100
L702__00330.100,10.388506801546828,43.78137859,L702,_,00330,100
L702__00320.100,10.383833604933407,43.78210567,L702,_,00320,100
L702__00310.100,10.384736846212185,43.784559,L702,_,00310,100
L702__00300.100,10.38307117392804,43.791856304999996,L702,_,00300,100
L702__00290.100,10.379758524990184,43.785893505000004,L702,_,00290,100
L702__00270.100,10.348143214104653,43.769624095,L702,_,00270,100
L702__00250.100,10.407052603838498,43.793770820000006,L702,_,00250,100
L702__00240.100,10.384026289491842,43.794223355,L702,_,00240,100
L702__00230.100,10.372883930185004,43.796269315,L702,_,00230,100
L702__00220.100,10.357482541828695,43.791011850000004,L702,_,00220,100
L702__00150.100,10.400736885388849,43.80562023,L702,_,00150,100
L702__00140.100,10.375565148506986,43.804700265,L702,_,00140,100
L702__00120.100,10.349288542173003,43.803481579999996,L702,_,00120,100
L702__00110.100,10.326381387141247,43.799261939999994,L702,_,00110,100
L702__00100.100,10.279504767363793,43.78088004999999,L702,_,00100,100
L702__00090.100,10.409892276183758,43.824010924999996,L702,_,00090,100
L702__00080.100,10.408209959061928,43.81689369,L702,_,00080,100
L702__00070.100,10.398862364761696,43.81658457,L702,_,00070,100
L702__00060.100,10.386356645683659,43.81288681,L702,_,00060,100
L702__00050.100,10.352781828741161,43.80587455,L702,_,00050,100
L702__00040.100,10.341155868687373,43.818047245,L702,_,00040,100
L702__00030.100,10.319501107089982,43.80112609,L702,_,00030,100
L702__00020.100,10.288177183873628,43.81843623,L702,_,00020,100
L702__0008.1000,10.402418438050812,43.81356221,L702,_,0008,1000
L702__00330.1000,10.387629913467354,43.7819857,L702,_,00330,1000
L702__00290.1000,10.374010308902633,43.785978345000004,L702,_,00290,1000
L702__00270.1000,10.345581836805593,43.769479585,L702,_,00270,1000
L702__00270.1001,10.345350496021503,43.769728670000006,L702,_,00270,1001
L702__00360.1001,10.408207374852093,43.791668830000006,L702,_,00360,1001
L702__00290.1001,10.375027039828385,43.785498149999995,L702,_,00290,1001
L702__00070.1002,10.40017412958511,43.80894707,L702,_,00070,1002
L702__00360.1002,10.40795345847712,43.791327679999995,L702,_,00360,1002
L702__00310.1002,10.389237052361304,43.785271054999995,L702,_,00310,1002
L702__00290.1002,10.37425175762893,43.786139995,L702,_,00290,1002
L702__00270.1002,10.345757602514482,43.769633565,L702,_,00270,1002
L702__0008.1002,10.406713416039068,43.813499335,L702,_,0008,1002
L702__00070.1003,10.400424166429776,43.8089728,L702,_,00070,1003
L702__00360.1003,10.40355089516924,43.79253341,L702,_,00360,1003
L702__00330.1003,10.387659873780732,43.782325365,L702,_,00330,1003
L702__00310.1003,10.388696823832774,43.784788000000006,L702,_,00310,1003
L702__00290.1003,10.377710986035767,43.782541675000004,L702,_,00290,1003
L702__0008.1003,10.406450731094877,43.81336806,L702,_,0008,1003
L702__0008.1004,10.40311366541386,43.81428752,L702,_,0008,1004
L702__00360.1004,10.410993536753613,43.790212845,L702,_,00360,1004
L702__00330.1004,10.38739198798087,43.782011665,L702,_,00330,1004
L702__00310.1004,10.389266240856449,43.784648565,L702,_,00310,1004
L702__00290.1004,10.37759012462378,43.78230288,L702,_,00290,1004
L702__00270.1004,10.346058528712257,43.768924575,L702,_,00270,1004
L702__00070.1005,10.392262857062896,43.816582625,L702,_,00070,1005
L702__00360.1005,10.407238056283868,43.79197761,L702,_,00360,1005
L702__00330.1005,10.387424903217703,43.782404265,L702,_,00330,1005
L702__00310.1005,10.388706842037902,43.784286449999996,L702,_,00310,1005
L702__0029.1005,10.363307771217421,43.78490319,L702,_,0029,1005
L702__0008.1005,10.403185781756616,43.814497595,L702,_,0008,1005
L702__00070.1006,10.392305955938106,43.81727216,L702,_,00070,1006
L702__00360.1006,10.407683330013828,43.792185535,L702,_,00360,1006
L702__00330.1006,10.387206452528169,43.78239737,L702,_,00330,1006
L702__00310.1006,10.388708179945025,43.78463148,L702,_,00310,1006
L702__00290.1006,10.368939096821602,43.78517782,L702,_,00290,1006
L702__00270.1006,10.346197695286907,43.76938397,L702,_,00270,1006
L702__00080.1007,10.402137964031713,43.81020481,L702,_,00080,1007
L702__00310.1007,10.389198784702316,43.785081524999995,L702,_,00310,1007
L702__0029.1007,10.367482461538193,43.785034499999995,L702,_,0029,1007
L702__00270.1007,10.34621439055076,43.769561205,L702,_,00270,1007
L702__00070.1008,10.392717575535965,43.816446245,L702,_,00070,1008
L702__00330.1008,10.387288569503902,43.782101600000004,L702,_,00330,1008
L702__00310.1008,10.388906984115604,43.784889585,L702,_,00310,1008
L702__0029.1008,10.36786699343401,43.785066195,L702,_,0029,1008
L702__00270.1008,10.346621504779517,43.769657795,L702,_,00270,1008
L702__00270.1009,10.346076905410243,43.76976298,L702,_,00270,1009
L702__00360.1009,10.412809657225456,43.787332504999995,L702,_,00360,1009
L702__00330.1009,10.386717758141895,43.780617025,L702,_,00330,1009
L702__00310.1009,10.386727054158307,43.782392064999996,L702,_,00310,1009
L702__0029.1009,10.368073757489226,43.785001015,L702,_,0029,1009
L702__00010.101,10.26737971003724,43.817001954999995,L702,_,00010,101
L702__00400.101,10.310249713497553,43.75767484,L702,_,00400,101
L702__00390.101,10.338914777237957,43.763586849999996,L702,_,00390,101
L702__00350.101,10.395143218123991,43.788787979999995,L702,_,00350,101
L702__00340.101,10.396709509572808,43.780888775,L702,_,00340,101
L702__00330.101,10.388560403583948,43.78122526,L702,_,00330,101
L702__00310.101,10.385095661634363,43.78447655,L702,_,00310,101
L702__00290.101,10.379485797309174,43.78514603,L702,_,00290,101
L702__00270.101,10.347902654160713,43.769563835,L702,_,00270,101
L702__00240.101,10.38666377119717,43.79754506,L702,_,00240,101
L702__00230.101,10.372880450056954,43.795808539999996,L702,_,00230,101
L702__00220.101,10.359006432987313,43.79034383,L702,_,00220,101
L702__00150.101,10.4005518878303,43.80601771,L702,_,00150,101
L702__00140.101,10.376319101698371,43.804738035,L702,_,00140,101
L702__00120.101,10.349726289553132,43.80321016,L702,_,00120,101
L702__00110.101,10.327344841407111,43.798174509999996,L702,_,00110,101
L702__00100.101,10.278495040397114,43.78192714,L702,_,00100,101
L702__00090.101,10.410036327181661,43.823989865,L702,_,00090,101
L702__00080.101,10.407854421347638,43.817234299999996,L702,_,00080,101
L702__00070.101,10.39901056226508,43.81640755,L702,_,00070,101
L702__00060.101,10.387168179778815,43.81291581,L702,_,00060,101
L702__00050.101,10.35311348869299,43.805674635,L702,_,00050,101
L702__00030.101,10.32009082824884,43.805569205,L702,_,00030,101
L702__00020.101,10.284413661744864,43.816966675,L702,_,00020,101
L702__00070.1010,10.392991218431803,43.81640371,L702,_,00070,1010
L702__00360.1010,10.412702482823178,43.787217705,L702,_,00360,1010
L702__00310.1010,10.390897933601286,43.78306091,L702,_,00310,1010
L702__00270.1010,10.345619839670546,43.76985368,L702,_,00270,1010
L702__0008.1010,10.405362762721744,43.813057635,L702,_,0008,1010
L702__00070.1011,10.393397799882209,43.816679785000005,L702,_,00070,1011
L702__00360.1011,10.412788657973865,43.787266015,L702,_,00360,1011
L702__00310.1011,10.390859915265677,43.783027450000006,L702,_,00310,1011
L702__0008.1011,10.405313824774316,43.81284195,L702,_,0008,1011
L702__0007.1012,10.400605796134414,43.81113669,L702,_,0007,1012
L702__00360.1012,10.412708135698935,43.78716652999999,L702,_,00360,1012
L702__00330.1012,10.390801724295272,43.780324570000005,L702,_,00330,1012
L702__00310.1012,10.390834816603135,43.783005544999995,L702,_,00310,1012
L702__0029.1012,10.368002781761447,43.78578837,L702,_,0029,1012
L702__0008.1012,10.406124756753801,43.813558255,L702,_,0008,1012
L702__0007.1013,10.400710259537242,43.8110212,L702,_,0007,1013
L702__00310.1013,10.38417389046105,43.786215080000005,L702,_,00310,1013
L702__0029.1013,10.367206628827317,43.785459605,L702,_,0029,1013
L702__0029.1014,10.36741915865439,43.78537702,L702,_,0029,1014
L702__00360.1014,10.412835556094048,43.78730373,L702,_,00360,1014
L702__00330.1014,10.390637675725579,43.77878545,L702,_,00330,1014
L702__0029.1015,10.362916437072327,43.785314674999995,L702,_,0029,1015
