nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L797__00010.1,12.436282606383507,44.02740004,L797,_,00010,1
L797__00300.1,12.395753936916186,43.896055200000006,L797,_,00300,1
L797__00290.1,12.40641431836551,43.900382750000006,L797,_,00290,1
L797__00280.1,12.390253446376109,43.901157485,L797,_,00280,1
L797__00270.1,12.40136775836819,43.960414565,L797,_,00270,1
L797__00250.1,12.42997715062175,43.971893375,L797,_,00250,1
L797__00240.1,12.420294998463255,43.971141665000005,L797,_,00240,1
L797__00230.1,12.412171691809888,43.972313605,L797,_,00230,1
L797__00220.1,12.410362466395265,43.972320644999996,L797,_,00220,1
L797__00210.1,12.436765190057734,43.97723673,L797,_,00210,1
L797__00190.1,12.44348498766955,43.98828896,L797,_,00190,1
L797__00180.1,12.435043416758889,43.992698195,L797,_,00180,1
L797__00170.1,12.428940964900743,43.986471554999994,L797,_,00170,1
L797__00160.1,12.417895937910426,43.985972865,L797,_,00160,1
L797__00150.1,12.41463144205814,43.993648955,L797,_,00150,1
L797__00140.1,12.4347106259837,43.998413345,L797,_,00140,1
L797__00120.1,12.417909945508079,44.00279773,L797,_,00120,1
L797__00110.1,12.454922628406273,44.009905025,L797,_,00110,1
L797__00090.1,12.429615743963396,44.006897515000006,L797,_,00090,1
L797__00080.1,12.418616027386552,44.01033639,L797,_,00080,1
L797__00070.1,12.443539463961265,44.013219125,L797,_,00070,1
L797__00060.1,12.437064995846935,44.018074275000004,L797,_,00060,1
L797__00050.1,12.426393294971124,44.017389054999995,L797,_,00050,1
L797__00030.1,12.439666191589499,44.02361302,L797,_,00030,1
L797__00040.10,12.424095501856293,44.015808050000004,L797,_,00040,10
L797__00260.10,12.452409385570071,43.97108976,L797,_,00260,10
L797__00250.10,12.433693743833684,43.971272795,L797,_,00250,10
L797__00230.10,12.41569384551893,43.97149161,L797,_,00230,10
L797__00220.10,12.41026807951467,43.97040792,L797,_,00220,10
L797__00210.10,12.44070737303166,43.9759527,L797,_,00210,10
L797__00190.10,12.448082728424303,43.989597405,L797,_,00190,10
L797__00180.10,12.436780429294322,43.992110055,L797,_,00180,10
L797__00170.10,12.43368364744684,43.98710912,L797,_,00170,10
L797__00150.10,12.413852145434491,43.992940555000004,L797,_,00150,10
L797__00140.10,12.435886551396862,43.99858114,L797,_,00140,10
L797__00130.10,12.425949591964548,43.9935265,L797,_,00130,10
L797__00110.10,12.45248603284357,44.007289889999996,L797,_,00110,10
L797__00100.10,12.43980957476745,44.002631595,L797,_,00100,10
L797__00060.10,12.43767767550807,44.01721421,L797,_,00060,10
L797__00050.100,12.426357888359227,44.01180102,L797,_,00050,100
L797__00280.100,12.406842219831798,43.90278279,L797,_,00280,100
L797__00270.100,12.404396687624018,43.958450665,L797,_,00270,100
L797__00260.100,12.44313248572551,43.96456902,L797,_,00260,100
L797__00230.100,12.409387043169982,43.964375285,L797,_,00230,100
L797__00220.100,12.410368326371696,43.968747085000004,L797,_,00220,100
L797__00200.100,12.41797820841742,43.97773075,L797,_,00200,100
L797__00190.100,12.441957539048236,43.981623064999994,L797,_,00190,100
L797__00180.100,12.43801354938316,43.98281507,L797,_,00180,100
L797__00160.100,12.417695997651329,43.98515102,L797,_,00160,100
L797__00150.100,12.415556540118075,43.985575025,L797,_,00150,100
L797__00130.100,12.432218892490763,43.992223030000005,L797,_,00130,100
L797__00100.100,12.440316540620532,44.00228606,L797,_,00100,100
L797__00090.100,12.433807203145097,44.001544115,L797,_,00090,100
L797__00070.100,12.437861038324542,44.00791858,L797,_,00070,100
L797__00050.1000,12.430327629151314,44.014475135,L797,_,00050,1000
L797__00130.1000,12.425048445810404,43.99599963,L797,_,00130,1000
L797__00060.1000,12.434158758965985,44.012291770000004,L797,_,00060,1000
L797__00050.1001,12.431159153147737,44.014115915000005,L797,_,00050,1001
L797__00180.1001,12.439675554893206,43.982917205,L797,_,00180,1001
L797__0016.1001,12.419991370747793,43.984676805,L797,_,0016,1001
L797__00080.1001,12.427506891526837,44.00232418,L797,_,00080,1001
L797__00070.1001,12.435213105546751,44.003912485,L797,_,00070,1001
L797__00060.1001,12.434555010305544,44.012407800000005,L797,_,00060,1001
L797__00050.1002,12.424528724948388,44.00587763,L797,_,00050,1002
L797__0016.1002,12.42000578289726,43.98468858,L797,_,0016,1002
L797__00130.1002,12.416293876318736,43.989728420000006,L797,_,00130,1002
L797__00080.1002,12.42395549354173,44.005209789999995,L797,_,00080,1002
L797__00070.1002,12.435386748172075,44.00390414,L797,_,00070,1002
L797__00060.1002,12.434540259193259,44.012270935000004,L797,_,00060,1002
L797__00050.1003,12.432563499041493,44.013483865,L797,_,00050,1003
L797__00180.1003,12.438184052288658,43.98698966,L797,_,00180,1003
L797__00160.1003,12.418842274639282,43.98041715,L797,_,00160,1003
L797__00060.1003,12.434729962172685,44.012266065000006,L797,_,00060,1003
L797__00050.1004,12.423949570814319,44.011813544999995,L797,_,00050,1004
L797__00180.1004,12.439461634761436,43.98684925,L797,_,00180,1004
L797__00080.1004,12.423683579301732,44.005350379999996,L797,_,00080,1004
L797__00050.1005,12.425855479093027,44.01254883,L797,_,00050,1005
L797__00160.1005,12.42450825456266,43.986981515,L797,_,00160,1005
L797__00080.1005,12.428132296987174,44.002494139999996,L797,_,00080,1005
L797__00080.1006,12.428387081533053,44.00308964,L797,_,00080,1006
L797__00180.1006,12.439366619786657,43.988805459999995,L797,_,00180,1006
L797__00060.1007,12.437000787576892,44.008740325000005,L797,_,00060,1007
L797__00070.1007,12.441214595469038,44.009512595000004,L797,_,00070,1007
