nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L807__00010.1,8.217720918867027,44.649874080000004,L807,_,00010,1
L807__00120.1,8.251692375292178,44.634113805,L807,_,00120,1
L807__00110.1,8.238375928156561,44.63254928,L807,_,00110,1
L807__00100.1,8.228990946003677,44.639976645000004,L807,_,00100,1
L807__00090.1,8.227257102042813,44.634560855000004,L807,_,00090,1
L807__00080.1,8.21321782424077,44.623854230000006,L807,_,00080,1
L807__00070.1,8.199938641013318,44.624346495,L807,_,00070,1
L807__00060.1,8.201964690505399,44.63480864,L807,_,00060,1
L807__00040.1,8.21652038850644,44.641040309999994,L807,_,00040,1
L807__00030.1,8.225362005911883,44.63488592,L807,_,00030,1
L807__00020.1,8.218609299277624,44.64658973,L807,_,00020,1
L807__00010.10,8.213678190700689,44.64852227,L807,_,00010,10
L807__00120.10,8.250973215494845,44.63206415,L807,_,00120,10
L807__00100.10,8.232772103054554,44.638137125,L807,_,00100,10
L807__00070.10,8.205500483823492,44.6239118,L807,_,00070,10
L807__00060.10,8.200229088876462,44.631798634999996,L807,_,00060,10
L807__00050.10,8.210058293093416,44.64396012,L807,_,00050,10
L807__00040.10,8.21415256264206,44.638518085,L807,_,00040,10
L807__00030.10,8.226050604646987,44.63538594,L807,_,00030,10
L807__00020.10,8.21901052258955,44.643104475,L807,_,00020,10
L807__00010.100,8.21932448125805,44.64890317,L807,_,00010,100
L807__00110.100,8.241069262013859,44.626906745,L807,_,00110,100
L807__00100.100,8.232727507320215,44.634158415,L807,_,00100,100
L807__00090.100,8.231002963892315,44.629323240000005,L807,_,00090,100
L807__00080.100,8.22228744517869,44.62261056,L807,_,00080,100
L807__00070.100,8.20313106586932,44.616784715,L807,_,00070,100
L807__00060.100,8.197251115973467,44.6289932,L807,_,00060,100
L807__00040.100,8.22066099974192,44.633346785,L807,_,00040,100
L807__00030.100,8.228583241979004,44.6370421,L807,_,00030,100
L807__00020.100,8.221904771210838,44.640146079999994,L807,_,00020,100
L807__00010.101,8.215930078217845,44.649504504999996,L807,_,00010,101
L807__00130.101,8.263727364492194,44.62331831,L807,_,00130,101
L807__00120.101,8.251269365717162,44.62651354,L807,_,00120,101
L807__00110.101,8.240670861188962,44.627005624999995,L807,_,00110,101
L807__00100.101,8.233394813558629,44.633933479999996,L807,_,00100,101
L807__00090.101,8.22994819680914,44.628735719999995,L807,_,00090,101
L807__00080.101,8.22183807698027,44.622820919999995,L807,_,00080,101
L807__00060.101,8.197884156399851,44.629117745,L807,_,00060,101
L807__00040.101,8.21982614655081,44.63420501,L807,_,00040,101
L807__00030.101,8.228681543795657,44.636969615,L807,_,00030,101
L807__00020.101,8.222212339928202,44.640315645,L807,_,00020,101
L807__00010.102,8.215861391486193,44.649061634999995,L807,_,00010,102
L807__00130.102,8.262554212727096,44.62330463,L807,_,00130,102
L807__00120.102,8.24979121762042,44.625785095,L807,_,00120,102
L807__00110.102,8.241329301833693,44.626560065,L807,_,00110,102
L807__00090.102,8.22945307344278,44.628936965,L807,_,00090,102
L807__00080.102,8.221702129604196,44.623192020000005,L807,_,00080,102
L807__00050.102,8.21103890531252,44.637041705,L807,_,00050,102
L807__00040.102,8.22020511304546,44.634605025,L807,_,00040,102
L807__00030.102,8.228798279850029,44.637012125,L807,_,00030,102
L807__00020.102,8.222418687926448,44.63987414499999,L807,_,00020,102
L807__00010.103,8.212746326037799,44.64796153,L807,_,00010,103
L807__00130.103,8.263547035945443,44.623458975000005,L807,_,00130,103
L807__00120.103,8.249979331000986,44.62452322,L807,_,00120,103
L807__00110.103,8.24121321143545,44.62612632,L807,_,00110,103
L807__00100.103,8.233466554175944,44.63539615,L807,_,00100,103
L807__00090.103,8.23013970581524,44.629448635,L807,_,00090,103
L807__00080.103,8.222162337292623,44.623407055,L807,_,00080,103
L807__00060.103,8.199397025166494,44.628567505,L807,_,00060,103
L807__00050.103,8.212374445204357,44.63699074,L807,_,00050,103
L807__00040.103,8.22052460035065,44.634812275,L807,_,00040,103
L807__00030.103,8.229028414633689,44.637049105,L807,_,00030,103
L807__00020.103,8.222858447442622,44.640157305,L807,_,00020,103
L807__00010.104,8.212497699874618,44.647867489999996,L807,_,00010,104
L807__00130.104,8.264003783621218,44.623540455,L807,_,00130,104
L807__00100.104,8.23327132637663,44.636439100000004,L807,_,00100,104
L807__00090.104,8.232472656731325,44.630249625,L807,_,00090,104
L807__00080.104,8.222278390559765,44.622966425,L807,_,00080,104
L807__00060.104,8.199824596381248,44.628024385,L807,_,00060,104
L807__00050.104,8.213357366181668,44.637580514999996,L807,_,00050,104
L807__00040.104,8.221521324247501,44.634802805,L807,_,00040,104
L807__00030.104,8.229190499130484,44.63718353,L807,_,00030,104
L807__00020.104,8.223168441241302,44.640298965,L807,_,00020,104
L807__00010.105,8.211973300220297,44.64775032,L807,_,00010,105
L807__00130.105,8.264394118664825,44.623533949999995,L807,_,00130,105
L807__00120.105,8.251819238292082,44.625496514999995,L807,_,00120,105
L807__00100.105,8.234192010442497,44.636161735,L807,_,00100,105
L807__00090.105,8.229655825294792,44.62960892,L807,_,00090,105
L807__00080.105,8.222776172034077,44.62321795,L807,_,00080,105
L807__00060.105,8.200075644765445,44.62866506,L807,_,00060,105
L807__00050.105,8.214098052273094,44.637334530000004,L807,_,00050,105
L807__00040.105,8.221953985360921,44.634891925,L807,_,00040,105
L807__00030.105,8.229187966715582,44.63732158,L807,_,00030,105
L807__00020.105,8.221764704676513,44.64063335,L807,_,00020,105
L807__00010.106,8.212532582946166,44.647309410000005,L807,_,00010,106
L807__00130.106,8.264796339020233,44.623608355,L807,_,00130,106
L807__00120.106,8.252497469985869,44.626046915,L807,_,00120,106
L807__00100.106,8.234410193474956,44.635814705,L807,_,00100,106
L807__00090.106,8.232156763946499,44.630336285,L807,_,00090,106
L807__00080.106,8.223242893123771,44.623706545000005,L807,_,00080,106
L807__00060.106,8.198740365142541,44.62945187,L807,_,00060,106
L807__00040.106,8.221429119020272,44.63579061,L807,_,00040,106
L807__00030.106,8.230042978744752,44.637529125,L807,_,00030,106
L807__00020.106,8.221410018112973,44.640830640000004,L807,_,00020,106
L807__00030.107,8.229638486603095,44.637717285,L807,_,00030,107
L807__00120.107,8.251755325137665,44.62408756,L807,_,00120,107
L807__00110.107,8.243624865552624,44.626724145,L807,_,00110,107
L807__00090.107,8.22966665948843,44.629767715,L807,_,00090,107
L807__00080.107,8.222547971283154,44.623769655000004,L807,_,00080,107
L807__00070.107,8.203652015188887,44.616629995,L807,_,00070,107
L807__00060.107,8.198590097541238,44.63015927,L807,_,00060,107
L807__00050.107,8.21375438294173,44.637891370000006,L807,_,00050,107
L807__00040.107,8.222077872900636,44.635892985,L807,_,00040,107
L807__00030.108,8.230681915771164,44.637908194999994,L807,_,00030,108
L807__00110.108,8.243415699085054,44.627170395,L807,_,00110,108
L807__00090.108,8.23038754428107,44.630172290000004,L807,_,00090,108
L807__00080.108,8.221925385392675,44.623807495,L807,_,00080,108
L807__00070.108,8.203859162234787,44.61643277500001,L807,_,00070,108
L807__00060.108,8.199662029791254,44.630191784999994,L807,_,00060,108
L807__00050.108,8.214319527965444,44.63742181,L807,_,00050,108
L807__00020.109,8.222257380408639,44.641995535,L807,_,00020,109
L807__00120.109,8.253989811900315,44.624059044999996,L807,_,00120,109
L807__00110.109,8.244679839404974,44.625729355000004,L807,_,00110,109
L807__00090.109,8.229653453200669,44.630045335000005,L807,_,00090,109
L807__00080.109,8.22161258037471,44.624093245,L807,_,00080,109
L807__00060.109,8.200588498802466,44.63022357,L807,_,00060,109
L807__00050.109,8.214528862035934,44.63762576,L807,_,00050,109
L807__00040.109,8.223202548297262,44.635709985000005,L807,_,00040,109
L807__00010.11,8.214191606195545,44.64834243999999,L807,_,00010,11
L807__00120.11,8.252068744499715,44.632811745,L807,_,00120,11
L807__00090.11,8.226056857722462,44.63413603,L807,_,00090,11
L807__00070.11,8.205978835943743,44.62383597,L807,_,00070,11
L807__00060.11,8.200621139417148,44.63144642,L807,_,00060,11
L807__00050.11,8.209496277433326,44.64353615,L807,_,00050,11
L807__00040.11,8.21464446714879,44.638402455,L807,_,00040,11
L807__00020.11,8.219381412188504,44.642605305000004,L807,_,00020,11
L807__00050.110,8.214184740887273,44.63818725,L807,_,00050,110
L807__00120.110,8.254366948345634,44.624053795,L807,_,00120,110
L807__00090.110,8.229605459515373,44.63024172,L807,_,00090,110
L807__00080.110,8.223011502371572,44.62400486,L807,_,00080,110
L807__00060.110,8.201086312328803,44.629514715,L807,_,00060,110
L807__00040.111,8.223496143984471,44.635946615,L807,_,00040,111
L807__00130.111,8.265770258482515,44.621556115,L807,_,00130,111
L807__00120.111,8.25407743443694,44.624784164999994,L807,_,00120,111
L807__00090.111,8.230516185853926,44.63040221,L807,_,00090,111
L807__00080.111,8.223615721120623,44.624124859999995,L807,_,00080,111
L807__00070.111,8.206639586019119,44.615693109999995,L807,_,00070,111
L807__00060.111,8.200817974214598,44.62937823,L807,_,00060,111
L807__00050.111,8.213147189752334,44.638487615,L807,_,00050,111
L807__00040.112,8.223798463323885,44.635637020000004,L807,_,00040,112
L807__00130.112,8.2655029329661,44.622385785000006,L807,_,00130,112
L807__00120.112,8.254942493473585,44.62436453,L807,_,00120,112
L807__00100.112,8.234048167639116,44.63388104,L807,_,00100,112
L807__00090.112,8.229400508873667,44.63106573,L807,_,00090,112
L807__00080.112,8.224136855930272,44.624185695,L807,_,00080,112
L807__00070.112,8.206629302342625,44.61634181,L807,_,00070,112
L807__00060.112,8.199922457244224,44.629267875,L807,_,00060,112
L807__00050.112,8.21117131614983,44.639472415,L807,_,00050,112
L807__00020.113,8.225203557296087,44.64153218,L807,_,00020,113
L807__00130.113,8.265638673522657,44.62302908,L807,_,00130,113
L807__00120.113,8.25589164461488,44.623883065,L807,_,00120,113
L807__00110.113,8.246203106606915,44.62647794,L807,_,00110,113
L807__00100.113,8.233684478914991,44.633866095,L807,_,00100,113
L807__00080.113,8.224419050543041,44.624207365000004,L807,_,00080,113
L807__00070.113,8.20717837027178,44.61560112,L807,_,00070,113
L807__00060.113,8.20087624517788,44.628737575,L807,_,00060,113
L807__00050.113,8.212533263132034,44.639364035,L807,_,00050,113
L807__00040.113,8.223240671626613,44.635408915,L807,_,00040,113
L807__00030.113,8.227323403157232,44.634943480000004,L807,_,00030,113
L807__00020.114,8.225450808093651,44.640860884999995,L807,_,00020,114
L807__00130.114,8.265133655469604,44.624017655,L807,_,00130,114
L807__00120.114,8.2546149340507,44.625079725,L807,_,00120,114
L807__00090.114,8.229374942337191,44.63175588,L807,_,00090,114
L807__00080.114,8.225492230968829,44.624510349999994,L807,_,00080,114
L807__00070.114,8.207019643269593,44.616367015,L807,_,00070,114
L807__00050.114,8.210858475229278,44.63983589,L807,_,00050,114
L807__00040.114,8.222873862968772,44.635155095,L807,_,00040,114
L807__00030.114,8.228179408900093,44.634655484999996,L807,_,00030,114
