nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L909__00020.1,12.91582283105641,46.42420072,L909,_,00020,1
L909__00210.1,12.930614367244843,46.393493245,L909,_,00210,1
L909__00200.1,12.920404938961015,46.39329955,L909,_,00200,1
L909__00190.1,12.92958550811479,46.403403495,L909,_,00190,1
L909__00180.1,12.923381149052735,46.408133469999996,L909,_,00180,1
L909__00170.1,12.910964201089648,46.408745635,L909,_,00170,1
L909__00160.1,12.960197899671744,46.405512404999996,L909,_,00160,1
L909__00150.1,12.95075246783281,46.410205555000005,L909,_,00150,1
L909__00140.1,12.937071430158923,46.409168054999995,L909,_,00140,1
L909__00130.1,12.943595062338366,46.411450335,L909,_,00130,1
L909__00120.1,12.935902356008555,46.409461155,L909,_,00120,1
L909__00110.1,12.93385317314658,46.413430684999994,L909,_,00110,1
L909__00100.1,12.926297688534119,46.41298528,L909,_,00100,1
L909__00080.1,12.968878082953106,46.414836055,L909,_,00080,1
L909__00070.1,12.953106180258697,46.415827205,L909,_,00070,1
L909__00060.1,12.926143480174227,46.41828908,L909,_,00060,1
L909__00050.1,12.923965702448116,46.416473935,L909,_,00050,1
L909__00040.1,12.914924161390514,46.415753005,L909,_,00040,1
L909__00030.1,12.919193650230746,46.42106698,L909,_,00030,1
L909__00010.10,12.906481987289354,46.421440485,L909,_,00010,10
L909__00210.10,12.932229122606277,46.39095624,L909,_,00210,10
L909__00200.10,12.922504510666432,46.39051379,L909,_,00200,10
L909__00190.10,12.933591937322895,46.403137380000004,L909,_,00190,10
L909__00180.10,12.924424551952754,46.40665431,L909,_,00180,10
L909__00170.10,12.91749555782592,46.403284555,L909,_,00170,10
L909__00160.10,12.959186798297424,46.405141799999996,L909,_,00160,10
L909__00130.10,12.945131878603702,46.41161592,L909,_,00130,10
L909__00120.10,12.936661396337588,46.408823185,L909,_,00120,10
L909__00110.10,12.936267626827593,46.41289733,L909,_,00110,10
L909__00100.10,12.928237521386436,46.411403375,L909,_,00100,10
L909__00090.10,12.916564395691584,46.410980725,L909,_,00090,10
L909__00070.10,12.957966490677807,46.41101178,L909,_,00070,10
L909__00060.10,12.924460850969236,46.41673838,L909,_,00060,10
L909__00050.10,12.924355829468556,46.416458515,L909,_,00050,10
L909__00030.10,12.91958778047977,46.41913563,L909,_,00030,10
L909__00020.10,12.914775679860455,46.42165754,L909,_,00020,10
L909__00050.100,12.928480882097798,46.415642845,L909,_,00050,100
L909__00190.100,12.941046193449306,46.401512124999996,L909,_,00190,100
L909__00180.100,12.926271419543163,46.400606555,L909,_,00180,100
L909__00170.100,12.92108112565047,46.407146075,L909,_,00170,100
L909__00160.100,12.959269328905457,46.4032214,L909,_,00160,100
L909__00150.100,12.952233622285796,46.40911313,L909,_,00150,100
L909__00130.100,12.948250295205504,46.40966528,L909,_,00130,100
L909__00120.100,12.933140891640614,46.40683924,L909,_,00120,100
L909__00110.100,12.940591702868605,46.41083173,L909,_,00110,100
L909__00100.100,12.932779595091233,46.409241705,L909,_,00100,100
L909__00010.101,12.910969188757988,46.41984972,L909,_,00010,101
L909__00190.101,12.941634552115183,46.40148992,L909,_,00190,101
L909__00180.101,12.926155900732176,46.400045410000004,L909,_,00180,101
L909__00170.101,12.913773500751326,46.40675171,L909,_,00170,101
L909__00160.101,12.959435047743135,46.403207945,L909,_,00160,101
L909__00150.101,12.952440998906972,46.40924178,L909,_,00150,101
L909__00130.101,12.948441570768875,46.40968444,L909,_,00130,101
L909__00120.101,12.933802596809617,46.406497075000004,L909,_,00120,101
L909__00110.101,12.940765709187716,46.41081596,L909,_,00110,101
L909__00100.101,12.932886734614424,46.408935145,L909,_,00100,101
L909__00090.101,12.921866940325923,46.407313975,L909,_,00090,101
L909__00050.101,12.928681530766397,46.415786055,L909,_,00050,101
L909__00020.101,12.917056137998243,46.418839245,L909,_,00020,101
L909__00020.102,12.917383276734604,46.41880302,L909,_,00020,102
L909__00190.102,12.942024245851638,46.401400839999994,L909,_,00190,102
L909__00180.102,12.926405919407273,46.400037265,L909,_,00180,102
L909__00160.102,12.959546807465433,46.403144139999995,L909,_,00160,102
L909__00150.102,12.952736138808287,46.409418005,L909,_,00150,102
L909__00140.102,12.937722155946258,46.407495159999996,L909,_,00140,102
L909__00130.102,12.94860920712531,46.40968303,L909,_,00130,102
L909__00120.102,12.932834077071504,46.40696732,L909,_,00120,102
L909__00110.102,12.940942809328742,46.410804535,L909,_,00110,102
L909__00100.102,12.929666017741688,46.408939085,L909,_,00100,102
L909__00050.102,12.924619680280202,46.41585279,L909,_,00050,102
L909__00010.103,12.910321156338384,46.419037215,L909,_,00010,103
L909__00190.103,12.942095420454244,46.40148217,L909,_,00190,103
L909__00180.103,12.926632269746595,46.400128745,L909,_,00180,103
L909__00170.103,12.91568901496559,46.407100825,L909,_,00170,103
L909__00160.103,12.959640248622941,46.403022245,L909,_,00160,103
L909__00140.103,12.937716505231572,46.4074622,L909,_,00140,103
L909__00130.103,12.948733155990437,46.4096222,L909,_,00130,103
L909__00120.103,12.933342222798714,46.406618429999995,L909,_,00120,103
L909__00110.103,12.941188225756749,46.41087051,L909,_,00110,103
L909__00100.103,12.929662017240375,46.40884938,L909,_,00100,103
L909__00050.103,12.924442027916637,46.41579739,L909,_,00050,103
L909__00040.103,12.92275969388065,46.41310548,L909,_,00040,103
