nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L973__00020.1,15.159932222949305,41.131968895,L973,_,00020,1
L973__00180.1,15.137014214130893,41.100520599999996,L973,_,00180,1
L973__00160.1,15.125251490012378,41.099765205,L973,_,00160,1
L973__00150.1,15.17488849077887,41.113010155,L973,_,00150,1
L973__00140.1,15.167422485139593,41.112607115,L973,_,00140,1
L973__00130.1,15.152691437789297,41.111210375,L973,_,00130,1
L973__00120.1,15.139755462001993,41.11063917,L973,_,00120,1
L973__00110.1,15.134104992415315,41.108882255,L973,_,00110,1
L973__00100.1,15.179650067228486,41.123749579999995,L973,_,00100,1
L973__00070.1,15.13823022795328,41.115720755,L973,_,00070,1
L973__00060.1,15.182948018901719,41.131599165,L973,_,00060,1
L973__00050.1,15.18132481641192,41.138122605,L973,_,00050,1
L973__00040.1,15.179746435482262,41.136408395000004,L973,_,00040,1
L973__00030.1,15.165538869408655,41.13374584,L973,_,00030,1
L973__00010.10,15.155853050982774,41.128990220000006,L973,_,00010,10
L973__00180.10,15.13713784202126,41.099457955000005,L973,_,00180,10
L973__00170.10,15.130168305195069,41.09894862,L973,_,00170,10
L973__00150.10,15.17477834241378,41.11142787,L973,_,00150,10
L973__00140.10,15.169520165255594,41.11254613,L973,_,00140,10
L973__00130.10,15.147951146542873,41.10707071,L973,_,00130,10
L973__00120.10,15.141811479676115,41.110207255000006,L973,_,00120,10
L973__00100.10,15.178179567533173,41.123594295000004,L973,_,00100,10
L973__00090.10,15.163384977685652,41.119316909999995,L973,_,00090,10
L973__00070.10,15.144040287521676,41.117000149999996,L973,_,00070,10
L973__00060.10,15.1919179236742,41.13023715,L973,_,00060,10
L973__00040.10,15.17552771240725,41.127028405000004,L973,_,00040,10
L973__00030.10,15.17259571988468,41.137678475,L973,_,00030,10
L973__00010.100,15.149729862295182,41.12070611,L973,_,00010,100
L973__00190.100,15.160799288211582,41.098858345,L973,_,00190,100
L973__00170.100,15.134086771838966,41.098553034999995,L973,_,00170,100
L973__00150.100,15.1794576040457,41.103609275,L973,_,00150,100
L973__00140.100,15.16795234714006,41.107124835,L973,_,00140,100
L973__00130.100,15.156356888523636,41.110950814999995,L973,_,00130,100
L973__00110.100,15.135876628173802,41.10333686,L973,_,00110,100
L973__00100.100,15.175500381012661,41.11505928,L973,_,00100,100
L973__00090.100,15.169833261527597,41.11992207,L973,_,00090,100
L973__00080.100,15.15950141658973,41.117757600000004,L973,_,00080,100
L973__00070.100,15.151922976347391,41.11508104,L973,_,00070,100
L973__00060.100,15.1832740302668,41.12373702,L973,_,00060,100
L973__00040.100,15.177724341144835,41.126372814999996,L973,_,00040,100
L973__00030.100,15.169366071086307,41.1325393,L973,_,00030,100
L973__00020.100,15.163881484704078,41.130291235,L973,_,00020,100
L973__00010.1000,15.157255734211137,41.127232989999996,L973,_,00010,1000
L973__00130.1000,15.152746811579675,41.11141485,L973,_,00130,1000
L973__00120.1000,15.144076954940328,41.10678032,L973,_,00120,1000
L973__00080.1000,15.159904214944245,41.118106104999995,L973,_,00080,1000
L973__00020.1000,15.161477402157214,41.129794685,L973,_,00020,1000
L973__00010.1001,15.156276854594934,41.12773755,L973,_,00010,1001
L973__00130.1001,15.153695806685782,41.11051918,L973,_,00130,1001
L973__00120.1001,15.14377025885259,41.10694205,L973,_,00120,1001
L973__00080.1001,15.159926508655406,41.11809259,L973,_,00080,1001
L973__00020.1001,15.158930231522707,41.125990540000004,L973,_,00020,1001
L973__00010.1002,15.156814152979052,41.12820246,L973,_,00010,1002
L973__00130.1002,15.153856122448307,41.11051918,L973,_,00130,1002
L973__00080.1002,15.159818596823655,41.118106104999995,L973,_,00080,1002
L973__00020.1002,15.162244705894317,41.123900085,L973,_,00020,1002
L973__00010.1003,15.15742520633853,41.127884775,L973,_,00010,1003
L973__00130.1003,15.158798300038384,41.111499050000006,L973,_,00130,1003
L973__00120.1003,15.148317000500677,41.10833072,L973,_,00120,1003
L973__00080.1003,15.159987669095022,41.11815592,L973,_,00080,1003
L973__00020.1003,15.16231307832268,41.123181175,L973,_,00020,1003
L973__00010.1004,15.157591611154746,41.127797955000005,L973,_,00010,1004
L973__00130.1004,15.159018509618875,41.111387065,L973,_,00130,1004
L973__00120.1004,15.14531556765528,41.107137985,L973,_,00120,1004
L973__00080.1004,15.159875166299788,41.118043119999996,L973,_,00080,1004
L973__00010.1005,15.158033044758847,41.127595545,L973,_,00010,1005
L973__00130.1005,15.159382821122893,41.111591535,L973,_,00130,1005
L973__00120.1005,15.145771220677773,41.107200355,L973,_,00120,1005
L973__00080.1005,15.159040294238372,41.119636825,L973,_,00080,1005
L973__00010.1006,15.157757932233839,41.127700340000004,L973,_,00010,1006
L973__00130.1006,15.159472174311714,41.11153252,L973,_,00130,1006
L973__00080.1006,15.158957121842644,41.119624655,L973,_,00080,1006
L973__00120.1007,15.1494810066399,41.108770660000005,L973,_,00120,1007
L973__00130.1007,15.15960973003782,41.11155512,L973,_,00130,1007
L973__00020.1008,15.1585767891284,41.12477182,L973,_,00020,1008
L973__00130.1008,15.159652146827007,41.111618914999994,L973,_,00130,1008
L973__00080.1008,15.158991333830457,41.119448025,L973,_,00080,1008
L973__00120.1009,15.148154716917475,41.10823997,L973,_,00120,1009
L973__00130.1009,15.158980885537614,41.112583715,L973,_,00130,1009
L973__00010.101,15.151118343967852,41.12017867,L973,_,00010,101
L973__00190.101,15.167856760049558,41.10153618,L973,_,00190,101
L973__00180.101,15.147215399389216,41.100054475,L973,_,00180,101
L973__00160.101,15.122789952293513,41.094817295,L973,_,00160,101
L973__00150.101,15.178674879375142,41.10352159,L973,_,00150,101
L973__00140.101,15.167371471440882,41.10652829,L973,_,00140,101
L973__00130.101,15.1558164992835,41.110969395,L973,_,00130,101
L973__00110.101,15.137424989617344,41.10388726,L973,_,00110,101
L973__00100.101,15.17501248000412,41.115030855,L973,_,00100,101
L973__00090.101,15.169831171410909,41.11978227,L973,_,00090,101
L973__00080.101,15.159470136309434,41.117702449999996,L973,_,00080,101
L973__00070.101,15.151915407293046,41.114842975,L973,_,00070,101
L973__00060.101,15.183630087611766,41.123394005,L973,_,00060,101
L973__00050.101,15.189567999780769,41.131779144999996,L973,_,00050,101
L973__00040.101,15.17868007964383,41.12628383,L973,_,00040,101
L973__00030.101,15.169199201029443,41.132337235,L973,_,00030,101
L973__00020.101,15.162728990012404,41.129992009999995,L973,_,00020,101
L973__00010.1010,15.146910206776349,41.12489296,L973,_,00010,1010
L973__00130.1010,15.153814413611652,41.108688224999995,L973,_,00130,1010
L973__00120.1010,15.147961975341708,41.108124135,L973,_,00120,1010
L973__00080.1010,15.158993469596108,41.119430030000004,L973,_,00080,1010
L973__00010.1011,15.146947168428202,41.12436875,L973,_,00010,1011
L973__00080.1011,15.159122127512571,41.119392285,L973,_,00080,1011
L973__00020.1011,15.158547170014497,41.124500615,L973,_,00020,1011
L973__00020.1012,15.158099932053414,41.12461479,L973,_,00020,1012
L973__00130.1012,15.153663786503301,41.10857503,L973,_,00130,1012
L973__00080.1012,15.159002914044155,41.119367075,L973,_,00080,1012
L973__00010.1013,15.158812862239948,41.11917382,L973,_,00010,1013
L973__00130.1013,15.164357390891091,41.108985270000005,L973,_,00130,1013
L973__00080.1013,15.159075090229596,41.119289215,L973,_,00080,1013
L973__00020.1013,15.159062055709796,41.123511965000006,L973,_,00020,1013
L973__00020.1014,15.159239782542528,41.123405565,L973,_,00020,1014
L973__00130.1014,15.162673735988545,41.10868331,L973,_,00130,1014
L973__00120.1014,15.139781830158732,41.102574095,L973,_,00120,1014
L973__00080.1014,15.159013978689991,41.119287830000005,L973,_,00080,1014
L973__00080.1015,15.159168871933524,41.11927453,L973,_,00080,1015
L973__00130.1015,15.162291105277273,41.108683735,L973,_,00130,1015
L973__00120.1015,15.140058217120664,41.102701859999996,L973,_,00120,1015
L973__00080.1016,15.159018671220846,41.11923942,L973,_,00080,1016
L973__00120.1016,15.148651685526277,41.110665205000004,L973,_,00120,1016
L973__00080.1017,15.159183252161782,41.11923682,L973,_,00080,1017
L973__00120.1017,15.148321591239508,41.11043105,L973,_,00120,1017
L973__00010.1018,15.15462868128047,41.128113805,L973,_,00010,1018
L973__00130.1018,15.159860528781817,41.111988065,L973,_,00130,1018
L973__00120.1018,15.147606658144047,41.10905692,L973,_,00120,1018
L973__00080.1018,15.159019838698962,41.119197150000005,L973,_,00080,1018
L973__00020.1019,15.158362093431613,41.12343381,L973,_,00020,1019
L973__00130.1019,15.151904740343266,41.10677465,L973,_,00130,1019
L973__00120.1019,15.147195507521975,41.108547195,L973,_,00120,1019
L973__00010.102,15.150279267446386,41.11989503,L973,_,00010,102
L973__00190.102,15.16898174730988,41.10124854,L973,_,00190,102
L973__00180.102,15.13677023086758,41.100123894999996,L973,_,00180,102
L973__00160.102,15.122601139702466,41.094794145,L973,_,00160,102
L973__00150.102,15.179081679133079,41.105122005,L973,_,00150,102
L973__00140.102,15.167459567043554,41.106480794999996,L973,_,00140,102
L973__00130.102,15.15552482680409,41.110880210000005,L973,_,00130,102
L973__00110.102,15.137182282864948,41.10345672,L973,_,00110,102
L973__00100.102,15.175225450356281,41.1148381,L973,_,00100,102
L973__00090.102,15.169913585805517,41.119492685,L973,_,00090,102
L973__00080.102,15.159438216701648,41.11764504,L973,_,00080,102
L973__00070.102,15.152222220491954,41.116196939999995,L973,_,00070,102
L973__00060.102,15.184482580033816,41.1237821,L973,_,00060,102
L973__00050.102,15.190410200835329,41.13151854,L973,_,00050,102
L973__00040.102,15.178528435439645,41.126184385,L973,_,00040,102
L973__00020.102,15.162827974432556,41.129843635,L973,_,00020,102
L973__00020.1020,15.158416560158093,41.123365415,L973,_,00020,1020
L973__00120.1020,15.14776085285628,41.108557184999995,L973,_,00120,1020
L973__00080.1020,15.15900298393764,41.11907487,L973,_,00080,1020
L973__00020.1021,15.15900379973268,41.1276397,L973,_,00020,1021
L973__00130.1021,15.16034248136949,41.10699828,L973,_,00130,1021
L973__00120.1021,15.147771277554265,41.10824182,L973,_,00120,1021
L973__00080.1022,15.158959371395138,41.11894376,L973,_,00080,1022
L973__00130.1022,15.158274430000002,41.1121759,L973,_,00130,1022
L973__00120.1022,15.148119968037879,41.10858835,L973,_,00120,1022
L973__00120.1023,15.147945787499454,41.10818553,L973,_,00120,1023
L973__00130.1023,15.158343800273547,41.111963724999995,L973,_,00130,1023
L973__00020.1024,15.158383011251978,41.125046260000005,L973,_,00020,1024
L973__00130.1024,15.159398023427364,41.110937070000006,L973,_,00130,1024
L973__00120.1024,15.1482012102093,41.10845809,L973,_,00120,1024
L973__00080.1024,15.158952638747323,41.11890735,L973,_,00080,1024
L973__00080.1025,15.159199429580456,41.115219825,L973,_,00080,1025
L973__00130.1025,15.159465134319476,41.111312815,L973,_,00130,1025
L973__00120.1025,15.148197790784991,41.108304175,L973,_,00120,1025
L973__00020.1026,15.158995646973493,41.125673410000005,L973,_,00020,1026
L973__00130.1026,15.165514774356996,41.11269502,L973,_,00130,1026
L973__00120.1026,15.144882846498954,41.107381000000004,L973,_,00120,1026
L973__00080.1026,15.159170351491465,41.115346564999996,L973,_,00080,1026
L973__00120.1027,15.144848145410949,41.107636025000005,L973,_,00120,1027
L973__00130.1027,15.165477776975727,41.112346075,L973,_,00130,1027
L973__00120.1028,15.13936956938129,41.102050655,L973,_,00120,1028
L973__00080.1029,15.159222825867058,41.11546535,L973,_,00080,1029
L973__00120.1029,15.13933880809171,41.10225101,L973,_,00120,1029
L973__00010.103,15.150058384055502,41.120303645,L973,_,00010,103
L973__00190.103,15.16765231783676,41.101133184999995,L973,_,00190,103
L973__00180.103,15.13761299498205,41.10111316,L973,_,00180,103
L973__00160.103,15.124319289307003,41.093759665,L973,_,00160,103
L973__00150.103,15.178761755554984,41.10482839,L973,_,00150,103
L973__00140.103,15.167638837804162,41.10654485,L973,_,00140,103
L973__00130.103,15.155944354303578,41.11072104,L973,_,00130,103
L973__00120.103,15.143782928314383,41.10601458,L973,_,00120,103
L973__00110.103,15.13717914288042,41.10337341,L973,_,00110,103
L973__00100.103,15.175137841668668,41.116525964999994,L973,_,00100,103
L973__00090.103,15.17044375075422,41.119128385,L973,_,00090,103
L973__00080.103,15.159415332871845,41.11760033,L973,_,00080,103
L973__00070.103,15.15236942173414,41.115176684999994,L973,_,00070,103
L973__00060.103,15.182448525881327,41.122025879999995,L973,_,00060,103
L973__00050.103,15.190233447316142,41.13167065499999,L973,_,00050,103
L973__00040.103,15.177985622168354,41.12627524,L973,_,00040,103
L973__00030.103,15.167500905280368,41.13315429,L973,_,00030,103
L973__00020.103,15.16365336917126,41.12983612,L973,_,00020,103
L973__00080.1030,15.159296419249557,41.115483685,L973,_,00080,1030
L973__00130.1030,15.15838352372975,41.11240701,L973,_,00130,1030
L973__00120.1030,15.147201306861064,41.106257215,L973,_,00120,1030
