nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L975__00010.1,8.130362503610446,44.061299995,L975,_,00010,1
L975__00290.1,8.12536788869225,44.022865135,L975,_,00290,1
L975__00280.1,8.115696860067892,44.0301988,L975,_,00280,1
L975__00270.1,8.12099721852867,44.029986685,L975,_,00270,1
L975__00260.1,8.123080050815354,44.02991099,L975,_,00260,1
L975__00250.1,8.122946518623419,44.03630068,L975,_,00250,1
L975__00230.1,8.14044810051169,44.036512085,L975,_,00230,1
L975__00220.1,8.133734785938916,44.041392599999995,L975,_,00220,1
L975__00210.1,8.12534229229317,44.040271165,L975,_,00210,1
L975__00200.1,8.118779272904948,44.046274235,L975,_,00200,1
L975__00190.1,8.15328435507582,44.04740471,L975,_,00190,1
L975__00180.1,8.14577260146557,44.044529955,L975,_,00180,1
L975__00170.1,8.13385277504431,44.04622469,L975,_,00170,1
L975__00160.1,8.133699659480875,44.043858424999996,L975,_,00160,1
L975__00150.1,8.141683554570116,44.047136085,L975,_,00150,1
L975__00120.1,8.110734876105969,44.051245415,L975,_,00120,1
L975__00110.1,8.098025368458144,44.04541985,L975,_,00110,1
L975__00100.1,8.094961920661312,44.04373994,L975,_,00100,1
L975__00090.1,8.086491028174418,44.04322105,L975,_,00090,1
L975__00080.1,8.081276601634258,44.04205696,L975,_,00080,1
L975__00070.1,8.076968541352288,44.042783655,L975,_,00070,1
L975__00060.1,8.080734507031893,44.050036335,L975,_,00060,1
L975__00050.1,8.139861717742981,44.052248065,L975,_,00050,1
L975__00040.1,8.117430886958193,44.055341095,L975,_,00040,1
L975__00030.1,8.147337369521411,44.05325143,L975,_,00030,1
L975__00020.1,8.13987840700629,44.0612629,L975,_,00020,1
L975__00010.10,8.134392603911092,44.06207759,L975,_,00010,10
L975__00290.10,8.12125420414728,44.02230147,L975,_,00290,10
L975__00280.10,8.117166462769353,44.028575305000004,L975,_,00280,10
L975__00270.10,8.12253838367024,44.02977476,L975,_,00270,10
L975__00260.10,8.124248654176053,44.029598925,L975,_,00260,10
L975__00250.10,8.123324616291821,44.035540475000005,L975,_,00250,10
L975__00230.10,8.141537974301825,44.035496554999995,L975,_,00230,10
L975__00220.10,8.133002570669774,44.040474965,L975,_,00220,10
L975__00190.10,8.15426811678093,44.046204325,L975,_,00190,10
L975__00180.10,8.145085867130387,44.044102805,L975,_,00180,10
L975__00170.10,8.136367960888055,44.045750625,L975,_,00170,10
L975__00160.10,8.133843615984638,44.04355018,L975,_,00160,10
L975__00150.10,8.142152216748785,44.047102609999996,L975,_,00150,10
L975__00140.10,8.134667807637662,44.049369805,L975,_,00140,10
L975__00130.10,8.121208677175794,44.04557569,L975,_,00130,10
L975__00120.10,8.110348770413964,44.05025959,L975,_,00120,10
L975__00110.10,8.099127925021293,44.044549305000004,L975,_,00110,10
L975__00100.10,8.09496078834417,44.043026165,L975,_,00100,10
L975__00090.10,8.089026213243255,44.042816529999996,L975,_,00090,10
L975__00080.10,8.083684655203761,44.041363180000005,L975,_,00080,10
L975__00070.10,8.078546839631395,44.042430885,L975,_,00070,10
L975__00060.10,8.082966559725413,44.049145859999996,L975,_,00060,10
L975__00050.10,8.14240048254752,44.051453575,L975,_,00050,10
L975__00040.10,8.128460302699377,44.054574439999996,L975,_,00040,10
L975__00030.10,8.14808335705455,44.052968245,L975,_,00030,10
L975__00020.10,8.141580221741266,44.060967735000006,L975,_,00020,10
L975__00010.100,8.133332334035082,44.057856795,L975,_,00010,100
L975__00290.100,8.125983730866846,44.01922027,L975,_,00290,100
L975__00280.100,8.11757808596413,44.023828615,L975,_,00280,100
