nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L998__00010.1,9.501048976452092,39.574557285,L998,_,00010,1
L998__00790.1,9.47177156838939,39.560871039999995,L998,_,00790,1
L998__00780.1,9.498409060341498,39.575073515,L998,_,00780,1
L998__00770.1,9.528166743615891,39.58427573,L998,_,00770,1
L998__00760.1,9.50687829597135,39.58416928,L998,_,00760,1
L998__00750.1,9.46332796709111,39.581064850000004,L998,_,00750,1
L998__00730.1,9.523102557873765,39.600811705,L998,_,00730,1
L998__00720.1,9.468772913662637,39.59849221,L998,_,00720,1
L998__00710.1,9.468180451649628,39.601038450000004,L998,_,00710,1
L998__00700.1,9.499162785744684,39.607294530000004,L998,_,00700,1
L998__00690.1,9.50537653290529,39.620850095,L998,_,00690,1
L998__00680.1,9.490908986398903,39.615587465000004,L998,_,00680,1
L998__00670.1,9.465299231973953,39.60763008,L998,_,00670,1
L998__00660.1,9.43262450771372,39.61051995,L998,_,00660,1
L998__00650.1,9.471754942952247,39.62591998,L998,_,00650,1
L998__00640.1,9.455640801942135,39.626764435,L998,_,00640,1
L998__00630.1,9.426968430017741,39.625102145,L998,_,00630,1
L998__00620.1,9.438900665893819,39.63847527,L998,_,00620,1
L998__00570.1,9.628898597745575,39.4366554,L998,_,00570,1
L998__00560.1,9.607137210379946,39.433051635,L998,_,00560,1
L998__00540.1,9.577429084436933,39.438001535,L998,_,00540,1
L998__00530.1,9.573054131408469,39.43942372,L998,_,00530,1
L998__00520.1,9.56260539151349,39.438971785,L998,_,00520,1
L998__00500.1,9.599717799829182,39.44743252000001,L998,_,00500,1
L998__00490.1,9.589771116229908,39.447675965,L998,_,00490,1
L998__00470.1,9.60077640339558,39.45470842,L998,_,00470,1
L998__00460.1,9.590135051185113,39.46132897,L998,_,00460,1
L998__00450.1,9.579982449318067,39.454171435000006,L998,_,00450,1
L998__00440.1,9.569190194913055,39.451903,L998,_,00440,1
L998__00430.1,9.560583862552868,39.449612994999995,L998,_,00430,1
L998__00420.1,9.629741187844196,39.47078586,L998,_,00420,1
L998__00410.1,9.613653386918049,39.466855980000005,L998,_,00410,1
L998__00400.1,9.604859845314788,39.46837076,L998,_,00400,1
L998__00390.1,9.60138956928937,39.470059254999995,L998,_,00390,1
L998__00380.1,9.587079856695453,39.465344415000004,L998,_,00380,1
L998__00370.1,9.568575579706243,39.461651355,L998,_,00370,1
L998__00360.1,9.565080943456424,39.4619175,L998,_,00360,1
L998__00350.1,9.608071842913107,39.473619335,L998,_,00350,1
L998__00340.1,9.586162383284208,39.47178862,L998,_,00340,1
L998__00330.1,9.562030905257327,39.481471455,L998,_,00330,1
L998__00320.1,9.62103295867053,39.497788825,L998,_,00320,1
L998__00300.1,9.58339264047787,39.48811005500001,L998,_,00300,1
L998__00290.1,9.56785821546131,39.490073890000005,L998,_,00290,1
L998__00280.1,9.615066890423483,39.51381332,L998,_,00280,1
L998__00270.1,9.603223850205314,39.507304375000004,L998,_,00270,1
L998__00260.1,9.596450089252958,39.510602545,L998,_,00260,1
L998__00250.1,9.608217842209218,39.51951439,L998,_,00250,1
L998__00240.1,9.605384438774168,39.521035795,L998,_,00240,1
L998__00230.1,9.547367403229838,39.53388936,L998,_,00230,1
L998__00220.1,9.658279516683908,39.52476653,L998,_,00220,1
L998__00210.1,9.631461221843683,39.54632291,L998,_,00210,1
L998__00200.1,9.613169333791232,39.54034274,L998,_,00200,1
L998__00190.1,9.601247104491197,39.54103634,L998,_,00190,1
L998__00180.1,9.594463976480181,39.54166731,L998,_,00180,1
L998__00170.1,9.575246001575085,39.545582734999996,L998,_,00170,1
L998__00160.1,9.54581688972079,39.543662624999996,L998,_,00160,1
L998__00150.1,9.532932216836258,39.520132565,L998,_,00150,1
L998__00130.1,9.497648439681493,39.534923039999995,L998,_,00130,1
L998__00120.1,9.627190933244597,39.55805507,L998,_,00120,1
L998__00110.1,9.604822110272874,39.555305085,L998,_,00110,1
L998__00080.1,9.55315009788155,39.562290495,L998,_,00080,1
L998__00070.1,9.532928462171574,39.571334685,L998,_,00070,1
L998__00060.1,9.498299810791817,39.55361537,L998,_,00060,1
L998__00040.1,9.567239713286593,39.569480690000006,L998,_,00040,1
L998__00030.1,9.544160912638388,39.566605339999995,L998,_,00030,1
L998__00020.1,9.513913289852281,39.574077134999996,L998,_,00020,1
L998__00040.10,9.563351385341418,39.56660484,L998,_,00040,10
L998__00730.10,9.527018057734661,39.58522257,L998,_,00730,10
L998__00620.10,9.439114045139554,39.63237089,L998,_,00620,10
L998__00570.10,9.62514219367219,39.434428249999996,L998,_,00570,10
L998__00560.10,9.609005266408946,39.43287964,L998,_,00560,10
L998__00510.10,9.620843221722877,39.44994733,L998,_,00510,10
L998__00490.10,9.58801119405868,39.447022215000004,L998,_,00490,10
