nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
M015__00010.1,7.419709503513507,44.48046814999999,M015,_,00010,1
M015__00220.1,7.376626183030517,44.497490174999996,M015,_,00220,1
M015__00210.1,7.401595556171965,44.498229475,M015,_,00210,1
M015__00200.1,7.415031626282415,44.501419565,M015,_,00200,1
M015__00190.1,7.408670467821267,44.496005495,M015,_,00190,1
M015__00180.1,7.406442251578032,44.489816160000004,M015,_,00180,1
M015__00170.1,7.400601348672561,44.496382485,M015,_,00170,1
M015__00160.1,7.386908482088296,44.495594964999995,M015,_,00160,1
M015__00150.1,7.376071533362573,44.49421771,M015,_,00150,1
M015__00140.1,7.369705674595764,44.498974435,M015,_,00140,1
M015__00130.1,7.360611370589813,44.50147828,M015,_,00130,1
M015__00120.1,7.3638671860588705,44.495644345,M015,_,00120,1
M015__00110.1,7.363423878262754,44.490265445,M015,_,00110,1
M015__00100.1,7.3649252230748985,44.487920265,M015,_,00100,1
M015__00090.1,7.371696854856569,44.48586976,M015,_,00090,1
M015__00080.1,7.371056073101741,44.475046715,M015,_,00080,1
M015__00060.1,7.385230537307652,44.48113963,M015,_,00060,1
M015__00050.1,7.386438563399643,44.488551145,M015,_,00050,1
M015__00040.1,7.406147710136095,44.481482215,M015,_,00040,1
M015__00030.1,7.42621756195426,44.494341985,M015,_,00030,1
M015__00020.1,7.415701274455035,44.481709435,M015,_,00020,1
M015__00010.10,7.422722272850763,44.48138097499999,M015,_,00010,10
M015__00210.10,7.403659511156906,44.49797941,M015,_,00210,10
M015__00200.10,7.412732000886507,44.498961785,M015,_,00200,10
M015__00190.10,7.410215344716024,44.495773755,M015,_,00190,10
M015__00180.10,7.4052930250309394,44.489333295,M015,_,00180,10
M015__00170.10,7.40223368763128,44.496360685,M015,_,00170,10
M015__00160.10,7.385307393088166,44.492811495,M015,_,00160,10
M015__00150.10,7.375145919245619,44.490391635,M015,_,00150,10
M015__00140.10,7.370806030095084,44.498729325,M015,_,00140,10
M015__00130.10,7.363793198761867,44.50743534,M015,_,00130,10
M015__00120.10,7.3675918928761615,44.496702435,M015,_,00120,10
M015__00110.10,7.360188130470515,44.489984809999996,M015,_,00110,10
M015__00100.10,7.367238832941004,44.486527165,M015,_,00100,10
M015__00080.10,7.371122135608717,44.473330595,M015,_,00080,10
M015__00070.10,7.399396815869291,44.474464714999996,M015,_,00070,10
M015__00060.10,7.384432970984964,44.480818575,M015,_,00060,10
M015__00040.10,7.40905028473701,44.48102465,M015,_,00040,10
M015__00020.10,7.418626104968398,44.483625364999995,M015,_,00020,10
M015__00020.100,7.433999883547533,44.48631891,M015,_,00020,100
M015__00210.100,7.410518688078866,44.501569095,M015,_,00210,100
M015__00200.100,7.416419442267878,44.492904325,M015,_,00200,100
M015__00190.100,7.413761793678367,44.49155326,M015,_,00190,100
M015__00180.100,7.411565078225985,44.48514236,M015,_,00180,100
M015__00170.100,7.403462364784623,44.48878672,M015,_,00170,100
M015__00160.100,7.390729862408313,44.494056455000006,M015,_,00160,100
M015__00150.100,7.377872971749698,44.488913339999996,M015,_,00150,100
M015__00140.100,7.372396519830696,44.494623759999996,M015,_,00140,100
M015__00120.100,7.36615549639526,44.489121909999994,M015,_,00120,100
M015__00090.100,7.374317348150724,44.488638300000005,M015,_,00090,100
M015__00080.100,7.374932366698042,44.4743977,M015,_,00080,100
M015__00070.100,7.40128603195271,44.474279005,M015,_,00070,100
M015__00060.100,7.399305236756943,44.47592889,M015,_,00060,100
M015__00050.100,7.388418087449126,44.48270256,M015,_,00050,100
M015__00030.100,7.422610569041042,44.490690130000004,M015,_,00030,100
M015__00040.1000,7.404699828873149,44.476861275000005,M015,_,00040,1000
M015__00080.1000,7.380942121342644,44.473726209999995,M015,_,00080,1000
M015__00070.1000,7.391037299111076,44.472854745,M015,_,00070,1000
M015__00040.1001,7.409880762341902,44.474075975000005,M015,_,00040,1001
M015__00080.1001,7.381271552303019,44.47384605,M015,_,00080,1001
M015__00070.1001,7.391319227843438,44.472576485000005,M015,_,00070,1001
M015__00040.1002,7.416302784468079,44.48116044,M015,_,00040,1002
M015__00090.1002,7.382289777540189,44.480862765,M015,_,00090,1002
M015__00070.1002,7.39870961196303,44.474393825,M015,_,00070,1002
M015__00060.1002,7.395714361646179,44.474820275,M015,_,00060,1002
M015__00040.1003,7.411502863465801,44.47709754,M015,_,00040,1003
M015__00090.1003,7.381901461599195,44.48114212,M015,_,00090,1003
M015__00070.1003,7.393400453346425,44.47343191,M015,_,00070,1003
M015__00060.1003,7.395146977890981,44.474980450000004,M015,_,00060,1003
M015__00060.1004,7.384981461054439,44.480061145,M015,_,00060,1004
M015__00090.1004,7.376419340692396,44.483411445,M015,_,00090,1004
M015__00070.1004,7.3987729668533175,44.471004230000005,M015,_,00070,1004
M015__00040.1005,7.411008143977429,44.47885406,M015,_,00040,1005
M015__00070.1005,7.398875974442447,44.47072136,M015,_,00070,1005
M015__00060.1005,7.384285751834385,44.48107661,M015,_,00060,1005
M015__00040.1006,7.411467627040999,44.478668685,M015,_,00040,1006
M015__00090.1006,7.375451231298127,44.483431280000005,M015,_,00090,1006
M015__00070.1006,7.4062373202157445,44.47047465,M015,_,00070,1006
M015__00060.1006,7.384369214638497,44.4810106,M015,_,00060,1006
M015__00040.1007,7.411371159326315,44.478509605,M015,_,00040,1007
M015__00090.1007,7.376337620145829,44.483630295,M015,_,00090,1007
M015__00070.1007,7.4065474739788115,44.470395815,M015,_,00070,1007
M015__00060.1007,7.400312380569606,44.480462915000004,M015,_,00060,1007
