nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
M127__00020.1,10.337356946322625,45.129349635,M127,_,00020,1
M127__00130.1,10.33077027298397,45.09799248,M127,_,00130,1
M127__00120.1,10.310859308728144,45.101734555,M127,_,00120,1
M127__00110.1,10.356728298724168,45.113328895,M127,_,00110,1
M127__00100.1,10.34805741755681,45.10679931,M127,_,00100,1
M127__00080.1,10.333041153422823,45.109660950000006,M127,_,00080,1
M127__00070.1,10.328862715195433,45.11072281,M127,_,00070,1
M127__00060.1,10.31825578812714,45.113674265,M127,_,00060,1
M127__00040.1,10.33265680404785,45.114524605,M127,_,00040,1
M127__00010.10,10.328232013508973,45.12545892,M127,_,00010,10
M127__00120.10,10.322351421980496,45.100264519999996,M127,_,00120,10
M127__00110.10,10.353871419387284,45.107604535,M127,_,00110,10
M127__00100.10,10.34901596766738,45.105935875,M127,_,00100,10
M127__00080.10,10.334326849463821,45.10879616,M127,_,00080,10
M127__00070.10,10.324693115158773,45.108097625,M127,_,00070,10
M127__00060.10,10.320971354477885,45.10984687,M127,_,00060,10
M127__00050.10,10.355727805216993,45.116651305,M127,_,00050,10
M127__00030.10,10.330287564414053,45.122174825,M127,_,00030,10
M127__00020.10,10.332638338556887,45.12608317,M127,_,00020,10
M127__00040.100,10.333329269907809,45.110856760000004,M127,_,00040,100
M127__00110.100,10.3586327288562,45.1014228,M127,_,00110,100
M127__00070.100,10.324100235874182,45.10469055,M127,_,00070,100
M127__00060.100,10.31836723768709,45.10397462,M127,_,00060,100
M127__00040.101,10.333746258127775,45.110997575,M127,_,00040,101
M127__00110.101,10.359442308138682,45.10127308,M127,_,00110,101
M127__00090.101,10.34677753541212,45.105413285,M127,_,00090,101
M127__00070.101,10.325223215867322,45.10432381,M127,_,00070,101
M127__00060.101,10.318172987468126,45.103255585,M127,_,00060,101
M127__00040.102,10.333612143269022,45.11085072,M127,_,00040,102
M127__00110.102,10.359900373223144,45.101208195,M127,_,00110,102
M127__00090.102,10.346831315651134,45.10524161,M127,_,00090,102
M127__00070.102,10.323936430295728,45.103910915,M127,_,00070,102
M127__00060.102,10.314470178286179,45.102889129999994,M127,_,00060,102
M127__00040.103,10.333875794011629,45.110845205,M127,_,00040,103
M127__00110.103,10.360311261586507,45.10108151,M127,_,00110,103
M127__00090.103,10.346892093590967,45.104960405,M127,_,00090,103
M127__00070.103,10.323478648207434,45.103519254999995,M127,_,00070,103
M127__00060.103,10.317747755302197,45.10263463,M127,_,00060,103
M127__00040.104,10.333919281276376,45.11083429,M127,_,00040,104
M127__00110.104,10.360756138041602,45.10108115,M127,_,00110,104
M127__00090.104,10.346861904603522,45.105059655,M127,_,00090,104
M127__00070.104,10.322152893572744,45.102863920000004,M127,_,00070,104
M127__00060.104,10.316953038786338,45.10190095,M127,_,00060,104
M127__00060.105,10.320844844799954,45.102498365,M127,_,00060,105
M127__00110.105,10.361368178816196,45.100973395,M127,_,00110,105
M127__00090.105,10.346912470226176,45.105413580000004,M127,_,00090,105
M127__00070.105,10.323648042281645,45.10264671,M127,_,00070,105
M127__00040.106,10.334454822358776,45.1110926,M127,_,00040,106
M127__00110.106,10.362056340164214,45.100853425,M127,_,00110,106
M127__00070.106,10.328503549953794,45.10665888,M127,_,00070,106
M127__00060.107,10.32169326643714,45.11005939,M127,_,00060,107
M127__00110.107,10.360814285589477,45.108584815,M127,_,00110,107
M127__00090.107,10.346977224400312,45.105064315,M127,_,00090,107
M127__00070.107,10.328537341616784,45.105724890000005,M127,_,00070,107
M127__00070.108,10.32867148000923,45.109606055,M127,_,00070,108
M127__00110.108,10.362140664725018,45.10634326,M127,_,00110,108
M127__00090.108,10.347012677103255,45.104967189999996,M127,_,00090,108
M127__00040.109,10.335563927107854,45.110974,M127,_,00040,109
M127__00110.109,10.361119181872272,45.103900635,M127,_,00110,109
M127__00090.109,10.347048150871576,45.105420975,M127,_,00090,109
M127__00070.109,10.328650341476767,45.108679655,M127,_,00070,109
M127__00010.11,10.321617341284695,45.12531267,M127,_,00010,11
M127__00130.11,10.341727420219222,45.09690933500001,M127,_,00130,11
M127__00120.11,10.319132479848196,45.09760324,M127,_,00120,11
M127__00110.11,10.354777744224977,45.10754344,M127,_,00110,11
M127__00100.11,10.348097863400366,45.105228955,M127,_,00100,11
M127__00090.11,10.34409203963104,45.10587775,M127,_,00090,11
M127__00080.11,10.33432817457496,45.10868583,M127,_,00080,11
M127__00070.11,10.322426104477938,45.105224989999996,M127,_,00070,11
M127__00050.11,10.355439631039184,45.11577116,M127,_,00050,11
M127__00040.11,10.331667350406395,45.113455564999995,M127,_,00040,11
M127__00030.11,10.331103192755066,45.122147760000004,M127,_,00030,11
M127__00020.11,10.333029338407895,45.12598659,M127,_,00020,11
M127__00070.110,10.328586424034263,45.107681615000004,M127,_,00070,110
M127__00110.110,10.36252652297096,45.106268555,M127,_,00110,110
M127__00090.110,10.347139875656463,45.105234475,M127,_,00090,110
