nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
M166__00010.1,9.392634004115271,45.121297485,M166,_,00010,1
M166__00060.1,9.398889797383042,45.10283248499999,M166,_,00060,1
M166__00050.1,9.386530336534467,45.105832495,M166,_,00050,1
M166__00030.1,9.39888517276297,45.111136345000006,M166,_,00030,1
M166__00020.1,9.397009862017207,45.120870374999996,M166,_,00020,1
M166__00010.10,9.3907972769766,45.118610365,M166,_,00010,10
M166__00060.10,9.402528655513699,45.102621005,M166,_,00060,10
M166__00050.10,9.388241416504329,45.104895995,M166,_,00050,10
M166__00030.10,9.402376754773403,45.110126910000005,M166,_,00030,10
M166__00020.10,9.40135095555529,45.11905556,M166,_,00020,10
M166__00010.100,9.389514254053175,45.11303066,M166,_,00010,100
M166__00060.100,9.41441012034836,45.101303279999996,M166,_,00060,100
M166__00050.100,9.389672983226621,45.101045555,M166,_,00050,100
M166__00030.100,9.397753053640528,45.105093999999994,M166,_,00030,100
M166__00020.100,9.407976125574738,45.112290869999995,M166,_,00020,100
M166__00010.101,9.38948014910429,45.114588080000004,M166,_,00010,101
M166__00060.101,9.414616396755513,45.10088532,M166,_,00060,101
M166__00050.101,9.38901865861595,45.10029251,M166,_,00050,101
M166__00030.101,9.397915432171766,45.105270250000004,M166,_,00030,101
M166__00020.101,9.408031280780865,45.11102706,M166,_,00020,101
M166__00040.1014,9.396226784128658,45.11012349,M166,_,00040,1014
M166__00040.1017,9.396355527562966,45.108755904999995,M166,_,00040,1017
M166__00010.102,9.390173914754968,45.114733900000004,M166,_,00010,102
M166__00060.102,9.415772468107592,45.100906955,M166,_,00060,102
M166__00050.102,9.38856999565088,45.099662385,M166,_,00050,102
M166__00020.102,9.409951437753161,45.11199704,M166,_,00020,102
M166__00040.1021,9.394062074309641,45.11029296,M166,_,00040,1021
M166__00040.1022,9.394382970432003,45.110864745,M166,_,00040,1022
M166__00040.1023,9.394901106098322,45.111599125,M166,_,00040,1023
M166__00040.1024,9.395013029992224,45.111589845,M166,_,00040,1024
M166__00040.1025,9.394880609368892,45.111455705,M166,_,00040,1025
M166__00040.1026,9.394997429431063,45.111464780000006,M166,_,00040,1026
M166__00040.1027,9.39491904186989,45.111205635,M166,_,00040,1027
M166__00010.103,9.392209143422916,45.112481265,M166,_,00010,103
M166__00060.103,9.416288268223049,45.100317355,M166,_,00060,103
M166__00050.103,9.38858642260643,45.099974180000004,M166,_,00050,103
M166__00030.103,9.399298722876683,45.10789937,M166,_,00030,103
M166__00020.103,9.410564655704336,45.11009878,M166,_,00020,103
M166__00040.1033,9.396447078635305,45.10967849,M166,_,00040,1033
M166__00040.1034,9.396312565166514,45.109772245,M166,_,00040,1034
M166__00040.1039,9.396494513207887,45.109259855,M166,_,00040,1039
M166__00010.104,9.38529972944972,45.113368895,M166,_,00010,104
M166__00060.104,9.415525427400723,45.100258165,M166,_,00060,104
M166__00030.104,9.399367284468745,45.10785696000001,M166,_,00030,104
M166__00020.104,9.411135054329687,45.111251499999995,M166,_,00020,104
M166__00040.1040,9.396540495652621,45.10917977,M166,_,00040,1040
M166__00040.1041,9.396616993236703,45.10905649,M166,_,00040,1041
M166__00040.1042,9.392847834479738,45.11134491,M166,_,00040,1042
M166__00040.1044,9.393760248534722,45.111406765,M166,_,00040,1044
M166__00020.105,9.412295789710168,45.11116146,M166,_,00020,105
M166__00060.105,9.41594743164774,45.099959585,M166,_,00060,105
M166__00050.105,9.388996207126535,45.100545295,M166,_,00050,105
M166__00040.105,9.395443771954195,45.111792275,M166,_,00040,105
M166__00040.1050,9.393725225887929,45.111414415,M166,_,00040,1050
M166__00040.1052,9.396439539550368,45.108956385,M166,_,00040,1052
M166__00040.1053,9.396501857310211,45.10725549,M166,_,00040,1053
M166__00040.1054,9.395481434880306,45.10872972,M166,_,00040,1054
M166__00040.1055,9.395199664050569,45.109946289999996,M166,_,00040,1055
M166__00040.1057,9.394502761128443,45.110319395,M166,_,00040,1057
M166__00040.1058,9.394560040510559,45.11030427,M166,_,00040,1058
M166__00040.1059,9.394727768739838,45.11049432,M166,_,00040,1059
M166__00020.106,9.411879533563091,45.10984138,M166,_,00020,106
M166__00060.106,9.415628514784986,45.099319745,M166,_,00060,106
M166__00050.106,9.38911211960314,45.1009437,M166,_,00050,106
M166__00030.106,9.39796469932293,45.105220885,M166,_,00030,106
M166__00040.1061,9.392375053223702,45.11094671,M166,_,00040,1061
M166__00040.1062,9.393901707308867,45.11173154,M166,_,00040,1062
M166__00040.1063,9.394118717454596,45.111678475000005,M166,_,00040,1063
M166__00040.1064,9.394714170606154,45.11018939,M166,_,00040,1064
M166__00040.1065,9.394761686415258,45.11070837,M166,_,00040,1065
M166__00040.1066,9.39241308822655,45.1107403,M166,_,00040,1066
M166__00040.1067,9.392591911809134,45.110978450000005,M166,_,00040,1067
M166__00040.1068,9.390849448617553,45.110453655,M166,_,00040,1068
M166__00040.1069,9.3923997614768,45.111244155,M166,_,00040,1069
M166__00010.107,9.396485095209364,45.118324545,M166,_,00010,107
M166__00060.107,9.414865922474483,45.10007177,M166,_,00060,107
M166__00050.107,9.388561541419662,45.100151115,M166,_,00050,107
M166__00030.107,9.397965572240025,45.1046436,M166,_,00030,107
M166__00020.107,9.397242893389905,45.120565674999995,M166,_,00020,107
M166__00040.1070,9.391956399739781,45.111593385,M166,_,00040,1070
M166__00040.1071,9.396105665749953,45.10980869,M166,_,00040,1071
M166__00040.1072,9.396105760546412,45.109751965,M166,_,00040,1072
M166__00040.1073,9.395642283656418,45.11014767,M166,_,00040,1073
